published_date,twitter_posts,twitter_likes,twitter_sentiment,stock_twitter_posts,stock_twitter_likes,sentiment_score,weighted_daily_sentiment_x,weighted_daily_sentiment_y
04-03-2025,19,106,0.5603,7,5,0.5,strongly_positive,strongly_positive
04-03-2025,60,2992,0.48989,25,51,0.49885,strongly_positive,strongly_positive
04-03-2025,88,2611,0.54475,39,32,0.52351,strongly_positive,strongly_positive
04-03-2025,28,562,0.50746,18,34,0.50989,strongly_positive,strongly_positive
04-03-2025,31,486,0.57443,23,36,0.52135,strongly_positive,strongly_positive
04-03-2025,59,1061,0.49107,48,49,0.50783,strongly_positive,strongly_positive
04-03-2025,153,8036,0.51372,51,43,0.53233,strongly_positive,strongly_positive
04-03-2025,178,22113,0.60237,62,106,0.54589,strongly_positive,strongly_positive
04-03-2025,229,23697,0.53915,90,99,0.54537,strongly_positive,strongly_positive
04-03-2025,43,560,0.50864,40,61,0.52265,strongly_positive,strongly_positive
04-03-2025,26,996,0.59617,26,27,0.48612,strongly_positive,strongly_positive
04-03-2025,34,556,0.65205,13,15,0.57485,strongly_positive,strongly_positive
04-03-2025,13,232,0.50726,5,17,0.521,strongly_positive,strongly_positive
04-03-2025,18,148,0.51503,8,9,0.49038,strongly_positive,strongly_positive
04-03-2025,6,14,0.46347,4,4,0.46275,strongly_positive,strongly_positive
04-03-2025,6,15,0.48859,4,5,0.5,strongly_positive,strongly_positive
04-03-2025,5,25,0.58473,4,15,0.60325,strongly_positive,strongly_positive
04-03-2025,13,323,0.53429,4,19,0.533,strongly_positive,strongly_positive
04-03-2025,23,134,0.61502,8,5,0.55088,strongly_positive,strongly_positive
03-03-2025,10,438,0.49176,4,42,0.5,weakly_positive,weakly_positive
03-03-2025,12,245,0.55439,6,26,0.57517,weakly_positive,weakly_positive
03-03-2025,25,972,0.54708,15,60,0.55073,weakly_positive,weakly_positive
03-03-2025,21,659,0.50014,13,53,0.50885,weakly_positive,weakly_positive
03-03-2025,35,888,0.62932,10,18,0.5239,weakly_positive,weakly_positive
03-03-2025,31,874,0.49443,10,22,0.5121,weakly_positive,weakly_positive
03-03-2025,35,943,0.5847,14,26,0.60329,weakly_positive,weakly_positive
03-03-2025,115,9578,0.54562,52,92,0.52663,weakly_positive,weakly_positive
03-03-2025,4,7,0.24132,2,2,0.25,weakly_positive,weakly_positive
03-03-2025,37,901,0.5092,26,48,0.51762,weakly_positive,weakly_positive
03-03-2025,35,433,0.55456,29,37,0.57403,weakly_positive,weakly_positive
03-03-2025,12,44,0.6811,11,15,0.57718,weakly_positive,weakly_positive
03-03-2025,28,130,0.59675,10,4,0.5438,weakly_positive,weakly_positive
03-03-2025,118,6113,0.51527,44,47,0.53323,weakly_positive,weakly_positive
03-03-2025,59,1037,0.53016,25,18,0.51744,weakly_positive,weakly_positive
03-03-2025,13,134,0.46851,8,16,0.4755,weakly_positive,weakly_positive
03-03-2025,11,45,0.53348,7,7,0.53857,weakly_positive,weakly_positive
03-03-2025,14,253,0.51685,4,13,0.50275,weakly_positive,weakly_positive
03-03-2025,10,94,0.51984,3,7,0.53767,weakly_positive,weakly_positive
03-03-2025,12,261,0.48231,4,18,0.49125,weakly_positive,weakly_positive
03-03-2025,0,0,0.0,0,0,0.0,weakly_positive,weakly_positive
03-03-2025,4,23,0.57484,2,7,0.493,weakly_positive,weakly_positive
03-03-2025,3,6,0.29109,2,3,0.3,weakly_positive,weakly_positive
03-03-2025,3,10,0.50803,2,9,0.5265,weakly_positive,weakly_positive
02-03-2025,2,1,0.54677,2,3,0.5375,strongly_positive,strongly_positive
02-03-2025,10,54,0.55971,3,4,0.489,strongly_positive,strongly_positive
02-03-2025,10,65,0.60148,4,6,0.604,strongly_positive,strongly_positive
02-03-2025,9,102,0.53506,4,12,0.55525,strongly_positive,strongly_positive
02-03-2025,7,25,0.71198,3,4,0.621,strongly_positive,strongly_positive
02-03-2025,10,98,0.56917,7,18,0.53129,strongly_positive,strongly_positive
02-03-2025,6,18,0.62742,5,8,0.5076,strongly_positive,strongly_positive
02-03-2025,6,16,0.48521,2,2,0.5,strongly_positive,strongly_positive
02-03-2025,75,5855,0.49171,26,66,0.504,strongly_positive,strongly_positive
02-03-2025,14,161,0.63331,5,10,0.5114,strongly_positive,strongly_positive
02-03-2025,14,114,0.55663,7,10,0.48657,strongly_positive,strongly_positive
02-03-2025,9,49,0.50783,5,8,0.5208,strongly_positive,strongly_positive
02-03-2025,3,0,0.54869,2,0,0.519,strongly_positive,strongly_positive
02-03-2025,5,11,0.54777,5,16,0.5444,strongly_positive,strongly_positive
02-03-2025,7,10,0.41421,2,1,0.425,strongly_positive,strongly_positive
02-03-2025,3,4,0.742,1,1,0.764,strongly_positive,strongly_positive
02-03-2025,5,19,0.48179,2,4,0.5,strongly_positive,strongly_positive
02-03-2025,2,0,0.72489,1,0,0.644,strongly_positive,strongly_positive
02-03-2025,7,26,0.58448,5,7,0.5538,strongly_positive,strongly_positive
02-03-2025,1,2,0.19271,1,5,0.2,strongly_positive,strongly_positive
02-03-2025,1,0,0.55661,1,0,0.558,strongly_positive,strongly_positive
02-03-2025,2,0,0.73923,1,0,0.638,strongly_positive,strongly_positive
02-03-2025,0,0,0.0,0,0,0.0,strongly_positive,strongly_positive
02-03-2025,3,2,0.60281,2,1,0.5645,strongly_positive,strongly_positive
01-03-2025,0,0,0.5,0,0,0.5,weakly_positive,weakly_positive
01-03-2025,1,1,0.79271,1,2,0.683,weakly_positive,weakly_positive
01-03-2025,7,50,0.49683,2,5,0.5115,weakly_positive,weakly_positive
01-03-2025,18,45,0.48025,6,2,0.49283,weakly_positive,weakly_positive
01-03-2025,7,14,0.57521,3,2,0.567,weakly_positive,weakly_positive
01-03-2025,6,5,0.56976,3,1,0.5,weakly_positive,weakly_positive
01-03-2025,12,29,0.45189,6,3,0.4635,weakly_positive,weakly_positive
01-03-2025,12,82,0.46324,9,15,0.48078,weakly_positive,weakly_positive
01-03-2025,10,24,0.57464,9,9,0.57233,weakly_positive,weakly_positive
01-03-2025,6,31,0.60468,2,4,0.5665,weakly_positive,weakly_positive
01-03-2025,30,201,0.58796,11,6,0.47809,weakly_positive,weakly_positive
01-03-2025,26,83,0.53232,10,3,0.5297,weakly_positive,weakly_positive
01-03-2025,24,71,0.47689,13,4,0.48946,weakly_positive,weakly_positive
01-03-2025,13,16,0.54426,8,2,0.51725,weakly_positive,weakly_positive
01-03-2025,3,2,0.5782,2,1,0.6,weakly_positive,weakly_positive
01-03-2025,17,70,0.55207,5,3,0.5654,weakly_positive,weakly_positive
01-03-2025,16,212,0.53731,5,10,0.51,weakly_positive,weakly_positive
01-03-2025,3,8,0.60369,1,2,0.5,weakly_positive,weakly_positive
01-03-2025,4,4,0.61547,2,1,0.55,weakly_positive,weakly_positive
01-03-2025,0,0,0.0,0,0,0.0,weakly_positive,weakly_positive
01-03-2025,4,7,0.36333,3,4,0.377,weakly_positive,weakly_positive
01-03-2025,0,0,0.0,0,0,0.0,weakly_positive,weakly_positive
01-03-2025,2,0,0.67118,2,1,0.6835,weakly_positive,weakly_positive
01-03-2025,14,31,0.63307,5,2,0.5256,weakly_positive,weakly_positive
01-03-2025,3,3,0.51359,1,1,0.516,weakly_positive,weakly_positive
28-02-2025,9,93,0.67966,4,11,0.61675,strongly_positive,strongly_positive
28-02-2025,1,0,0.70954,1,0,0.725,strongly_positive,strongly_positive
28-02-2025,22,344,0.53808,7,12,0.50571,strongly_positive,strongly_positive
28-02-2025,23,162,0.6803,8,6,0.55563,strongly_positive,strongly_positive
28-02-2025,11,112,0.4127,5,11,0.4244,strongly_positive,strongly_positive
28-02-2025,16,203,0.532,8,16,0.54663,strongly_positive,strongly_positive
28-02-2025,11,310,0.65483,6,38,0.53383,strongly_positive,strongly_positive
28-02-2025,36,258,0.58466,29,20,0.51534,strongly_positive,strongly_positive
28-02-2025,33,65,0.49771,33,39,0.50909,strongly_positive,strongly_positive
28-02-2025,94,6256,0.50155,33,57,0.52058,strongly_positive,strongly_positive
28-02-2025,142,9451,0.50451,56,64,0.50368,strongly_positive,strongly_positive
28-02-2025,87,1207,0.50224,36,14,0.514,strongly_positive,strongly_positive
28-02-2025,90,3094,0.63202,53,52,0.51651,strongly_positive,strongly_positive
28-02-2025,65,1039,0.52536,45,31,0.545,strongly_positive,strongly_positive
28-02-2025,23,271,0.61481,17,26,0.55059,strongly_positive,strongly_positive
28-02-2025,32,414,0.60278,10,10,0.5748,strongly_positive,strongly_positive
28-02-2025,24,359,0.4829,8,12,0.501,strongly_positive,strongly_positive
28-02-2025,14,456,0.46713,5,29,0.4702,strongly_positive,strongly_positive
28-02-2025,6,43,0.50189,3,9,0.518,strongly_positive,strongly_positive
28-02-2025,11,146,0.70947,6,18,0.5905,strongly_positive,strongly_positive
28-02-2025,2,18,0.67862,2,26,0.609,strongly_positive,strongly_positive
28-02-2025,5,9,0.53211,4,7,0.549,strongly_positive,strongly_positive
28-02-2025,13,144,0.56421,4,8,0.5445,strongly_positive,strongly_positive
28-02-2025,18,56,0.58313,7,3,0.58757,strongly_positive,strongly_positive
27-02-2025,12,48,0.52625,5,4,0.535,strongly_positive,strongly_positive
27-02-2025,15,181,0.49989,7,14,0.51743,strongly_positive,strongly_positive
27-02-2025,11,199,0.52924,7,30,0.53286,strongly_positive,strongly_positive
27-02-2025,16,230,0.54082,12,32,0.49275,strongly_positive,strongly_positive
27-02-2025,7,0,0.50385,6,0,0.50833,strongly_positive,strongly_positive
27-02-2025,33,730,0.59903,16,26,0.565,strongly_positive,strongly_positive
27-02-2025,25,197,0.64455,14,11,0.52907,strongly_positive,strongly_positive
27-02-2025,73,2420,0.52217,43,50,0.52193,strongly_positive,strongly_positive
27-02-2025,51,685,0.49967,46,57,0.51402,strongly_positive,strongly_positive
27-02-2025,116,4650,0.55131,35,30,0.52726,strongly_positive,strongly_positive
27-02-2025,83,4280,0.63107,31,47,0.55868,strongly_positive,strongly_positive
27-02-2025,83,3300,0.51443,35,41,0.5254,strongly_positive,strongly_positive
27-02-2025,74,2858,0.56244,33,42,0.53724,strongly_positive,strongly_positive
27-02-2025,51,861,0.50554,33,29,0.50588,strongly_positive,strongly_positive
27-02-2025,42,715,0.61674,32,40,0.5555,strongly_positive,strongly_positive
27-02-2025,49,1515,0.44867,40,87,0.46328,strongly_positive,strongly_positive
27-02-2025,21,798,0.57898,7,31,0.60043,strongly_positive,strongly_positive
27-02-2025,20,235,0.65638,7,10,0.59029,strongly_positive,strongly_positive
27-02-2025,8,59,0.61869,3,7,0.628,strongly_positive,strongly_positive
27-02-2025,2,6,0.58242,1,4,0.488,strongly_positive,strongly_positive
27-02-2025,3,2,0.48579,2,1,0.49,strongly_positive,strongly_positive
27-02-2025,1,0,0.57018,1,0,0.589,strongly_positive,strongly_positive
27-02-2025,1,0,0.59782,1,4,0.5,strongly_positive,strongly_positive
27-02-2025,6,16,0.48302,2,2,0.5,strongly_positive,strongly_positive
26-02-2025,19,812,0.61382,8,44,0.6225,strongly_positive,strongly_positive
26-02-2025,11,51,0.51133,5,5,0.495,strongly_positive,strongly_positive
26-02-2025,12,227,0.62132,6,24,0.52983,strongly_positive,strongly_positive
26-02-2025,19,345,0.56251,13,35,0.57085,strongly_positive,strongly_positive
26-02-2025,22,169,0.46104,18,22,0.4775,strongly_positive,strongly_positive
26-02-2025,59,4231,0.56288,17,51,0.55147,strongly_positive,strongly_positive
26-02-2025,54,2138,0.58267,19,34,0.533,strongly_positive,strongly_positive
26-02-2025,66,2393,0.51335,26,35,0.51685,strongly_positive,strongly_positive
26-02-2025,77,2429,0.52098,32,32,0.50988,strongly_positive,strongly_positive
26-02-2025,253,23919,0.64305,73,68,0.53047,strongly_positive,strongly_positive
26-02-2025,137,8146,0.49462,44,47,0.51277,strongly_positive,strongly_positive
26-02-2025,77,1660,0.51949,31,21,0.535,strongly_positive,strongly_positive
26-02-2025,103,5178,0.58113,47,56,0.5576,strongly_positive,strongly_positive
26-02-2025,179,8338,0.51613,86,55,0.53515,strongly_positive,strongly_positive
26-02-2025,43,985,0.52067,30,46,0.53093,strongly_positive,strongly_positive
26-02-2025,21,155,0.51941,18,23,0.53694,strongly_positive,strongly_positive
26-02-2025,18,146,0.66509,16,35,0.55863,strongly_positive,strongly_positive
26-02-2025,25,633,0.63662,9,22,0.57578,strongly_positive,strongly_positive
26-02-2025,13,259,0.50627,5,18,0.5232,strongly_positive,strongly_positive
26-02-2025,17,166,0.56059,7,10,0.54414,strongly_positive,strongly_positive
26-02-2025,2,0,0.49436,1,0,0.5,strongly_positive,strongly_positive
26-02-2025,8,46,0.61884,5,10,0.627,strongly_positive,strongly_positive
26-02-2025,31,347,0.66765,9,8,0.56211,strongly_positive,strongly_positive
26-02-2025,43,868,0.56215,13,15,0.56815,strongly_positive,strongly_positive
25-02-2025,18,66,0.57067,6,3,0.52383,strongly_positive,strongly_positive
25-02-2025,22,493,0.58647,10,25,0.5701,strongly_positive,strongly_positive
25-02-2025,10,195,0.54637,5,23,0.5652,strongly_positive,strongly_positive
25-02-2025,16,250,0.5655,9,22,0.57578,strongly_positive,strongly_positive
25-02-2025,25,419,0.58046,19,39,0.56363,strongly_positive,strongly_positive
25-02-2025,24,97,0.66175,22,18,0.56695,strongly_positive,strongly_positive
25-02-2025,36,1253,0.47154,11,26,0.48609,strongly_positive,strongly_positive
25-02-2025,93,3452,0.48184,35,34,0.49931,strongly_positive,strongly_positive
25-02-2025,92,2838,0.54317,39,32,0.53364,strongly_positive,strongly_positive
25-02-2025,123,5620,0.51272,55,50,0.52873,strongly_positive,strongly_positive
25-02-2025,77,2217,0.54306,50,50,0.5456,strongly_positive,strongly_positive
25-02-2025,85,2740,0.5114,65,77,0.53068,strongly_positive,strongly_positive
25-02-2025,121,4042,0.66405,52,35,0.5505,strongly_positive,strongly_positive
25-02-2025,230,10435,0.51385,113,55,0.53246,strongly_positive,strongly_positive
25-02-2025,39,1208,0.57066,20,40,0.5172,strongly_positive,strongly_positive
25-02-2025,30,462,0.56068,23,38,0.5397,strongly_positive,strongly_positive
25-02-2025,11,46,0.64958,10,23,0.5492,strongly_positive,strongly_positive
25-02-2025,28,472,0.53821,8,12,0.54488,strongly_positive,strongly_positive
25-02-2025,21,522,0.53262,8,23,0.551,strongly_positive,strongly_positive
25-02-2025,20,165,0.61969,8,8,0.523,strongly_positive,strongly_positive
25-02-2025,7,6,0.58361,3,1,0.60333,strongly_positive,strongly_positive
25-02-2025,14,78,0.52723,9,10,0.53278,strongly_positive,strongly_positive
25-02-2025,10,20,0.56141,7,4,0.54657,strongly_positive,strongly_positive
25-02-2025,42,1335,0.51286,13,24,0.51969,strongly_positive,strongly_positive
24-02-2025,34,694,0.52662,11,16,0.53255,strongly_positive,strongly_positive
24-02-2025,28,579,0.619,10,18,0.6417,strongly_positive,strongly_positive
24-02-2025,18,267,0.45633,9,18,0.47156,strongly_positive,strongly_positive
24-02-2025,29,470,0.56524,15,21,0.52087,strongly_positive,strongly_positive
24-02-2025,31,746,0.51065,19,38,0.51205,strongly_positive,strongly_positive
24-02-2025,26,187,0.53106,22,22,0.54895,strongly_positive,strongly_positive
24-02-2025,66,2019,0.51845,19,22,0.52874,strongly_positive,strongly_positive
24-02-2025,124,9531,0.56896,40,61,0.53238,strongly_positive,strongly_positive
24-02-2025,109,5895,0.59313,44,53,0.51052,strongly_positive,strongly_positive
24-02-2025,131,5960,0.5161,60,51,0.53147,strongly_positive,strongly_positive
24-02-2025,91,4596,0.54306,44,60,0.50745,strongly_positive,strongly_positive
24-02-2025,93,2286,0.54289,66,50,0.53482,strongly_positive,strongly_positive
24-02-2025,71,1625,0.63817,60,73,0.55948,strongly_positive,strongly_positive
24-02-2025,387,26399,0.50134,124,54,0.50258,strongly_positive,strongly_positive
24-02-2025,125,5835,0.54298,45,41,0.56353,strongly_positive,strongly_positive
24-02-2025,90,5003,0.63323,34,51,0.55424,strongly_positive,strongly_positive
24-02-2025,42,976,0.50964,36,78,0.52781,strongly_positive,strongly_positive
24-02-2025,92,6304,0.53062,27,50,0.53856,strongly_positive,strongly_positive
24-02-2025,26,658,0.56798,8,19,0.57338,strongly_positive,strongly_positive
24-02-2025,12,158,0.6126,5,13,0.5204,strongly_positive,strongly_positive
24-02-2025,0,0,0.0,0,0,0.0,strongly_positive,strongly_positive
24-02-2025,10,190,0.64026,5,23,0.592,strongly_positive,strongly_positive
24-02-2025,6,17,0.56013,4,6,0.5475,strongly_positive,strongly_positive
24-02-2025,4,13,0.41951,3,8,0.43333,strongly_positive,strongly_positive
