published_date,twitter_posts,twitter_likes,twitter_sentiment,stock_twitter_posts,stock_twitter_likes,sentiment_score,weighted_daily_sentiment_x,weighted_daily_sentiment_y
04-03-2025,107,10973,0.50394,33,78,0.52188,strongly_positive,strongly_positive
04-03-2025,413,124900,0.53586,142,255,0.52474,strongly_positive,strongly_positive
04-03-2025,651,150220,0.52976,234,203,0.54691,strongly_positive,strongly_positive
04-03-2025,483,94350,0.52987,239,239,0.53367,strongly_positive,strongly_positive
04-03-2025,419,60729,0.51723,240,212,0.53658,strongly_positive,strongly_positive
04-03-2025,396,48365,0.63165,241,194,0.54748,strongly_positive,strongly_positive
04-03-2025,251,6939,0.59198,239,170,0.54972,strongly_positive,strongly_positive
04-03-2025,827,243083,0.52279,240,213,0.54229,strongly_positive,strongly_positive
04-03-2025,743,158392,0.53645,240,170,0.53061,strongly_positive,strongly_positive
04-03-2025,353,32168,0.62397,240,172,0.5246,strongly_positive,strongly_positive
04-03-2025,329,31782,0.52584,239,206,0.53115,strongly_positive,strongly_positive
04-03-2025,519,106788,0.50379,162,159,0.52072,strongly_positive,strongly_positive
04-03-2025,289,47156,0.6178,94,131,0.51849,strongly_positive,strongly_positive
04-03-2025,123,8407,0.52087,45,61,0.53893,strongly_positive,strongly_positive
04-03-2025,99,9811,0.49953,50,124,0.50592,strongly_positive,strongly_positive
04-03-2025,54,3674,0.57168,29,91,0.55462,strongly_positive,strongly_positive
04-03-2025,31,1058,0.6485,19,56,0.55484,strongly_positive,strongly_positive
04-03-2025,44,1154,0.49931,38,90,0.50605,strongly_positive,strongly_positive
04-03-2025,180,32905,0.52463,53,134,0.54357,strongly_positive,strongly_positive
03-03-2025,222,49994,0.5375,73,182,0.52764,strongly_positive,strongly_positive
03-03-2025,256,48288,0.57069,105,189,0.5235,strongly_positive,strongly_positive
03-03-2025,237,47209,0.53052,111,229,0.53333,strongly_positive,strongly_positive
03-03-2025,247,58273,0.52115,122,288,0.51107,strongly_positive,strongly_positive
03-03-2025,177,20962,0.51539,129,255,0.5246,strongly_positive,strongly_positive
03-03-2025,228,13854,0.55274,200,220,0.51497,strongly_positive,strongly_positive
03-03-2025,640,248688,0.6218,209,313,0.5323,strongly_positive,strongly_positive
03-03-2025,652,160740,0.49998,239,221,0.51549,strongly_positive,strongly_positive
03-03-2025,625,99313,0.54636,240,149,0.50833,strongly_positive,strongly_positive
03-03-2025,447,62825,0.52926,240,189,0.51973,strongly_positive,strongly_positive
03-03-2025,384,24189,0.56756,240,104,0.49499,strongly_positive,strongly_positive
03-03-2025,348,44118,0.50679,232,231,0.51882,strongly_positive,strongly_positive
03-03-2025,809,223148,0.49613,239,203,0.51481,strongly_positive,strongly_positive
03-03-2025,786,165740,0.58161,242,161,0.5064,strongly_positive,strongly_positive
03-03-2025,442,107294,0.51175,152,205,0.52543,strongly_positive,strongly_positive
03-03-2025,221,35036,0.63564,104,183,0.51323,strongly_positive,strongly_positive
03-03-2025,117,8972,0.52945,58,94,0.52503,strongly_positive,strongly_positive
03-03-2025,47,912,0.50389,36,47,0.51808,strongly_positive,strongly_positive
03-03-2025,22,300,0.57364,18,40,0.53872,strongly_positive,strongly_positive
