date,AAPL_close,AAPL_high,AAPL_low,AAPL_open,AAPL_traded_volume,AAPL_adjClose,AAPL_adjLow,AAPL_adjOpen,AAPL_adj_traded_volume,AAPL_divCash,AAPL_splitFactor
12-12-1980,28.75,28.87,28.75,28.75,2093900,0.0989742958,0.0989742958,0.0989742958,469034069,0.0,1.0
15-12-1980,27.25,27.38,27.25,27.38,785200,0.0938104195,0.0938104195,0.0942579555,175884975,0.0,1.0
16-12-1980,25.25,25.37,25.25,25.37,472000,0.0869252511,0.0869252511,0.0873383612,105728105,0.0,1.0
17-12-1980,25.87,26.0,25.87,25.87,385900,0.0890596533,0.0890596533,0.0890596533,86441686,0.0,1.0
18-12-1980,26.63,26.75,26.63,26.63,327900,0.0916760173,0.0916760173,0.0916760173,73449673,0.0,1.0
19-12-1980,28.25,28.38,28.25,28.25,217100,0.0972530037,0.0972530037,0.0972530037,48630448,0.0,1.0
22-12-1980,29.63,29.75,29.63,29.63,166800,0.1020037699,0.1020037699,0.1020037699,37363237,0.0,1.0
23-12-1980,30.88,31.0,30.88,30.88,209600,0.1063070002,0.1063070002,0.1063070002,46950446,0.0,1.0
24-12-1980,32.5,32.63,32.5,32.5,214300,0.1118839866,0.1118839866,0.1118839866,48003248,0.0,1.0
26-12-1980,35.5,35.62,35.5,35.5,248100,0.1222117392,0.1222117392,0.1222117392,55574455,0.0,1.0
29-12-1980,36.0,36.13,36.0,36.0,415900,0.1239330313,0.1239330313,0.1239330313,93161693,0.0,1.0
30-12-1980,35.12,35.25,35.12,35.25,307500,0.1209035572,0.1209035572,0.1213510932,68880068,0.0,1.0
31-12-1980,34.13,34.25,34.13,34.25,159600,0.1174953988,0.1174953988,0.1179085089,35750435,0.0,1.0
02-01-1981,34.5,34.75,34.5,34.5,96700,0.118769155,0.118769155,0.118769155,21660821,0.0,1.0
05-01-1981,33.75,33.87,33.75,33.87,159500,0.1161872168,0.1161872168,0.116600327,35728035,0.0,1.0
06-01-1981,32.25,32.37,32.25,32.37,201600,0.1110233405,0.1110233405,0.1114364506,45158445,0.0,1.0
07-01-1981,30.88,31.0,30.88,31.0,248600,0.1063070002,0.1063070002,0.1067201103,55686455,0.0,1.0
08-01-1981,30.25,30.37,30.25,30.37,177800,0.1041381721,0.1041381721,0.1045512822,39827239,0.0,1.0
09-01-1981,31.88,32.0,31.88,31.88,96000,0.1097495844,0.1097495844,0.1097495844,21504021,0.0,1.0
12-01-1981,31.62,31.88,31.62,31.88,105800,0.1088545125,0.1088545125,0.1097495844,23699223,0.0,1.0
13-01-1981,30.5,30.63,30.5,30.63,102900,0.1049988182,0.1049988182,0.1054463541,23049623,0.0,1.0
14-01-1981,30.63,30.75,30.63,30.63,63800,0.1054463541,0.1054463541,0.1054463541,14291214,0.0,1.0
15-01-1981,31.25,31.5,31.25,31.25,62800,0.1075807563,0.1075807563,0.1075807563,14067214,0.0,1.0
16-01-1981,31.0,31.12,31.0,31.12,59800,0.1067201103,0.1067201103,0.1071332204,13395213,0.0,1.0
19-01-1981,32.87,33.0,32.87,32.87,185600,0.1131577427,0.1131577427,0.1131577427,41574441,0.0,1.0
20-01-1981,31.88,32.0,31.88,32.0,134300,0.1097495844,0.1097495844,0.1101626945,30083230,0.0,1.0
21-01-1981,32.5,32.75,32.5,32.5,71000,0.1118839866,0.1118839866,0.1118839866,15904015,0.0,1.0
22-01-1981,32.87,33.13,32.87,32.87,158700,0.1131577427,0.1131577427,0.1131577427,35548835,0.0,1.0
23-01-1981,32.75,33.0,32.75,32.87,50100,0.1127446326,0.1127446326,0.1131577427,11222411,0.0,1.0
26-01-1981,32.25,32.37,32.25,32.37,110000,0.1110233405,0.1110233405,0.1114364506,24640024,0.0,1.0
27-01-1981,32.0,32.25,32.0,32.25,105800,0.1101626945,0.1101626945,0.1110233405,23699223,0.0,1.0
28-01-1981,31.0,31.12,31.0,31.12,125700,0.1067201103,0.1067201103,0.1071332204,28156828,0.0,1.0
29-01-1981,29.87,30.0,29.87,30.0,196000,0.1028299901,0.1028299901,0.1032775261,43904043,0.0,1.0
30-01-1981,28.25,28.5,28.25,28.5,206200,0.0972530037,0.0972530037,0.0981136498,46188846,0.0,1.0
02-02-1981,26.63,26.75,26.63,26.75,106100,0.0916760173,0.0916760173,0.0920891274,23766423,0.0,1.0
03-02-1981,27.62,27.75,27.62,27.62,85500,0.0950841757,0.0950841757,0.0950841757,19152019,0.0,1.0
04-02-1981,28.62,28.75,28.62,28.62,124400,0.0985267599,0.0985267599,0.0985267599,27865627,0.0,1.0
