date,AMZN_close,AMZN_high,AMZN_low,AMZN_open,AMZN_traded_volume,AMZN_adjClose,AMZN_adjLow,AMZN_adjOpen,AMZN_adj_traded_volume,AMZN_divCash,AMZN_splitFactor
15-05-1997,23.5,30.0,23.13,29.25,5713300,0.0979166667,0.096375,0.121875,1371192000,0.0,1.0
16-05-1997,20.75,23.75,20.5,22.38,1225000,0.0864583333,0.0854166667,0.09325,294000000,0.0,1.0
19-05-1997,20.5,21.25,19.5,20.5,508900,0.0854166667,0.08125,0.0854166667,122136000,0.0,1.0
20-05-1997,19.63,21.0,19.63,20.75,455600,0.0817916667,0.0817916667,0.0864583333,109344000,0.0,1.0
21-05-1997,17.13,19.75,16.5,19.25,1571100,0.071375,0.06875,0.0802083333,377064000,0.0,1.0
22-05-1997,16.75,17.38,15.75,17.25,981400,0.0697916667,0.065625,0.071875,235536000,0.0,1.0
23-05-1997,18.0,18.25,16.0,16.88,1328100,0.075,0.0666666667,0.0703333333,318744000,0.0,1.0
27-05-1997,19.0,19.75,17.5,17.75,724800,0.0791666667,0.0729166667,0.0739583333,173952000,0.0,1.0
28-05-1997,18.38,19.63,18.38,19.31,381200,0.0765833333,0.0765833333,0.0804583333,91488000,0.0,1.0
29-05-1997,18.06,18.5,17.75,18.5,289400,0.07525,0.0739583333,0.0770833333,69456000,0.0,1.0
30-05-1997,18.0,18.13,17.75,18.0,216200,0.075,0.0739583333,0.075,51888000,0.0,1.0
02-06-1997,18.13,18.38,18.0,18.13,49300,0.0755416667,0.075,0.0755416667,11832000,0.0,1.0
03-06-1997,17.75,18.38,17.75,18.38,98600,0.0739583333,0.0739583333,0.0765833333,23664000,0.0,1.0
04-06-1997,17.0,17.88,16.75,17.75,256700,0.0708333333,0.0697916667,0.0739583333,61608000,0.0,1.0
05-06-1997,18.5,18.5,16.5,17.0,472700,0.0770833333,0.06875,0.0708333333,113448000,0.0,1.0
06-06-1997,19.88,20.5,18.13,18.13,650600,0.0828333333,0.0755416667,0.0755416667,156144000,0.0,1.0
09-06-1997,20.25,20.5,19.88,20.25,196000,0.084375,0.0828333333,0.084375,47040000,0.0,1.0
10-06-1997,19.0,20.5,18.38,20.5,454900,0.0791666667,0.0765833333,0.0854166667,109176000,0.0,1.0
11-06-1997,18.5,19.25,18.38,19.13,99000,0.0770833333,0.0765833333,0.0797083333,23760000,0.0,1.0
12-06-1997,19.25,19.75,18.63,19.0,136000,0.0802083333,0.077625,0.0791666667,32640000,0.0,1.0
13-06-1997,19.0,19.5,19.0,19.5,57800,0.0791666667,0.0791666667,0.08125,13872000,0.0,1.0
16-06-1997,18.88,19.25,18.75,19.0,76100,0.0786666667,0.078125,0.0791666667,18264000,0.0,1.0
17-06-1997,18.06,19.19,17.94,18.94,392200,0.07525,0.07475,0.0789166667,94128000,0.0,1.0
18-06-1997,18.13,18.44,18.0,18.25,205400,0.0755416667,0.075,0.0760416667,49296000,0.0,1.0
19-06-1997,18.13,18.38,18.0,18.13,83600,0.0755416667,0.075,0.0755416667,20064000,0.0,1.0
20-06-1997,18.31,18.63,18.0,18.38,282300,0.0762916667,0.075,0.0765833333,67752000,0.0,1.0
23-06-1997,18.0,18.5,17.75,18.25,87300,0.075,0.0739583333,0.0760416667,20952000,0.0,1.0
24-06-1997,18.13,18.31,17.75,18.06,62600,0.0755416667,0.0739583333,0.07525,15024000,0.0,1.0
25-06-1997,18.13,18.31,17.88,18.13,175500,0.0755416667,0.0745,0.0755416667,42120000,0.0,1.0
26-06-1997,18.13,18.25,18.06,18.25,265800,0.0755416667,0.07525,0.0760416667,63792000,0.0,1.0
27-06-1997,17.88,18.19,17.75,18.19,99000,0.0745,0.0739583333,0.0757916667,23760000,0.0,1.0
30-06-1997,18.5,19.19,17.75,18.13,228900,0.0770833333,0.0739583333,0.0755416667,54936000,0.0,1.0
01-07-1997,18.19,18.5,18.13,18.5,107700,0.0757916667,0.0755416667,0.0770833333,25848000,0.0,1.0
02-07-1997,19.06,19.13,18.13,18.44,323500,0.0794166667,0.0755416667,0.0768333333,77640000,0.0,1.0
03-07-1997,22.94,23.0,19.13,19.63,1048100,0.0955833333,0.0797083333,0.0817916667,251544000,0.0,1.0
07-07-1997,24.0,24.25,22.0,22.0,671100,0.1,0.0916666667,0.0916666667,161064000,0.0,1.0
08-07-1997,27.63,28.0,24.5,24.5,1293100,0.115125,0.1020833333,0.1020833333,310344000,0.0,1.0
09-07-1997,27.88,28.63,27.25,27.63,688500,0.1161666667,0.1135416667,0.115125,165240000,0.0,1.0
10-07-1997,28.5,28.63,28.0,28.38,754300,0.11875,0.1166666667,0.11825,181032000,0.0,1.0
11-07-1997,28.0,30.25,26.5,28.38,877600,0.1166666667,0.1104166667,0.11825,210624000,0.0,1.0
14-07-1997,26.5,28.0,26.13,27.75,383700,0.1104166667,0.108875,0.115625,92088000,0.0,1.0
15-07-1997,28.63,28.75,25.63,26.25,772900,0.1192916667,0.1067916667,0.109375,185496000,0.0,1.0
16-07-1997,28.0,29.94,27.63,29.38,252000,0.1166666667,0.115125,0.1224166667,60480000,0.0,1.0
17-07-1997,26.88,28.13,26.63,27.13,264100,0.112,0.1109583333,0.1130416667,63384000,0.0,1.0
18-07-1997,25.88,26.63,25.88,26.25,65000,0.1078333333,0.1078333333,0.109375,15600000,0.0,1.0
