date,GOOG_close,GOOG_high,GOOG_low,GOOG_open,GOOG_traded_volume,GOOG_adjClose,GOOG_adjLow,GOOG_adjOpen,GOOG_adj_traded_volume,GOOG_divCash,GOOG_splitFactor
27-03-2014,558.46,568.0,552.92,568.0,13100,27.822744747,27.5467392929,28.2980321174,262000,0.0,1.0
28-03-2014,559.99,566.43,558.67,561.2,41100,27.89897008,27.8332070476,27.9592528597,822000,0.0,1.0
31-03-2014,556.97,567.0,556.93,566.89,10800,27.7485122332,27.746519414,28.2427313857,216000,0.0,1.0
01-04-2014,567.16,568.45,558.71,558.71,7900,28.256182915,27.8351998668,27.8351998668,158000,0.0,1.0
02-04-2014,567.0,604.83,562.19,565.106,146700,28.2482116384,28.008575134,28.153851651,2934000,0.0,1.0
03-04-2014,569.74,587.28,564.13,569.85,5085200,28.384719751,28.1052268634,28.3902000037,101704000,0.0,1.0
04-04-2014,543.14,577.77,543.0,574.65,6351900,27.0594950075,27.0525201404,28.6293383033,127038000,0.0,1.0
07-04-2014,538.15,548.48,527.15,540.74,4389600,26.8108908169,26.262865547,26.9399258577,87792000,0.0,1.0
08-04-2014,554.9,555.0,541.61,542.6,3142600,27.6453838415,26.9832696745,27.0325919488,62852000,0.0,1.0
09-04-2014,564.14,565.37,552.95,559.62,3321700,28.1057250682,27.5482339073,27.8805365028,66434000,0.0,1.0
10-04-2014,540.95,565.0,539.9,565.0,4025800,26.9503881583,26.8980766553,28.1485706802,80516000,0.0,1.0
11-04-2014,530.6,540.0,526.53,532.55,3914100,26.4347461999,26.23197685,26.5318961341,78282000,0.0,1.0
14-04-2014,532.52,544.1,529.561,538.25,2568000,26.5304015197,26.3829827221,26.8158728648,51360000,0.0,1.0
15-04-2014,536.44,538.45,518.4601,536.82,3844500,26.7256977977,25.8299305659,26.7446295797,76890000,0.0,1.0
16-04-2014,556.54,557.0,540.0,543.0,4879900,27.7270894272,26.9030587032,27.0525201404,97598000,0.0,1.0
17-04-2014,536.1,549.5,531.15,548.81,6790900,26.7087588348,26.4621474633,27.3419771239,135818000,0.0,1.0
21-04-2014,528.62,536.7,525.6,536.1,2559700,26.3361016513,26.1856438045,26.7087588348,51194000,0.0,1.0
22-04-2014,534.81,537.23,527.51,528.64,2358900,26.6444904168,26.2808009195,26.3370980609,47178000,0.0,1.0
23-04-2014,526.94,533.87,526.25,533.79,2046700,26.2524032464,26.2180271159,26.5936735281,40934000,0.0,1.0
24-04-2014,525.16,531.65,522.12,530.07,1878000,26.1637227937,26.0122685373,26.4083413459,37560000,0.0,1.0
25-04-2014,516.18,524.7,515.42,522.51,2094600,25.7163348915,25.6784713274,26.0316985241,41892000,0.0,1.0
28-04-2014,517.15,518.6,502.8,517.18,3326400,25.7646607562,25.0497368814,25.7661553706,66528000,0.0,1.0
29-04-2014,527.7,529.46,516.32,516.9,2691700,26.2902668105,25.7233097586,25.7522056365,53834000,0.0,1.0
30-04-2014,526.66,528.0,522.52,527.6,1746400,26.2384535123,26.0321967289,26.2852847626,34928000,0.0,1.0
01-05-2014,531.35,532.93,523.88,527.11,1900300,26.4721115592,26.0999525804,26.2608727279,38006000,0.0,1.0
02-05-2014,527.93,533.9999,525.61,533.76,1683900,26.3017255207,26.1861420092,26.5921789137,33678000,0.0,1.0
05-05-2014,527.81,528.9,521.32,524.82,1021300,26.2957470632,25.972412154,26.1467838308,20426000,0.0,1.0
06-05-2014,515.14,526.81,515.06,525.23,1684400,25.6645215933,25.660535955,26.1672102272,33688000,0.0,1.0
07-05-2014,509.96,516.68,503.3,515.79,3215500,25.4064515116,25.074647121,25.6969049047,64310000,0.0,1.0
08-05-2014,511.0,517.23,506.45,508.46,2015800,25.4582648099,25.2315816301,25.331720793,40316000,0.0,1.0
09-05-2014,518.73,519.9,504.2,510.75,2432800,25.8433771132,25.1194855521,25.4458096901,48656000,0.0,1.0
12-05-2014,529.92,530.19,519.01,523.51,1907300,26.4008682741,25.8573268473,26.0815190032,38146000,0.0,1.0
13-05-2014,533.09,536.07,529.51,530.89,1648900,26.5587991928,26.3804418777,26.4491941388,32978000,0.0,1.0
14-05-2014,526.65,533.0,525.29,533.0,1188500,26.2379553075,26.1701994559,26.5543153496,23770000,0.0,1.0
15-05-2014,519.98,525.87,517.42,525.7,1699700,25.905652712,25.7781122856,26.1906258524,33994000,0.0,1.0
