date,META_close,META_high,META_low,META_open,META_traded_volume,META_adjClose,META_adjLow,META_adjOpen,META_adj_traded_volume,META_divCash,META_splitFactor
18-05-2012,38.2318,45.0,38.0,42.05,573576400,38.0869166302,37.8559950604,41.8906471655,573576400,0.0,1.0
21-05-2012,34.03,36.66,33.0,36.53,168192700,33.901039787,32.8749430788,36.3915657778,168192700,0.0,1.0
22-05-2012,31.0,33.59,30.94,32.61,101786600,30.8825222861,30.8227496623,32.4864210242,101786600,0.0,1.0
23-05-2012,32.0,32.5,31.36,31.37,73600000,31.8787326824,31.2411580288,31.2511201327,73600000,0.0,1.0
24-05-2012,33.03,33.21,31.77,32.95,50237200,32.9048293906,31.6496042913,32.8251325589,50237200,0.0,1.0
25-05-2012,31.91,32.95,31.11,32.9,37149800,31.7890737468,30.9921054297,32.7753220391,37149800,0.0,1.0
29-05-2012,28.84,31.69,28.65,31.48,78063400,28.73070783,28.5414278547,31.3607032763,78063400,0.0,1.0
30-05-2012,28.19,29.55,27.86,28.695,57267900,28.0831710724,27.7544216416,28.5862573226,57267900,0.0,1.0
31-05-2012,29.6,29.67,26.83,28.545,111639200,29.4878277312,26.7283249334,28.4368257631,111639200,0.0,1.0
01-06-2012,27.72,29.15,27.39,28.892,41855500,27.6149521862,27.2862027554,28.7825107706,41855500,0.0,1.0
04-06-2012,26.9,27.65,26.44,27.2,35230300,26.7980596612,26.3398028789,27.0969227801,35230300,0.0,1.0
05-06-2012,25.869,27.76,25.75,26.7,42473400,25.7709667426,25.6524177054,26.5988175819,42473400,0.0,1.0
06-06-2012,26.81,27.17,25.52,26.07,61489200,26.7084007255,25.4232893142,25.9712050322,61489200,0.0,1.0
07-06-2012,26.31,27.35,26.15,27.0,26159500,26.2102955273,26.0509018639,26.8976807008,26159500,0.0,1.0
08-06-2012,27.1,27.76,26.44,26.55,38034000,26.9973017404,26.3398028789,26.4493860224,38034000,0.0,1.0
11-06-2012,27.005,28.07,26.835,27.18,28219600,26.9026617528,26.7333059854,27.0769985721,28219600,0.0,1.0
12-06-2012,27.4,27.77,26.96,27.48,15816800,27.2961648593,26.8578322849,27.375861691,15816800,0.0,1.0
13-06-2012,27.27,28.1,27.1,27.66,17102800,27.1666575078,26.9973017404,27.5551795624,17102800,0.0,1.0
14-06-2012,28.29,28.32,27.38,27.65,16855000,28.1827921121,27.2762406514,27.5452174584,16855000,0.0,1.0
15-06-2012,30.014,30.1,28.35,28.505,43563800,29.9002588353,28.2425647358,28.3969773473,43563800,0.0,1.0
18-06-2012,31.41,32.08,29.41,29.955,42978900,31.2909685486,29.2985477559,29.8414824219,42978900,0.0,1.0
19-06-2012,31.911,32.18,30.7,31.535,30849000,31.7900699572,30.5836591672,31.4154948481,30849000,0.0,1.0
20-06-2012,31.6,31.9288,31.15,31.92,15553600,31.4802485239,31.0319538455,31.7990358507,15553600,0.0,1.0
21-06-2012,31.84,32.5,31.51,31.67,21875300,31.719339019,31.3905895882,31.5499832516,21875300,0.0,1.0
22-06-2012,33.05,33.45,32.06,32.41,74834000,32.9247535986,31.9385053062,32.2871789449,74834000,0.0,1.0
25-06-2012,32.06,33.02,31.55,32.86,24352900,31.9385053062,31.4304380041,32.7354736233,24352900,0.0,1.0
26-06-2012,33.1,33.44,32.5,32.69,24858700,32.9745641184,32.3768378806,32.5661178559,24858700,0.0,1.0
27-06-2012,32.23,32.9,31.9,32.46,28568000,32.1078610736,31.7791116428,32.3369894647,28568000,0.0,1.0
28-06-2012,31.36,32.19,30.9,31.96,17713300,31.2411580288,30.7829012465,31.8388842666,17713300,0.0,1.0
29-06-2012,31.095,31.99,30.76,31.92,19526900,30.9771622738,30.643431791,31.7990358507,19526900,0.0,1.0
02-07-2012,30.771,31.73,30.55,31.25,14122000,30.6543901053,30.4342276078,31.1315748852,14122000,0.0,1.0
03-07-2012,31.2,31.44,30.8,30.91,8763600,31.0817643654,30.6832802068,30.7928633504,8763600,0.0,1.0
05-07-2012,31.47,31.625,31.02,31.32,10032100,31.3507411724,30.902446494,31.2013096129,10032100,0.0,1.0
06-07-2012,31.73,31.9,31.26,31.44,10945600,31.6097558754,31.1415369891,31.3208548605,10945600,0.0,1.0
09-07-2012,32.17,32.88,31.99,32.1,17785200,32.0480884498,31.8687705785,31.9783537221,17785200,0.0,1.0
10-07-2012,31.47,32.48,31.1599,32.43,14269500,31.3507411724,31.0418163285,32.3071031528,14269500,0.0,1.0
11-07-2012,30.97,31.56,30.55,31.48,13030300,30.8526359742,30.4342276078,31.3607032763,13030300,0.0,1.0
12-07-2012,30.81,31.4,30.6,30.7,11300700,30.6932423108,30.4840381276,30.5836591672,11300700,0.0,1.0
13-07-2012,30.72,31.07,30.56,31.04,8108300,30.6035833751,30.4441897117,30.922370702,8108300,0.0,1.0
16-07-2012,28.245,30.5,28.21,30.5,24672100,28.1379626442,28.1030952804,30.3844170879,24672100,0.0,1.0
17-07-2012,28.09,28.59,27.15,28.48,30438600,27.9835500328,27.0471122602,28.3720720874,30438600,0.0,1.0
18-07-2012,29.11,29.29,28.15,28.31,16841800,28.999684637,28.0433226566,28.20271632,16841800,0.0,1.0
19-07-2012,29.0,29.5,28.63,29.41,13685100,28.8901014934,28.5215036468,29.2985477559,13685100,0.0,1.0
20-07-2012,28.76,29.47,28.72,29.0,11869100,28.6510109983,28.6111625825,28.8901014934,11869100,0.0,1.0
23-07-2012,28.75,29.0,28.01,28.12,12390700,28.6410488944,27.9038532011,28.0134363447,12390700,0.0,1.0
24-07-2012,28.45,29.45,28.1,28.82,11539800,28.3421857755,27.9935121368,28.7107836221,11539800,0.0,1.0
25-07-2012,29.34,29.49,28.08,28.39,17230200,29.2288130282,27.9735879288,28.2824131517,17230200,0.0,1.0
