date,MSFT_close,MSFT_high,MSFT_low,MSFT_open,MSFT_traded_volume,MSFT_adjClose,MSFT_adjLow,MSFT_adjOpen,MSFT_adj_traded_volume,MSFT_divCash,MSFT_splitFactor
13-03-1986,28.0,29.25,25.5,25.5,3582600,0.0598343819,0.0544920263,0.0544920263,1031788800,0.0,1.0
14-03-1986,29.0,29.5,28.0,28.0,1070000,0.0619713241,0.0598343819,0.0598343819,308160000,0.0,1.0
17-03-1986,29.5,29.75,29.0,29.0,462400,0.0630397952,0.0619713241,0.0619713241,133171200,0.0,1.0
18-03-1986,28.75,29.75,28.5,29.5,235300,0.0614370885,0.060902853,0.0630397952,67766400,0.0,1.0
19-03-1986,28.25,29.0,28.0,28.75,166300,0.0603686174,0.0598343819,0.0614370885,47894400,0.0,1.0
20-03-1986,27.5,28.25,27.25,28.25,202900,0.0587659108,0.0582316752,0.0603686174,58435200,0.0,1.0
21-03-1986,26.75,28.0,26.25,27.5,208300,0.0571632041,0.056094733,0.0587659108,59990400,0.0,1.0
24-03-1986,26.0,26.75,25.75,26.75,226700,0.0555604974,0.0550262619,0.0571632041,65289600,0.0,1.0
25-03-1986,26.5,26.5,25.75,26.0,111400,0.0566289685,0.0550262619,0.0555604974,32083200,0.0,1.0
26-03-1986,27.25,27.5,26.25,26.5,79000,0.0582316752,0.056094733,0.0566289685,22752000,0.0,1.0
27-03-1986,27.75,27.75,27.25,27.25,58500,0.0593001463,0.0582316752,0.0582316752,16848000,0.0,1.0
31-03-1986,27.5,27.75,27.0,27.75,44700,0.0587659108,0.0576974396,0.0593001463,12873600,0.0,1.0
01-04-1986,27.25,27.5,27.25,27.5,38500,0.0582316752,0.0582316752,0.0587659108,11088000,0.0,1.0
02-04-1986,27.5,28.0,27.25,27.25,93800,0.0587659108,0.0582316752,0.0582316752,27014400,0.0,1.0
03-04-1986,27.75,28.5,27.75,27.75,80000,0.0593001463,0.0593001463,0.0593001463,23040000,0.0,1.0
04-04-1986,27.75,28.0,27.75,27.75,92300,0.0593001463,0.0593001463,0.0593001463,26582400,0.0,1.0
07-04-1986,27.25,28.0,26.75,27.75,57500,0.0582316752,0.0571632041,0.0593001463,16560000,0.0,1.0
