date,NVDA_close,NVDA_high,NVDA_low,NVDA_open,NVDA_traded_volume,NVDA_adjClose,NVDA_adjLow,NVDA_adjOpen,NVDA_adj_traded_volume,NVDA_divCash,NVDA_splitFactor
22-01-1999,19.69,23.44,18.63,21.0,5655600,0.0376236248,0.0355981783,0.040126771,2714686642,0.0,1.0
25-01-1999,21.75,22.0,19.69,21.25,1063500,0.04155987,0.0376236248,0.0406044706,510479744,0.0,1.0
26-01-1999,20.06,22.44,19.75,22.0,715000,0.0383306203,0.0377382727,0.0420375696,343199828,0.0,1.0
27-01-1999,20.0,20.63,19.0,20.13,509100,0.0382159724,0.0363051738,0.0384643762,244367877,0.0,1.0
28-01-1999,19.94,20.13,19.81,20.0,474000,0.0381013245,0.0378529206,0.0382159724,227519886,0.0,1.0
29-01-1999,19.0,20.0,19.0,19.94,508400,0.0363051738,0.0363051738,0.0381013245,244031877,0.0,1.0
01-02-1999,19.38,19.5,19.0,19.0,322300,0.0370312772,0.0363051738,0.0363051738,154703922,0.0,1.0
02-02-1999,17.88,19.5,17.31,19.0,550200,0.0341650793,0.0330759241,0.0363051738,264095867,0.0,1.0
03-02-1999,18.25,18.5,17.5,17.63,156500,0.0348720748,0.0334389758,0.0336873796,75119962,0.0,1.0
04-02-1999,19.25,19.75,18.25,18.5,379000,0.0367828734,0.0348720748,0.0353497744,181919909,0.0,1.0
05-02-1999,19.81,20.0,19.06,19.56,285100,0.0378529206,0.0364198217,0.037375221,136847931,0.0,1.0
08-02-1999,19.13,20.0,19.13,19.94,321000,0.0365535776,0.0365535776,0.0381013245,154079922,0.0,1.0
09-02-1999,18.38,19.63,18.13,19.5,181200,0.0351204786,0.034642779,0.0372605731,86975956,0.0,1.0
10-02-1999,18.19,18.88,17.88,18.38,308800,0.0347574269,0.0341650793,0.0351204786,148223925,0.0,1.0
11-02-1999,19.75,20.5,18.25,18.25,275500,0.0377382727,0.0348720748,0.0348720748,132239933,0.0,1.0
12-02-1999,20.88,21.0,20.0,20.0,228600,0.0398974752,0.0382159724,0.0382159724,109727945,0.0,1.0
16-02-1999,21.0,22.13,18.88,21.25,439600,0.040126771,0.0360758779,0.0406044706,211007894,0.0,1.0
17-02-1999,19.88,20.75,19.5,20.5,141100,0.0379866765,0.0372605731,0.0391713717,67727966,0.0,1.0
18-02-1999,20.19,20.75,19.63,20.5,147300,0.0385790241,0.0375089769,0.0391713717,70703964,0.0,1.0
19-02-1999,20.88,21.25,19.75,20.0,157000,0.0398974752,0.0377382727,0.0382159724,75359962,0.0,1.0
22-02-1999,21.0,21.5,19.88,21.25,427600,0.040126771,0.0379866765,0.0406044706,205247897,0.0,1.0
23-02-1999,22.0,22.44,20.25,21.5,287700,0.0420375696,0.038693672,0.0410821703,138095930,0.0,1.0
24-02-1999,23.75,26.25,23.19,25.25,1276600,0.0453814672,0.04431142,0.0482476651,612767693,0.0,1.0
25-02-1999,23.0,25.5,22.63,24.75,310700,0.0439483682,0.0432413727,0.0472922658,149135925,0.0,1.0
26-02-1999,21.94,24.0,21.75,23.25,359600,0.0419229217,0.04155987,0.0444260679,172607913,0.0,1.0
01-03-1999,22.06,23.0,21.0,22.5,192000,0.0421522175,0.040126771,0.0429929689,92159953,0.0,1.0
02-03-1999,21.88,22.13,21.5,22.0,115100,0.0418082738,0.0410821703,0.0420375696,55247972,0.0,1.0
03-03-1999,20.38,22.0,20.25,22.0,127900,0.0389420758,0.038693672,0.0420375696,61391969,0.0,1.0
04-03-1999,19.94,21.5,19.75,21.38,119500,0.0381013245,0.0377382727,0.0408528745,57359971,0.0,1.0
05-03-1999,21.06,21.13,20.13,20.13,164100,0.0402414189,0.0384643762,0.0384643762,78767960,0.0,1.0
08-03-1999,21.38,22.0,20.13,20.5,158100,0.0408528745,0.0384643762,0.0391713717,75887962,0.0,1.0
09-03-1999,22.06,22.38,21.31,21.31,298300,0.0421522175,0.0407191186,0.0407191186,143183928,0.0,1.0
10-03-1999,21.69,22.38,21.38,22.38,490300,0.041445222,0.0408528745,0.0427636731,235343882,0.0,1.0
11-03-1999,20.75,21.69,20.75,21.31,113100,0.0396490713,0.0396490713,0.0407191186,54287972,0.0,1.0
12-03-1999,20.38,20.88,20.0,20.88,189100,0.0389420758,0.0382159724,0.0398974752,90767954,0.0,1.0
15-03-1999,21.25,21.5,20.75,20.88,226700,0.0406044706,0.0396490713,0.0398974752,108815945,0.0,1.0
16-03-1999,20.56,21.63,20.38,21.38,164900,0.0392860196,0.0389420758,0.0408528745,79151960,0.0,1.0
17-03-1999,20.69,21.13,20.19,20.75,107000,0.0395344234,0.0385790241,0.0396490713,51359974,0.0,1.0
18-03-1999,20.94,21.25,20.25,20.75,96500,0.0400121231,0.038693672,0.0396490713,46319976,0.0,1.0
19-03-1999,21.0,21.63,20.88,20.88,219400,0.040126771,0.0398974752,0.0398974752,105311947,0.0,1.0
22-03-1999,20.38,21.5,20.38,21.44,76400,0.0389420758,0.0389420758,0.0409675224,36671981,0.0,1.0
23-03-1999,19.13,20.5,18.75,20.5,341600,0.0365535776,0.0358274741,0.0391713717,163967918,0.0,1.0
24-03-1999,19.0,19.13,18.25,19.0,126800,0.0363051738,0.0348720748,0.0363051738,60863969,0.0,1.0
25-03-1999,19.25,20.0,18.88,18.94,84000,0.0367828734,0.0360758779,0.0361905258,40319979,0.0,1.0
