date,Lithium_price,Lithium_volume,Lithium_open,Lithium_close
04-03-2025,40.3,462192,39.5,40.3
03-03-2025,40.57,335000,41.61,40.57
28-02-2025,40.74,260020,40.62,40.74
27-02-2025,41.8,200467,42.12,41.8
26-02-2025,42,249070,42,42
25-02-2025,41.75,243759,42.27,41.75
24-02-2025,42.25,194427,42.53,42.25
21-02-2025,42.59,248645,43.15,42.59
20-02-2025,42.84,310400,42.6,42.84
19-02-2025,42.24,252788,42.09,42.24
18-02-2025,42.36,196624,42.01,42.36
14-02-2025,42.34,324450,42.42,42.34
13-02-2025,42.33,353200,41.3,42.33
12-02-2025,41.43,526503,40.52,41.43
11-02-2025,40.26,302200,40.25,40.26
10-02-2025,41.02,157159,41.14,41.02
07-02-2025,41.14,230742,41.4,41.14
06-02-2025,41.14,254323,41.06,41.14
05-02-2025,40.37,122463,40.35,40.37
04-02-2025,40.35,126219,39.54,40.35
03-02-2025,39.63,315900,39.3,39.63
31-01-2025,40.49,207597,40.81,40.49
30-01-2025,41.11,169501,40.87,41.11
29-01-2025,40.79,124400,40.74,40.79
28-01-2025,40.67,222402,40.69,40.67
27-01-2025,41.01,266348,40.82,41.01
24-01-2025,41.49,130217,41.49,41.49
23-01-2025,41.29,264633,41.14,41.29
22-01-2025,41.58,238800,42,41.58
21-01-2025,42.2,232400,42.54,42.2
17-01-2025,42.28,337841,41.9,42.28
16-01-2025,41.62,168622,41.64,41.62
15-01-2025,41.87,343666,41.72,41.87
14-01-2025,41.17,238515,41.19,41.17
13-01-2025,40.53,346731,39.76,40.53
10-01-2025,39.77,466601,39.85,39.77
08-01-2025,40.63,288301,40.71,40.63
07-01-2025,41.08,282152,41.28,41.08
06-01-2025,40.95,262900,41.18,40.95
03-01-2025,40.68,185809,39.92,40.68
02-01-2025,40.12,664604,40.34,40.12
31-12-2024,40.78,267955,41.1,40.78
30-12-2024,41.54,330419,41.5,41.54
27-12-2024,41.97,250658,42.05,41.97
26-12-2024,42.35,251775,42.1,42.35
24-12-2024,42.74,208035,42.2,42.74
23-12-2024,42.15,344134,41.86,42.15
20-12-2024,42.16,356740,41.67,42.16
19-12-2024,41.9,662218,42.06,41.9
18-12-2024,41.97,496546,43.15,41.97
17-12-2024,43.45,301112,43.16,43.45
16-12-2024,43.53,245762,43.23,43.53
13-12-2024,43.76,164932,43.85,43.76
12-12-2024,44.41,312700,44.3,44.41
11-12-2024,44.28,225231,44.05,44.28
10-12-2024,44.04,223800,44.43,44.04
09-12-2024,45.84,584063,45.1,45.84
06-12-2024,44.18,320343,43.79,44.18
05-12-2024,43.34,228242,43.18,43.34
04-12-2024,43.35,501639,43.88,43.35
03-12-2024,44.37,259631,44.68,44.37
02-12-2024,45.16,293900,44.56,45.16
29-11-2024,44.7,115537,44.41,44.7
27-11-2024,44.65,228539,44.5,44.65
26-11-2024,43.93,701432,44.59,43.93
25-11-2024,45.49,475477,45.59,45.49
22-11-2024,44.97,788965,44.58,44.97
21-11-2024,45.57,178917,45.3,45.57
20-11-2024,45.28,338300,45.06,45.28
19-11-2024,45.21,318021,44.91,45.21
18-11-2024,44.31,256500,43.97,44.31
15-11-2024,43.86,301894,43.66,43.86
14-11-2024,44.73,243864,45.61,44.73
13-11-2024,46.38,276523,46.69,46.38
12-11-2024,45.87,235243,46.57,45.87
11-11-2024,47,545537,46.35,47
08-11-2024,44.38,267000,44.26,44.38
07-11-2024,45.34,458833,44.6,45.34
06-11-2024,43.86,573898,43.55,43.86
05-11-2024,45.22,353927,44.99,45.22
04-11-2024,44.08,199440,43.92,44.08
01-11-2024,43.68,221319,43.7,43.68
31-10-2024,43.36,142080,43.31,43.36
30-10-2024,43.33,236097,43.37,43.33
29-10-2024,43.74,202622,44.15,43.74
