date,CHFUSD_open,CHFUSD_high,CHFUSD_low,CHFUSD_close,CHFUSD_adjClose,CHFUSD_traded_volume,CHFUSD_unadjusted_traded_Volume,CHFUSD_change,CHFUSD_changePercent,CHFUSD_vwap,CHFUSD_label,CHFUSD_changeOverTime
04-03-2025,1.1146,1.12697,1.1146,1.12411,1.12411,10,10,0.00951,0.85322,1.12007,"March 04, 25",0.0085322
03-03-2025,1.1067,1.1158,1.1067,1.1147,1.1147,0,0,0.008,0.72287,1.11098,"March 03, 25",0.0072287
02-03-2025,1.10889,1.11009,1.10779,1.10779,1.10779,0,0,-0.00110567,-0.09970897,1.10864,"March 02, 25",-0.0009970897
28-02-2025,1.1113,1.11303,1.10679,1.10696,1.10696,304380,304380,-0.00434,-0.39053,1.10952,"February 28, 25",-0.0039053
27-02-2025,1.1174,1.11838,1.11062,1.1113,1.1113,274826,274826,-0.0061,-0.54591,1.11443,"February 27, 25",-0.0054591
26-02-2025,1.1197,1.12118,1.11564,1.11748,1.11748,280375,280375,-0.00222,-0.19827,1.1185,"February 26, 25",-0.0019827
25-02-2025,1.1141,1.12177,1.11405,1.11967,1.11967,277090,277090,0.00557,0.49996,1.1174,"February 25, 25",0.0049996
24-02-2025,1.1134,1.11655,1.11155,1.11443,1.11443,0,0,0.00103,0.09250943,1.11398,"February 24, 25",0.0009250943
23-02-2025,1.11483,1.116,1.11408,1.11445,1.11445,0,0,-0.000372648239,-0.03342655,1.11484,"February 23, 25",-0.0003342655
21-02-2025,1.1134,1.11485,1.11065,1.11225,1.11225,269998,269998,-0.00115,-0.10329,1.11279,"February 21, 25",-0.0010329
20-02-2025,1.1064,1.11387,1.10562,1.1135,1.1135,251185,251185,0.0071,0.64172,1.10985,"February 20, 25",0.0064172
19-02-2025,1.1066,1.108,1.1046,1.10521,1.10521,233058,233058,-0.00139,-0.12561,1.1061,"February 19, 25",-0.0012561
18-02-2025,1.1106,1.11148,1.10623,1.10669,1.10669,236954,236954,-0.00391,-0.35206,1.10875,"February 18, 25",-0.0035206
17-02-2025,1.1111,1.113,1.10906,1.10992,1.10992,0,0,-0.00118,-0.1062,1.11077,"February 17, 25",-0.001062
16-02-2025,1.11352,1.11375,1.11344,1.11346,1.11346,0,0,-6.1988831e-05,-0.00556691,1.11354,"February 16, 25",-5.56691e-05
14-02-2025,1.1066,1.11428,1.10528,1.11087,1.11087,216178,216178,0.00427,0.38587,1.10926,"February 14, 25",0.0038587
13-02-2025,1.0942,1.10742,1.0942,1.10708,1.10708,238435,238435,0.01288,1.17712,1.10073,"February 13, 25",0.0117712
12-02-2025,1.0945,1.09838,1.09262,1.09433,1.09433,219634,219634,-0.00017,-0.01553221,1.09496,"February 12, 25",-0.0001553221
11-02-2025,1.0972,1.09737,1.09424,1.0947,1.0947,198086,198086,-0.0025,-0.22785,1.09588,"February 11, 25",-0.0022785
10-02-2025,1.0989,1.0996,1.09642,1.0969,1.0969,0,0,-0.002,-0.182,1.09796,"February 10, 25",-0.00182
09-02-2025,1.10059,1.10103,1.09928,1.10023,1.10023,0,0,-0.000363349915,-0.03301397,1.10028,"February 09, 25",-0.0003301397
08-02-2025,1.10059,1.10059,1.10059,1.10059,1.10059,0,0,0,0,1.10059,"February 08, 25",0
07-02-2025,1.1044,1.10506,1.09834,1.09866,1.09866,232194,232194,-0.00574,-0.51974,1.10162,"February 07, 25",-0.0051974
06-02-2025,1.1089,1.10977,1.10371,1.10468,1.10468,224711,224711,-0.00422,-0.38056,1.10677,"February 06, 25",-0.0038056
05-02-2025,1.1042,1.11071,1.10408,1.10872,1.10872,232750,232750,0.00452,0.40935,1.10693,"February 05, 25",0.0040935
04-02-2025,1.0976,1.10534,1.09536,1.10461,1.10461,241162,241162,0.00701,0.63867,1.10073,"February 04, 25",0.0063867
03-02-2025,1.0969,1.09907,1.08762,1.09824,1.09824,0,0,0.00134,0.12216,1.09546,"February 03, 25",0.0012216
