date,CNHUSD_open,CNHUSD_high,CNHUSD_low,CNHUSD_close,CNHUSD_adjClose,CNHUSD_traded_volume,CNHUSD_unadjusted_traded_Volume,CNHUSD_change,CNHUSD_changePercent,CNHUSD_vwap,CNHUSD_label,CNHUSD_changeOverTime
04-03-2025,0.13654,0.13752,0.13654,0.13749,0.13749,309501,309501,0.00095,0.69577,0.13702,"March 04, 25",0.0069577
03-03-2025,0.13667,0.13685,0.13655,0.13655,0.13655,0,0,-0.00012,-0.08780274,0.13666,"March 03, 25",-0.0008780274
02-03-2025,0.13667,0.1372,0.13667,0.13719,0.13719,247321,247321,0.00052,0.38047852,0.13702,"March 02, 25",0.0038047852
28-02-2025,0.13655,0.13687,0.13655,0.13667,0.13667,246117,246117,0.00012,0.0878799,0.13666,"February 28, 25",0.000878799
27-02-2025,0.1372,0.13729,0.13655,0.13655,0.13655,244676,244676,-0.00065,-0.47376,0.1369,"February 27, 25",-0.0047376
26-02-2025,0.13744,0.13756,0.13724,0.13724,0.13724,247351,247351,-0.0002,-0.14552,0.13737,"February 26, 25",-0.0014552
25-02-2025,0.13748,0.13756,0.13744,0.13744,0.13744,243444,243444,-4e-05,-0.02909514,0.13748,"February 25, 25",-0.0002909514
24-02-2025,0.13751,0.13798,0.13745,0.13745,0.13745,0,0,-6e-05,-0.04363319,0.1376,"February 24, 25",-0.0004363319
23-02-2025,0.13797,0.13802,0.13795,0.138,0.138,0,0,3.7685037e-05,0.02731468,0.13799,"February 23, 25",0.0002731468
21-02-2025,0.13781,0.13786,0.13749,0.13749,0.13749,238895,238895,-0.00032,-0.2322,0.13766,"February 21, 25",-0.002322
20-02-2025,0.13689,0.13788,0.13689,0.13778,0.13778,257971,257971,0.00089,0.65016,0.13736,"February 20, 25",0.0065016
19-02-2025,0.13705,0.13707,0.13689,0.13689,0.13689,209545,209545,-0.00016,-0.11675,0.13698,"February 19, 25",-0.0011675
18-02-2025,0.13723,0.13727,0.13705,0.13705,0.13705,211050,211050,-0.00018,-0.13117,0.13715,"February 18, 25",-0.0013117
17-02-2025,0.13732,0.13762,0.13724,0.13724,0.13724,176436,176436,-8e-05,-0.05825808,0.13736,"February 17, 25",-0.0005825808
16-02-2025,0.1378,0.1378,0.1378,0.1378,0.1378,0,0,0,0,0.1378,"February 16, 25",0
14-02-2025,0.13714,0.1375,0.13714,0.13733,0.13733,237363,237363,0.00019,0.13854,0.13728,"February 14, 25",0.0013854
13-02-2025,0.13636,0.13717,0.13636,0.13713,0.13713,266172,266172,0.00077,0.56468,0.13675,"February 13, 25",0.0056468
12-02-2025,0.1364,0.1365,0.13639,0.13639,0.13639,215192,215192,-1e-05,-0.00733138,0.13642,"February 12, 25",-7.33138e-05
11-02-2025,0.13638,0.13646,0.13638,0.1364,0.1364,193905,193905,2e-05,0.01466491,0.13641,"February 11, 25",0.0001466491
10-02-2025,0.13651,0.13651,0.13642,0.13642,0.13642,0,0,-9e-05,-0.06592924,0.13647,"February 10, 25",-0.0006592924
09-02-2025,0.13698,0.13698,0.13684,0.13686,0.13686,0,0,-0.000123918056,-0.09046315,0.13691,"February 09, 25",-0.0009046315
