date,GBPUSD_open,GBPUSD_high,GBPUSD_low,GBPUSD_close,GBPUSD_adjClose,GBPUSD_traded_volume,GBPUSD_unadjusted_traded_Volume,GBPUSD_change,GBPUSD_changePercent,GBPUSD_vwap,GBPUSD_label,GBPUSD_changeOverTime
04-03-2025,1.27002,1.27992,1.26783,1.27973,1.27973,422177,422177,0.00971,0.76455,1.27437,"March 04, 25",0.0076455
03-03-2025,1.25778,1.27241,1.25772,1.27002,1.27002,396802,396802,0.01224,0.97314,1.26448,"March 03, 25",0.0097314
02-03-2025,1.25807,1.25921,1.25775,1.25872,1.25872,309536,309536,0.000649213791,0.05160406,1.25844,"March 02, 25",0.0005160406
28-02-2025,1.25992,1.26215,1.25588,1.25756,1.25756,331311,331311,-0.00236,-0.18731,1.25888,"February 28, 25",-0.0018731
27-02-2025,1.26732,1.26888,1.25975,1.25992,1.25992,645620,645620,-0.0074,-0.58391,1.26397,"February 27, 25",-0.0058391
26-02-2025,1.26624,1.27153,1.26348,1.26732,1.26732,304618,304618,0.00108,0.08529189,1.26714,"February 26, 25",0.0008529189
25-02-2025,1.26236,1.26773,1.26053,1.26624,1.26624,298356,298356,0.00388,0.30736,1.26421,"February 25, 25",0.0030736
24-02-2025,1.26212,1.26903,1.26116,1.26236,1.26236,305593,305593,0.00024,0.01901562,1.26367,"February 24, 25",0.0001901562
23-02-2025,1.26365,1.26695,1.26365,1.26414,1.26414,269503,269503,0.000495195389,0.03918778,1.2646,"February 23, 25",0.0003918778
22-02-2025,1.26365,1.26365,1.26365,1.26365,1.26365,0,0,0,0,1.26365,"February 22, 25",0
21-02-2025,1.26682,1.26782,1.26245,1.26307,1.26307,285880,285880,-0.00375,-0.29602,1.26504,"February 21, 25",-0.0029602
20-02-2025,1.25856,1.26709,1.25742,1.26682,1.26682,525004,525004,0.00826,0.65631,1.26247,"February 20, 25",0.0065631
19-02-2025,1.26124,1.26394,1.25628,1.25856,1.25856,253573,253573,-0.00268,-0.21249,1.26001,"February 19, 25",-0.0021249
18-02-2025,1.26229,1.2623,1.25818,1.26124,1.26124,228120,228120,-0.00105,-0.08318215,1.261,"February 18, 25",-0.0008318215
17-02-2025,1.25861,1.26345,1.25774,1.26229,1.26229,208105,208105,0.00368,0.29239,1.26052,"February 17, 25",0.0029239
16-02-2025,1.25872,1.25994,1.25805,1.25888,1.25888,257727,257727,0.000158548355,0.01259603,1.2589,"February 16, 25",0.0001259603
15-02-2025,1.25872,1.25872,1.25872,1.25872,1.25872,0,0,0,0,1.25872,"February 15, 25",0
14-02-2025,1.2565,1.26298,1.25492,1.2585,1.2585,267486,267486,0.002,0.15917,1.25822,"February 14, 25",0.0015917
13-02-2025,1.24418,1.25681,1.24362,1.2565,1.2565,801112,801112,0.01232,0.99021,1.25028,"February 13, 25",0.0099021
12-02-2025,1.24454,1.24831,1.23748,1.24418,1.24418,342966,342966,-0.00036,-0.02892635,1.24363,"February 12, 25",-0.0002892635
11-02-2025,1.23647,1.24545,1.23321,1.24454,1.24454,231005,231005,0.00807,0.65266,1.23992,"February 11, 25",0.0065266
10-02-2025,1.23684,1.24217,1.23626,1.23647,1.23647,241572,241572,-0.00037,-0.02991494,1.23794,"February 10, 25",-0.0002991494
09-02-2025,1.24017,1.24049,1.2383,1.2386,1.2386,360957,360957,-0.00156677,-0.12633,1.23939,"February 09, 25",-0.0012633
08-02-2025,1.24017,1.24043,1.24017,1.24043,1.24043,0,0,0.000261545181,0.02108943,1.2403,"February 08, 25",0.0002108943
