date,AAPL_close,AAPL_high,AAPL_low,AAPL_open,AAPL_traded_volume,AAPL_adjClose,AAPL_adjLow,AAPL_adjOpen,AAPL_adj_traded_volume,AAPL_divCash,AAPL_splitFactor
05-03-2025,235.74,236.55,229.23,235.42,47227643,235.74,229.23,235.42,47227643,0.0,1.0
06-03-2025,235.33,237.86,233.1581,234.435,45170419,235.33,233.1581,234.435,45170419,0.0,1.0
07-03-2025,239.07,241.37,234.76,235.105,46273565,239.07,234.76,235.105,46273565,0.0,1.0
10-03-2025,227.48,236.16,224.22,235.54,71451281,227.48,224.22,235.54,71451281,0.0,1.0
11-03-2025,220.84,225.8399,217.45,223.805,76137410,220.84,217.45,223.805,76137410,0.0,1.0
12-03-2025,216.98,221.75,214.91,220.14,62547467,216.98,214.91,220.14,62547467,0.0,1.0
13-03-2025,209.68,216.8394,208.42,215.95,61368330,209.68,208.42,215.95,61368330,0.0,1.0
14-03-2025,213.49,213.95,209.58,211.25,60107582,213.49,209.58,211.25,60107582,0.0,1.0
17-03-2025,214.0,215.22,209.97,213.31,48073426,214.0,209.97,213.31,48073426,0.0,1.0
18-03-2025,212.69,215.15,211.49,214.16,42432426,212.69,211.49,214.16,42432426,0.0,1.0
19-03-2025,215.24,218.76,213.75,214.22,54385391,215.24,213.75,214.22,54385391,0.0,1.0
20-03-2025,214.1,217.4899,212.22,213.99,48862947,214.1,212.22,213.99,48862947,0.0,1.0
21-03-2025,218.27,218.84,211.28,211.56,94127768,218.27,211.28,211.56,94127768,0.0,1.0
24-03-2025,220.73,221.48,218.58,221.0,44299483,220.73,218.58,221.0,44299483,0.0,1.0
25-03-2025,223.75,224.1,220.08,220.77,34493583,223.75,220.08,220.77,34493583,0.0,1.0
