date,META_close,META_high,META_low,META_open,META_traded_volume,META_adjClose,META_adjLow,META_adjOpen,META_adj_traded_volume,META_divCash,META_splitFactor
05-03-2025,656.47,659.5,637.66,641.0,13770026,655.9032633094,637.1095021583,640.446618705,13770026,0.0,1.0
06-03-2025,627.93,650.5625,624.11,648.0,13446454,627.3879021583,623.5712,647.4405755396,13446454,0.0,1.0
07-03-2025,625.66,634.79,600.61,625.37,21375671,625.1198618705,600.0914877698,624.8301122302,21375671,0.0,1.0
10-03-2025,597.99,610.11,586.87,608.07,21395988,597.4737496403,586.3633496403,607.545047482,21395988,0.0,1.0
11-03-2025,605.71,614.934,593.33,595.055,17401469,605.1870848921,592.8177726619,594.5412834532,17401469,0.0,1.0
12-03-2025,619.56,633.33,609.35,629.9,15746966,619.0251280576,608.823942446,629.3562014388,15746966,0.0,1.0
13-03-2025,590.64,620.5,586.51,620.245,16480324,590.130094964,586.0036604317,619.7095366906,16480324,0.0,1.0
14-03-2025,607.6,608.86,594.78,602.805,12364505,607.6,594.78,602.805,12364505,0.525,1.0
17-03-2025,604.9,613.1,598.0,607.46,15473909,604.9,598.0,607.46,15473909,0.0,1.0
18-03-2025,582.36,600.25,574.66,600.05,20297708,582.36,574.66,600.05,20297708,0.0,1.0
19-03-2025,584.06,592.3223,574.77,584.28,20537498,584.06,574.77,584.28,20537498,0.0,1.0
20-03-2025,586.0,610.2,579.51,582.755,24336505,586.0,579.51,582.755,24336505,0.0,1.0
21-03-2025,596.25,597.545,580.95,583.425,25015864,596.25,580.95,583.425,25015864,0.0,1.0
24-03-2025,618.85,622.54,612.2001,614.97,15741274,618.85,612.2001,614.97,15741274,0.0,1.0
25-03-2025,626.31,633.88,621.18,626.76,15312540,626.31,621.18,626.76,15312540,0.0,1.0
