date,inflationRate
03-03-2025,2.36
28-02-2025,2.38
27-02-2025,2.37
26-02-2025,2.36
25-02-2025,2.38
24-02-2025,2.42
21-02-2025,2.42
20-02-2025,2.45
19-02-2025,2.45
18-02-2025,2.45
14-02-2025,2.43
13-02-2025,2.44
12-02-2025,2.46
11-02-2025,2.46
10-02-2025,2.44
07-02-2025,2.42
06-02-2025,2.42
05-02-2025,2.42
04-02-2025,2.44
03-02-2025,2.45
31-01-2025,2.42
30-01-2025,2.38
29-01-2025,2.4
28-01-2025,2.42
27-01-2025,2.4
24-01-2025,2.43
23-01-2025,2.42
22-01-2025,2.4
21-01-2025,2.38
17-01-2025,2.41
16-01-2025,2.42
15-01-2025,2.42
14-01-2025,2.44
13-01-2025,2.45
10-01-2025,2.43
09-01-2025,2.39
08-01-2025,2.4
07-01-2025,2.38
06-01-2025,2.34
03-01-2025,2.34
02-01-2025,2.34
31-12-2024,2.34
30-12-2024,2.31
27-12-2024,2.34
26-12-2024,2.35
24-12-2024,2.35
23-12-2024,2.32
20-12-2024,2.29
19-12-2024,2.29
18-12-2024,2.32
17-12-2024,2.31
16-12-2024,2.32
13-12-2024,2.33
12-12-2024,2.32
11-12-2024,2.3
10-12-2024,2.29
09-12-2024,2.27
06-12-2024,2.24
05-12-2024,2.25
04-12-2024,2.29
03-12-2024,2.28
02-12-2024,2.26
29-11-2024,2.26
27-11-2024,2.26
26-11-2024,2.28
25-11-2024,2.29
22-11-2024,2.34
21-11-2024,2.34
20-11-2024,2.35
19-11-2024,2.34
18-11-2024,2.34
15-11-2024,2.33
14-11-2024,2.33
13-11-2024,2.35
12-11-2024,2.35
08-11-2024,2.35
07-11-2024,2.33
06-11-2024,2.38
05-11-2024,2.27
04-11-2024,2.28
01-11-2024,2.33
31-10-2024,2.33
30-10-2024,2.34
29-10-2024,2.3
28-10-2024,2.29
25-10-2024,2.29
24-10-2024,2.3
23-10-2024,2.31
22-10-2024,2.33
21-10-2024,2.31
18-10-2024,2.31
17-10-2024,2.3
16-10-2024,2.27
15-10-2024,2.28
11-10-2024,2.33
10-10-2024,2.33
09-10-2024,2.29
08-10-2024,2.27
07-10-2024,2.27
04-10-2024,2.23
03-10-2024,2.21
02-10-2024,2.21
01-10-2024,2.19
30-09-2024,2.18
27-09-2024,2.15
26-09-2024,2.16
25-09-2024,2.18
24-09-2024,2.19
23-09-2024,2.17
20-09-2024,2.15
19-09-2024,2.17
18-09-2024,2.12
17-09-2024,2.12
16-09-2024,2.09
13-09-2024,2.08
12-09-2024,2.05
11-09-2024,2.04
10-09-2024,2.02
09-09-2024,2.04
06-09-2024,2.03
05-09-2024,2.03
04-09-2024,2.07
03-09-2024,2.11
30-08-2024,2.15
