date,basicMaterialsChangesPercentage,communicationServicesChangesPercentage,consumerCyclicalChangesPercentage,consumerDefensiveChangesPercentage,energyChangesPercentage,financialServicesChangesPercentage,healthcareChangesPercentage,industrialsChangesPercentage,realEstateChangesPercentage,technologyChangesPercentage,utilitiesChangesPercentage
04-03-2025,,0.01552,0.86033,-1.02352,0.92614,,-0.61928,-0.59637,-0.09654,0.95125,-0.27479
03-03-2025,,-2.19041,-2.68919,-0.21167,-5.47462,,-0.85228,-0.73021,0.09578,-3.3452,-3.60025
28-02-2025,,1.31209,1.83109,1.50901,1.29951,,0.60076,0.74175,-0.39492,1.85859,1.41843
27-02-2025,,-3.17621,-2.89451,-1.01614,-2.23119,,-1.24328,-1.5033,-0.29365,-3.92224,-6.16544
26-02-2025,,1.16441,-0.86541,-1.76315,0.03921,,-0.07228,-0.24325,0.08585,0.07341,-0.63951
25-02-2025,,-1.26455,-1.63135,1.30562,-2.19656,,-0.61671,0.42181,-0.0257,-1.13755,0.0639
24-02-2025,,-2.11631,-0.97766,0.70202,-0.9413,,0.07331,-0.50715,-0.69008,-1.40486,-4.55917
21-02-2025,,-2.11822,-3.47396,0.03933,-2.97317,,-0.73008,-1.97674,-1.21249,-2.31905,-5.40597
20-02-2025,,-0.55216,-1.03674,-1.14154,0.56889,,0.58331,-0.90513,0.15253,-0.26396,-1.88678
19-02-2025,,0.23571,-0.11905,0.66856,-0.15837,,1.11454,-1.45981,0.83728,0.34376,-0.21976
18-02-2025,,-2.23224,0.03978,-1.01604,-0.41535,,0.56399,0.77552,1.76633,-0.09109,0.55155
17-02-2025,,1.16013,-0.55117,-0.53541,-0.13624,,-0.66338,0.14588,0.69447,0.49004,1.35377
14-02-2025,,1.16061,-0.55099,-0.5363,-0.13595,,-0.66231,0.14584,0.69439,0.49048,1.40357
13-02-2025,,1.25306,0.6824,0.93689,0.75038,,0.70825,0.34255,1.94109,1.29479,-1.00051
12-02-2025,,1.28733,1.32338,0.93576,-1.9938,,0.89937,0.31572,0.97089,1.34507,2.51243
11-02-2025,,0.40009,-0.45016,-0.04759,-0.59707,,-0.17684,0.2185,1.00274,0.68309,-0.47773
10-02-2025,,-0.13709,-0.38145,0.88527,0.23844,,-0.43024,-0.10068,0.67935,0.41086,2.29727
07-02-2025,,-0.85124,-1.20282,-0.15535,-1.1934,,-1.53328,-1.39773,-0.64709,-1.76332,-1.03384
06-02-2025,,0.95526,0.66768,-0.02471,-2.17075,,-1.09888,-0.25085,-0.28603,0.42371,-0.4646
05-02-2025,,0.66838,-0.37307,2.08588,-0.80936,,1.77095,0.64385,0.17921,0.98941,0.91701
04-02-2025,,0.82444,1.4769,1.32828,1.56799,,1.51286,0.25707,1.55212,1.01764,1.88022
03-02-2025,,1.9409,0.68999,2.8341,0.75767,,1.1958,0.61101,0.63564,0.52484,5.51571
31-01-2025,,0.01625,-0.3308,0.3066,-1.56005,,-0.30302,-0.21833,-0.79976,-1.77835,-2.16314
30-01-2025,,-0.7491,-0.75846,0.82546,-0.61255,,-0.09245,1.04473,0.04405,-0.15801,1.76729
