date,sector,exchange,pe
04-03-2025,Technology,NASDAQ,52.84111815
03-03-2025,Technology,NASDAQ,52.46881948
28-02-2025,Technology,NASDAQ,54.70679546
27-02-2025,Technology,NASDAQ,54.20283726
26-02-2025,Technology,NASDAQ,58.14310291
25-02-2025,Technology,NASDAQ,56.88690263
24-02-2025,Technology,NASDAQ,58.05093057
21-02-2025,Technology,NASDAQ,60.1799955
20-02-2025,Technology,NASDAQ,62.19904351
19-02-2025,Technology,NASDAQ,62.9856942
18-02-2025,Technology,NASDAQ,63.67635939
17-02-2025,Technology,NASDAQ,63.67543544
14-02-2025,Technology,NASDAQ,63.11733285
13-02-2025,Technology,NASDAQ,64.34709646
12-02-2025,Technology,NASDAQ,63.83291031
11-02-2025,Technology,NASDAQ,63.50945959
10-02-2025,Technology,NASDAQ,63.99457324
07-02-2025,Technology,NASDAQ,62.01056083
06-02-2025,Technology,NASDAQ,63.00308149
05-02-2025,Technology,NASDAQ,62.14883359
04-02-2025,Technology,NASDAQ,61.21312945
03-02-2025,Technology,NASDAQ,58.7659805
31-01-2025,Technology,NASDAQ,58.54961628
30-01-2025,Technology,NASDAQ,58.3760212
29-01-2025,Technology,NASDAQ,57.86584811
28-01-2025,Technology,NASDAQ,58.32184028
27-01-2025,Technology,NASDAQ,55.94631328
24-01-2025,Technology,NASDAQ,62.10585346
23-01-2025,Technology,NASDAQ,62.17496271
22-01-2025,Technology,NASDAQ,62.49811572
21-01-2025,Technology,NASDAQ,60.7396273
20-01-2025,Technology,NASDAQ,59.7272151
17-01-2025,Technology,NASDAQ,59.72729681
16-01-2025,Technology,NASDAQ,58.40590927
15-01-2025,Technology,NASDAQ,58.66813349
14-01-2025,Technology,NASDAQ,57.58433981
13-01-2025,Technology,NASDAQ,57.00267767
10-01-2025,Technology,NASDAQ,58.48581559
09-01-2025,Technology,NASDAQ,59.80945125
08-01-2025,Technology,NASDAQ,59.61086804
07-01-2025,Technology,NASDAQ,59.9602629
06-01-2025,Technology,NASDAQ,62.28833241
03-01-2025,Technology,NASDAQ,61.42007146
02-01-2025,Technology,NASDAQ,59.84189858
01-01-2025,Technology,NASDAQ,59.61485606
31-12-2024,Technology,NASDAQ,59.61484869
30-12-2024,Technology,NASDAQ,60.53000467
27-12-2024,Technology,NASDAQ,61.50556453
26-12-2024,Technology,NASDAQ,62.58797962
25-12-2024,Technology,NASDAQ,62.30983983
24-12-2024,Technology,NASDAQ,62.30624997
23-12-2024,Technology,NASDAQ,61.17135081
20-12-2024,Technology,NASDAQ,59.88497752
19-12-2024,Technology,NASDAQ,58.45376227
18-12-2024,Technology,NASDAQ,59.40541419
17-12-2024,Technology,NASDAQ,60.89331714
16-12-2024,Technology,NASDAQ,63.32954948
13-12-2024,Technology,NASDAQ,61.07915845
12-12-2024,Technology,NASDAQ,58.10977445
11-12-2024,Technology,NASDAQ,58.42602167
10-12-2024,Technology,NASDAQ,56.73548296
09-12-2024,Technology,NASDAQ,58.049035
06-12-2024,Technology,NASDAQ,59.26393558
05-12-2024,Technology,NASDAQ,58.15052174
04-12-2024,Technology,NASDAQ,55.63210315
03-12-2024,Technology,NASDAQ,54.64371983
02-12-2024,Technology,NASDAQ,54.15197978
29-11-2024,Technology,NASDAQ,53.34132667
28-11-2024,Technology,NASDAQ,52.83989991
27-11-2024,Technology,NASDAQ,52.83989689
26-11-2024,Technology,NASDAQ,53.7974432
25-11-2024,Technology,NASDAQ,53.82295073
22-11-2024,Technology,NASDAQ,53.85295335
