published_date,twitter_posts,twitter_likes,twitter_sentiment,stock_twitter_posts,stock_twitter_likes,sentiment_score,weighted_daily_sentiment_x,weighted_daily_sentiment_y
04-03-2025,3,65,0.49685,1,14,0.5,strongly_positive,strongly_positive
04-03-2025,62,6334,0.48192,20,81,0.5,strongly_positive,strongly_positive
04-03-2025,65,3465,0.56541,22,44,0.49095,strongly_positive,strongly_positive
04-03-2025,65,2143,0.58126,30,37,0.54057,strongly_positive,strongly_positive
04-03-2025,57,2771,0.68552,30,64,0.5518,strongly_positive,strongly_positive
04-03-2025,48,883,0.54453,27,26,0.53915,strongly_positive,strongly_positive
04-03-2025,48,1432,0.55196,41,96,0.56498,strongly_positive,strongly_positive
04-03-2025,62,1467,0.68374,57,109,0.54933,strongly_positive,strongly_positive
04-03-2025,214,30077,0.51137,65,106,0.53077,strongly_positive,strongly_positive
04-03-2025,48,1028,0.53278,30,35,0.51807,strongly_positive,strongly_positive
04-03-2025,36,1059,0.47911,24,53,0.49558,strongly_positive,strongly_positive
04-03-2025,37,1426,0.48193,11,28,0.48773,strongly_positive,strongly_positive
04-03-2025,13,210,0.56624,4,12,0.55,strongly_positive,strongly_positive
04-03-2025,20,602,0.57648,7,25,0.49414,strongly_positive,strongly_positive
04-03-2025,6,74,0.48113,3,14,0.44267,strongly_positive,strongly_positive
04-03-2025,0,0,0.0,0,0,0.0,strongly_positive,strongly_positive
04-03-2025,4,30,0.69499,2,11,0.683,strongly_positive,strongly_positive
04-03-2025,10,92,0.5713,8,23,0.52488,strongly_positive,strongly_positive
04-03-2025,5,17,0.54757,5,20,0.55,strongly_positive,strongly_positive
03-03-2025,26,653,0.55025,8,19,0.571,strongly_positive,strongly_positive
03-03-2025,16,173,0.64012,6,10,0.652,strongly_positive,strongly_positive
03-03-2025,21,517,0.55767,9,26,0.52033,strongly_positive,strongly_positive
03-03-2025,28,651,0.54481,13,26,0.56531,strongly_positive,strongly_positive
03-03-2025,5,27,0.40623,3,10,0.41867,strongly_positive,strongly_positive
03-03-2025,11,111,0.50415,9,26,0.51667,strongly_positive,strongly_positive
03-03-2025,52,2195,0.56399,16,32,0.55444,strongly_positive,strongly_positive
03-03-2025,151,20083,0.60863,52,112,0.53175,strongly_positive,strongly_positive
03-03-2025,97,5857,0.49739,35,53,0.50949,strongly_positive,strongly_positive
03-03-2025,48,2161,0.56377,24,55,0.58504,strongly_positive,strongly_positive
03-03-2025,63,1465,0.55687,36,34,0.55328,strongly_positive,strongly_positive
03-03-2025,41,594,0.54586,25,23,0.56016,strongly_positive,strongly_positive
03-03-2025,17,103,0.67664,16,37,0.54744,strongly_positive,strongly_positive
03-03-2025,128,8146,0.51656,37,46,0.51276,strongly_positive,strongly_positive
03-03-2025,56,2681,0.60669,18,38,0.53872,strongly_positive,strongly_positive
