published_date,twitter_posts,twitter_likes,twitter_sentiment,stock_twitter_posts,stock_twitter_likes,sentiment_score,weighted_daily_sentiment_x,weighted_daily_sentiment_y
04-03-2025,8,43,0.53746,6,12,0.5,weakly_positive,weakly_positive
04-03-2025,26,196,0.56678,21,20,0.588,weakly_positive,weakly_positive
04-03-2025,97,5009,0.51397,32,42,0.53012,weakly_positive,weakly_positive
04-03-2025,65,1578,0.54451,24,22,0.55742,weakly_positive,weakly_positive
04-03-2025,80,2192,0.65533,31,26,0.52674,weakly_positive,weakly_positive
04-03-2025,59,1117,0.63708,32,26,0.55463,weakly_positive,weakly_positive
04-03-2025,86,6444,0.53694,50,111,0.54938,weakly_positive,weakly_positive
04-03-2025,56,1993,0.55261,38,67,0.52105,weakly_positive,weakly_positive
04-03-2025,49,1896,0.5307,21,40,0.537,weakly_positive,weakly_positive
04-03-2025,18,33,0.52029,8,2,0.5055,weakly_positive,weakly_positive
04-03-2025,6,35,0.49406,4,10,0.5,weakly_positive,weakly_positive
04-03-2025,4,41,0.4951,3,20,0.50133,weakly_positive,weakly_positive
04-03-2025,1,2,0.74492,1,5,0.772,weakly_positive,weakly_positive
04-03-2025,6,0,0.59627,2,0,0.6165,weakly_positive,weakly_positive
04-03-2025,0,0,0.0,0,0,0.0,weakly_positive,weakly_positive
04-03-2025,0,0,0.0,0,0,0.0,weakly_positive,weakly_positive
04-03-2025,8,95,0.47886,4,15,0.49525,weakly_positive,weakly_positive
04-03-2025,2,0,0.49082,1,0,0.5,weakly_positive,weakly_positive
03-03-2025,6,27,0.64686,4,9,0.60375,strongly_positive,strongly_positive
03-03-2025,2,1,0.77448,2,10,0.6645,strongly_positive,strongly_positive
03-03-2025,25,581,0.56282,8,18,0.58,strongly_positive,strongly_positive
03-03-2025,21,444,0.54149,7,17,0.50471,strongly_positive,strongly_positive
03-03-2025,7,65,0.57052,3,10,0.561,strongly_positive,strongly_positive
03-03-2025,10,8,0.59266,5,1,0.518,strongly_positive,strongly_positive
03-03-2025,13,161,0.5196,9,24,0.52167,strongly_positive,strongly_positive
03-03-2025,33,592,0.50052,27,52,0.51941,strongly_positive,strongly_positive
03-03-2025,26,149,0.56968,23,22,0.49709,strongly_positive,strongly_positive
03-03-2025,26,515,0.55677,9,17,0.51989,strongly_positive,strongly_positive
03-03-2025,38,747,0.63371,15,19,0.51293,strongly_positive,strongly_positive
03-03-2025,41,565,0.49844,17,14,0.49488,strongly_positive,strongly_positive
03-03-2025,19,111,0.5508,11,9,0.56464,strongly_positive,strongly_positive
03-03-2025,38,453,0.67645,24,20,0.5465,strongly_positive,strongly_positive
03-03-2025,13,126,0.56395,10,22,0.5853,strongly_positive,strongly_positive
03-03-2025,28,1045,0.54764,9,29,0.56156,strongly_positive,strongly_positive
03-03-2025,24,356,0.59343,8,12,0.5615,strongly_positive,strongly_positive
03-03-2025,9,32,0.50196,4,4,0.521,strongly_positive,strongly_positive
03-03-2025,0,0,0.0,0,0,0.0,strongly_positive,strongly_positive
03-03-2025,4,22,0.58781,2,8,0.601,strongly_positive,strongly_positive
03-03-2025,2,1,0.62022,2,1,0.5085,strongly_positive,strongly_positive
03-03-2025,1,1,0.48649,1,5,0.486,strongly_positive,strongly_positive
03-03-2025,3,65,0.55681,1,15,0.5,strongly_positive,strongly_positive
03-03-2025,5,39,0.73379,2,7,0.6005,strongly_positive,strongly_positive
02-03-2025,2,0,0.52251,1,0,0.542,weakly_positive,weakly_positive
02-03-2025,6,49,0.50037,3,10,0.50433,weakly_positive,weakly_positive
02-03-2025,3,7,0.57625,2,4,0.55,weakly_positive,weakly_positive
02-03-2025,8,34,0.70686,6,11,0.59017,weakly_positive,weakly_positive
02-03-2025,5,8,0.57265,4,5,0.57675,weakly_positive,weakly_positive
02-03-2025,6,52,0.53373,2,7,0.551,weakly_positive,weakly_positive
02-03-2025,5,71,0.51707,2,13,0.5,weakly_positive,weakly_positive
02-03-2025,2,0,0.55653,1,0,0.5,weakly_positive,weakly_positive
02-03-2025,5,10,0.62663,3,3,0.63633,weakly_positive,weakly_positive
02-03-2025,5,9,0.55597,3,3,0.537,weakly_positive,weakly_positive
02-03-2025,4,10,0.52298,4,15,0.52725,weakly_positive,weakly_positive
02-03-2025,29,878,0.58107,9,23,0.53078,weakly_positive,weakly_positive
02-03-2025,6,39,0.54334,2,5,0.5625,weakly_positive,weakly_positive
02-03-2025,0,0,0.0,0,0,0.0,weakly_positive,weakly_positive
02-03-2025,0,0,0.0,0,0,0.0,weakly_positive,weakly_positive
02-03-2025,6,5,0.53323,3,1,0.53767,weakly_positive,weakly_positive
02-03-2025,3,0,0.55119,2,0,0.4695,weakly_positive,weakly_positive
02-03-2025,4,0,0.49245,3,0,0.5,weakly_positive,weakly_positive
02-03-2025,9,87,0.45258,3,8,0.46867,weakly_positive,weakly_positive
02-03-2025,0,0,0.0,0,0,0.0,weakly_positive,weakly_positive
02-03-2025,0,0,0.0,0,0,0.0,weakly_positive,weakly_positive
02-03-2025,0,0,0.0,0,0,0.0,weakly_positive,weakly_positive
02-03-2025,0,0,0.0,0,0,0.0,weakly_positive,weakly_positive
02-03-2025,3,4,0.48396,1,1,0.5,weakly_positive,weakly_positive
01-03-2025,0,0,0.0,0,0,0.0,weakly_positive,weakly_positive
01-03-2025,0,0,0.0,0,0,0.0,weakly_positive,weakly_positive
01-03-2025,7,5,0.50919,4,1,0.51625,weakly_positive,weakly_positive
01-03-2025,4,15,0.5124,3,8,0.53133,weakly_positive,weakly_positive
01-03-2025,2,4,0.6931,2,8,0.7,weakly_positive,weakly_positive
01-03-2025,0,0,0.0,0,0,0.0,weakly_positive,weakly_positive
01-03-2025,3,4,0.59596,1,1,0.5,weakly_positive,weakly_positive
01-03-2025,7,21,0.63077,3,3,0.65267,weakly_positive,weakly_positive
01-03-2025,11,66,0.51456,6,8,0.53167,weakly_positive,weakly_positive
01-03-2025,8,24,0.56394,5,5,0.547,weakly_positive,weakly_positive
01-03-2025,6,7,0.55267,4,2,0.572,weakly_positive,weakly_positive
01-03-2025,14,0,0.54261,4,0,0.55,weakly_positive,weakly_positive
01-03-2025,0,0,0.5,0,0,0.5,weakly_positive,weakly_positive
01-03-2025,18,180,0.53665,6,8,0.556,weakly_positive,weakly_positive
01-03-2025,6,7,0.66757,2,1,0.57,weakly_positive,weakly_positive
01-03-2025,17,15,0.57998,8,1,0.53188,weakly_positive,weakly_positive
01-03-2025,6,10,0.56314,3,2,0.58333,weakly_positive,weakly_positive
01-03-2025,0,0,0.0,0,0,0.0,weakly_positive,weakly_positive
01-03-2025,2,0,0.62686,2,0,0.638,weakly_positive,weakly_positive
01-03-2025,0,0,0.0,0,0,0.0,weakly_positive,weakly_positive
01-03-2025,3,0,0.58425,1,0,0.5,weakly_positive,weakly_positive
01-03-2025,3,7,0.51223,1,2,0.521,weakly_positive,weakly_positive
01-03-2025,2,8,0.53754,1,4,0.5,weakly_positive,weakly_positive
01-03-2025,2,0,0.50926,1,0,0.5,weakly_positive,weakly_positive
01-03-2025,1,1,0.5817,1,1,0.6,weakly_positive,weakly_positive
28-02-2025,0,0,0.0,0,0,0.0,strongly_positive,strongly_positive
28-02-2025,2,0,0.42972,1,0,0.438,strongly_positive,strongly_positive
28-02-2025,2,0,0.64509,1,0,0.667,strongly_positive,strongly_positive
28-02-2025,7,19,0.6059,4,4,0.58925,strongly_positive,strongly_positive
28-02-2025,6,37,0.47292,5,17,0.4282,strongly_positive,strongly_positive
28-02-2025,2,1,0.53807,2,4,0.5445,strongly_positive,strongly_positive
28-02-2025,14,215,0.52499,4,11,0.51,strongly_positive,strongly_positive
28-02-2025,46,917,0.57717,18,19,0.58406,strongly_positive,strongly_positive
28-02-2025,20,314,0.63366,9,17,0.58311,strongly_positive,strongly_positive
28-02-2025,29,485,0.63092,17,25,0.53188,strongly_positive,strongly_positive
28-02-2025,20,126,0.55059,14,12,0.56929,strongly_positive,strongly_positive
28-02-2025,12,28,0.59503,9,5,0.54678,strongly_positive,strongly_positive
28-02-2025,102,3955,0.54256,32,30,0.52784,strongly_positive,strongly_positive
28-02-2025,91,1167,0.63417,32,11,0.54494,strongly_positive,strongly_positive
28-02-2025,44,1034,0.55497,16,21,0.56531,strongly_positive,strongly_positive
28-02-2025,22,455,0.53814,11,26,0.55782,strongly_positive,strongly_positive
28-02-2025,24,375,0.60242,13,21,0.51677,strongly_positive,strongly_positive
28-02-2025,11,232,0.51678,7,35,0.53257,strongly_positive,strongly_positive
28-02-2025,4,4,0.51158,4,14,0.51325,strongly_positive,strongly_positive
28-02-2025,17,565,0.52035,5,24,0.5116,strongly_positive,strongly_positive
28-02-2025,5,161,0.55177,2,30,0.5625,strongly_positive,strongly_positive
28-02-2025,5,0,0.60005,2,0,0.6025,strongly_positive,strongly_positive
28-02-2025,6,26,0.52968,3,5,0.54967,strongly_positive,strongly_positive
28-02-2025,4,6,0.61098,3,3,0.62933,strongly_positive,strongly_positive
27-02-2025,1,0,0.53555,1,0,0.5,strongly_positive,strongly_positive
27-02-2025,7,17,0.54413,6,9,0.44033,strongly_positive,strongly_positive
27-02-2025,15,208,0.53861,5,11,0.555,strongly_positive,strongly_positive
27-02-2025,24,403,0.52018,9,15,0.53322,strongly_positive,strongly_positive
27-02-2025,10,90,0.61545,4,9,0.583,strongly_positive,strongly_positive
27-02-2025,10,22,0.50932,9,9,0.527,strongly_positive,strongly_positive
27-02-2025,57,1689,0.49977,17,22,0.48747,strongly_positive,strongly_positive
27-02-2025,96,3728,0.46954,30,30,0.4853,strongly_positive,strongly_positive
27-02-2025,81,4114,0.51303,34,52,0.51815,strongly_positive,strongly_positive
27-02-2025,38,548,0.47495,18,17,0.4925,strongly_positive,strongly_positive
27-02-2025,20,118,0.51693,13,10,0.52408,strongly_positive,strongly_positive
27-02-2025,13,96,0.53876,10,17,0.4977,strongly_positive,strongly_positive
27-02-2025,24,114,0.522,19,13,0.54121,strongly_positive,strongly_positive
27-02-2025,114,3064,0.46447,38,22,0.47987,strongly_positive,strongly_positive
27-02-2025,37,569,0.56569,14,14,0.5775,strongly_positive,strongly_positive
27-02-2025,28,294,0.54229,11,10,0.54345,strongly_positive,strongly_positive
27-02-2025,16,242,0.66762,9,21,0.57633,strongly_positive,strongly_positive
27-02-2025,5,50,0.5211,3,15,0.53167,strongly_positive,strongly_positive
27-02-2025,0,0,0.0,0,0,0.0,strongly_positive,strongly_positive
27-02-2025,7,98,0.61003,2,10,0.602,strongly_positive,strongly_positive
27-02-2025,3,8,0.27684,1,2,0.285,strongly_positive,strongly_positive
27-02-2025,7,48,0.51247,3,7,0.513,strongly_positive,strongly_positive
27-02-2025,2,4,0.73134,1,2,0.721,strongly_positive,strongly_positive
27-02-2025,4,6,0.55539,2,2,0.4875,strongly_positive,strongly_positive
26-02-2025,5,2,0.56699,4,1,0.532,strongly_positive,strongly_positive
26-02-2025,5,14,0.4938,4,8,0.5125,strongly_positive,strongly_positive
26-02-2025,1,0,0.50196,1,0,0.5,strongly_positive,strongly_positive
26-02-2025,6,7,0.51545,2,1,0.483,strongly_positive,strongly_positive
26-02-2025,15,237,0.64631,6,15,0.52567,strongly_positive,strongly_positive
26-02-2025,22,626,0.53266,10,31,0.5527,strongly_positive,strongly_positive
26-02-2025,36,1050,0.47743,21,44,0.49005,strongly_positive,strongly_positive
26-02-2025,28,565,0.55902,19,39,0.53137,strongly_positive,strongly_positive
26-02-2025,26,237,0.48366,19,20,0.50189,strongly_positive,strongly_positive
26-02-2025,49,888,0.55249,22,20,0.54045,strongly_positive,strongly_positive
26-02-2025,31,504,0.57688,16,21,0.5,strongly_positive,strongly_positive
26-02-2025,0,0,0.5,0,0,0.5,strongly_positive,strongly_positive
26-02-2025,53,725,0.51113,37,27,0.51519,strongly_positive,strongly_positive
26-02-2025,44,352,0.55159,37,24,0.57216,strongly_positive,strongly_positive
26-02-2025,83,1002,0.65127,75,49,0.56353,strongly_positive,strongly_positive
26-02-2025,68,1881,0.57195,24,24,0.53038,strongly_positive,strongly_positive
26-02-2025,17,175,0.70149,7,10,0.56243,strongly_positive,strongly_positive
26-02-2025,24,658,0.56287,10,28,0.5562,strongly_positive,strongly_positive
26-02-2025,5,35,0.60183,3,11,0.61533,strongly_positive,strongly_positive
