date,open,high,low,close,volume,dema,symbol,indicator
28-02-2025,236.95,242.09,230.2,241.84,56833360,241.84,AAPL,dema
27-02-2025,239.41,242.46,237.06,237.3,41153639,237.3,AAPL,dema
26-02-2025,244.33,244.98,239.13,240.36,44433600,240.36,AAPL,dema
25-02-2025,248.0,250.0,244.91,247.04,48013300,247.04,AAPL,dema
24-02-2025,244.93,248.86,244.42,247.1,51326400,247.1,AAPL,dema
21-02-2025,245.95,248.69,245.22,245.55,53197431,245.55,AAPL,dema
20-02-2025,244.94,246.78,244.29,245.83,32316907,245.83,AAPL,dema
19-02-2025,244.66,246.01,243.16,244.87,32204215,244.87,AAPL,dema
18-02-2025,244.15,245.18,241.84,244.47,48822500,244.47,AAPL,dema
14-02-2025,241.25,245.55,240.99,244.6,40896227,244.6,AAPL,dema
13-02-2025,236.91,242.34,235.57,241.53,53614100,241.53,AAPL,dema
12-02-2025,231.2,236.96,230.68,236.87,45243300,236.87,AAPL,dema
11-02-2025,228.2,235.23,228.13,232.62,53718400,232.62,AAPL,dema
10-02-2025,229.57,230.59,227.2,227.65,33115645,227.65,AAPL,dema
07-02-2025,232.6,234.0,227.26,227.63,39707224,227.63,AAPL,dema
06-02-2025,231.29,233.8,230.43,233.22,29925349,233.22,AAPL,dema
05-02-2025,228.53,232.67,228.27,232.47,39664989,232.47,AAPL,dema
04-02-2025,227.25,233.13,226.65,232.8,45067301,232.8,AAPL,dema
03-02-2025,229.99,231.83,225.7,228.01,73063301,228.01,AAPL,dema
31-01-2025,247.19,247.19,233.44,236.0,101075128,236.0,AAPL,dema
30-01-2025,238.67,240.79,237.21,237.59,55658300,237.59,AAPL,dema
29-01-2025,234.12,239.86,234.01,239.36,45486100,239.36,AAPL,dema
28-01-2025,230.85,240.19,230.81,238.26,75707600,238.26,AAPL,dema
27-01-2025,224.02,232.15,223.98,229.86,94863418,229.86,AAPL,dema
24-01-2025,224.78,225.63,221.41,222.78,54697907,222.78,AAPL,dema
23-01-2025,224.74,227.03,222.3,223.66,60234800,223.66,AAPL,dema
22-01-2025,219.79,224.12,219.79,223.83,64126500,223.83,AAPL,dema
21-01-2025,224.0,224.42,219.38,222.64,98070429,222.64,AAPL,dema
17-01-2025,232.12,232.29,228.48,229.98,68488301,229.98,AAPL,dema
16-01-2025,237.35,238.01,228.03,228.26,71759100,228.26,AAPL,dema
15-01-2025,234.64,238.96,234.43,237.87,39832000,237.87,AAPL,dema
14-01-2025,234.75,236.12,232.47,233.28,39435300,233.28,AAPL,dema
13-01-2025,233.53,234.67,229.72,234.4,49630725,234.4,AAPL,dema
10-01-2025,240.01,240.16,233.0,236.85,61710900,236.85,AAPL,dema
08-01-2025,241.92,243.71,240.05,242.7,37628940,242.7,AAPL,dema
07-01-2025,242.98,245.55,241.35,242.21,40856000,242.21,AAPL,dema
06-01-2025,244.31,247.33,243.2,245.0,45045600,245.0,AAPL,dema
03-01-2025,243.36,244.18,241.89,243.36,40244114,243.36,AAPL,dema
02-01-2025,248.93,249.1,241.82,243.85,55740731,243.85,AAPL,dema
31-12-2024,252.44,253.28,249.43,250.42,39480718,250.42,AAPL,dema
30-12-2024,252.23,253.5,250.75,252.2,35557542,252.2,AAPL,dema
27-12-2024,257.83,258.7,253.06,255.59,42355321,255.59,AAPL,dema
26-12-2024,258.19,260.1,257.63,259.02,27262983,259.02,AAPL,dema
24-12-2024,255.49,258.21,255.29,258.2,23234705,258.2,AAPL,dema
23-12-2024,254.77,255.65,253.45,255.27,40858800,255.27,AAPL,dema
20-12-2024,248.04,255.0,245.69,254.49,147495300,254.49,AAPL,dema
19-12-2024,247.5,252.0,247.09,249.79,60882300,249.79,AAPL,dema
18-12-2024,252.16,254.28,247.74,248.05,56774101,248.05,AAPL,dema
17-12-2024,250.08,253.83,249.78,253.48,51356400,253.48,AAPL,dema
16-12-2024,247.99,251.38,247.65,251.04,51694800,251.04,AAPL,dema
13-12-2024,247.82,249.29,246.24,248.13,33155300,248.13,AAPL,dema
12-12-2024,246.89,248.74,245.68,247.96,32777532,247.96,AAPL,dema
11-12-2024,247.96,250.8,246.26,246.49,45205814,246.49,AAPL,dema
10-12-2024,246.89,248.21,245.34,247.77,36914806,247.77,AAPL,dema
09-12-2024,241.83,247.24,241.75,246.75,44649232,246.75,AAPL,dema
06-12-2024,242.91,244.63,242.08,242.84,36870619,242.84,AAPL,dema
05-12-2024,243.99,244.54,242.13,243.04,40033900,243.04,AAPL,dema
04-12-2024,242.87,244.11,241.25,243.01,44383935,243.01,AAPL,dema
03-12-2024,239.81,242.76,238.9,242.65,38861017,242.65,AAPL,dema
02-12-2024,237.27,240.79,237.16,239.59,48137103,239.59,AAPL,dema
29-11-2024,234.81,237.81,233.97,237.33,28481400,237.33,AAPL,dema
27-11-2024,234.47,235.69,233.81,234.93,33498439,234.93,AAPL,dema
26-11-2024,233.33,235.57,233.33,235.06,45986200,235.06,AAPL,dema
25-11-2024,231.46,233.25,229.74,232.87,90152832,232.87,AAPL,dema
22-11-2024,228.06,230.72,228.06,229.87,38168300,229.87,AAPL,dema
21-11-2024,228.88,230.16,225.71,228.52,42108327,228.52,AAPL,dema
20-11-2024,228.06,229.93,225.89,229.0,35169600,229.0,AAPL,dema
19-11-2024,226.98,230.16,226.66,228.28,36211800,228.28,AAPL,dema
18-11-2024,225.25,229.74,225.17,228.02,44686020,228.02,AAPL,dema
15-11-2024,226.4,226.92,224.27,225.0,47923700,225.0,AAPL,dema
14-11-2024,225.02,228.87,225.0,228.22,44923941,228.22,AAPL,dema
13-11-2024,224.01,226.65,222.76,225.12,48566217,225.12,AAPL,dema
12-11-2024,224.55,225.59,223.36,224.23,40398300,224.23,AAPL,dema
11-11-2024,225.0,225.7,221.5,224.23,42005602,224.23,AAPL,dema
08-11-2024,227.17,228.66,226.41,226.96,38328824,226.96,AAPL,dema
07-11-2024,224.63,227.88,224.57,227.48,42137700,227.48,AAPL,dema
06-11-2024,222.61,226.07,221.19,222.72,54561121,222.72,AAPL,dema
05-11-2024,221.8,223.95,221.14,223.45,28111338,223.45,AAPL,dema
04-11-2024,220.99,222.79,219.71,222.01,44944500,222.01,AAPL,dema
01-11-2024,220.97,225.35,220.27,222.91,65276741,222.91,AAPL,dema
31-10-2024,229.34,229.83,225.37,225.91,64370100,225.91,AAPL,dema
30-10-2024,232.61,233.47,229.55,230.1,47070907,230.1,AAPL,dema
29-10-2024,233.1,234.33,232.32,233.67,35417247,233.67,AAPL,dema
28-10-2024,233.32,234.73,232.55,233.4,36087134,233.4,AAPL,dema
25-10-2024,229.74,233.22,229.57,231.41,38802304,231.41,AAPL,dema
24-10-2024,229.98,230.82,228.41,230.57,31109503,230.57,AAPL,dema
23-10-2024,234.08,235.14,227.76,230.76,52287000,230.76,AAPL,dema
22-10-2024,233.89,236.22,232.6,235.86,38846600,235.86,AAPL,dema
21-10-2024,234.45,236.85,234.45,236.48,36254500,236.48,AAPL,dema
18-10-2024,236.18,236.18,234.01,235.0,46431500,235.0,AAPL,dema
17-10-2024,233.43,233.85,230.52,232.15,32993810,232.15,AAPL,dema
16-10-2024,231.6,232.12,229.84,231.78,34082240,231.78,AAPL,dema
15-10-2024,233.61,237.49,232.37,233.85,64751400,233.85,AAPL,dema
14-10-2024,228.7,231.73,228.6,231.3,39882100,231.3,AAPL,dema
11-10-2024,229.3,229.41,227.34,227.55,31759200,227.55,AAPL,dema
10-10-2024,227.78,229.5,227.17,229.04,28183544,229.04,AAPL,dema
09-10-2024,225.23,229.75,224.83,229.54,33591100,229.54,AAPL,dema
08-10-2024,224.3,225.98,223.25,225.77,31855700,225.77,AAPL,dema
07-10-2024,224.5,225.69,221.33,221.69,39505400,221.69,AAPL,dema
04-10-2024,227.9,228.0,224.13,226.8,37345098,226.8,AAPL,dema
03-10-2024,225.14,226.81,223.32,225.67,34044200,225.67,AAPL,dema
02-10-2024,225.89,227.37,223.02,226.78,32880605,226.78,AAPL,dema
01-10-2024,229.52,229.65,223.74,226.21,63285048,226.21,AAPL,dema
30-09-2024,230.04,233.0,229.65,233.0,54793391,233.0,AAPL,dema
27-09-2024,228.46,229.52,227.3,227.79,34026000,227.79,AAPL,dema
26-09-2024,227.3,228.5,225.41,227.52,36636707,227.52,AAPL,dema
25-09-2024,224.93,227.29,224.02,226.37,42308715,226.37,AAPL,dema
24-09-2024,228.65,229.35,225.73,227.37,43556100,227.37,AAPL,dema
23-09-2024,227.34,229.45,225.81,226.47,54146023,226.47,AAPL,dema
20-09-2024,229.97,233.09,227.62,228.2,318679900,228.2,AAPL,dema
19-09-2024,224.99,229.82,224.63,228.87,66781315,228.87,AAPL,dema
18-09-2024,217.55,222.71,217.54,220.69,59894928,220.69,AAPL,dema
17-09-2024,215.75,216.9,214.5,216.79,45519339,216.79,AAPL,dema
16-09-2024,216.54,217.22,213.92,216.32,59357427,216.32,AAPL,dema
13-09-2024,223.58,224.04,221.91,222.5,36766619,222.5,AAPL,dema
12-09-2024,222.5,223.55,219.82,222.77,37498225,222.77,AAPL,dema
11-09-2024,221.46,223.09,217.89,222.66,44587100,222.66,AAPL,dema
10-09-2024,218.92,221.48,216.73,220.11,51591033,220.11,AAPL,dema
09-09-2024,220.82,221.27,216.71,220.91,67180000,220.91,AAPL,dema
06-09-2024,223.95,225.24,219.77,220.82,48423011,220.82,AAPL,dema
05-09-2024,221.63,225.48,221.52,222.38,36615400,222.38,AAPL,dema
04-09-2024,221.66,221.78,217.48,220.85,43840200,220.85,AAPL,dema
03-09-2024,228.55,229.0,221.17,222.77,50190600,222.77,AAPL,dema
30-08-2024,230.19,230.4,227.48,229.0,52990800,229.0,AAPL,dema
29-08-2024,230.1,232.92,228.88,229.79,51906300,229.79,AAPL,dema
28-08-2024,227.92,229.86,225.68,226.49,38052200,226.49,AAPL,dema
27-08-2024,226.0,228.85,224.89,228.03,35934600,228.03,AAPL,dema
26-08-2024,226.76,227.28,223.89,227.18,30602208,227.18,AAPL,dema
23-08-2024,225.66,228.22,224.33,226.84,38677300,226.84,AAPL,dema
22-08-2024,227.79,228.34,223.9,224.53,43695321,224.53,AAPL,dema
21-08-2024,226.52,227.98,225.05,226.4,34765500,226.4,AAPL,dema
20-08-2024,225.77,227.17,225.45,226.51,30299033,226.51,AAPL,dema
19-08-2024,225.72,225.99,223.04,225.89,40687813,225.89,AAPL,dema
16-08-2024,223.92,226.83,223.65,226.05,44340240,226.05,AAPL,dema
15-08-2024,224.6,225.35,222.76,224.72,46414013,224.72,AAPL,dema
14-08-2024,220.57,223.03,219.7,221.72,41960600,221.72,AAPL,dema
13-08-2024,219.01,221.89,219.01,221.27,44155331,221.27,AAPL,dema
12-08-2024,216.07,219.51,215.6,217.53,38028100,217.53,AAPL,dema
09-08-2024,212.1,216.78,211.97,216.24,42201646,216.24,AAPL,dema
08-08-2024,213.11,214.2,208.83,213.31,47161149,213.31,AAPL,dema
07-08-2024,206.9,213.64,206.39,209.82,63516417,209.82,AAPL,dema
06-08-2024,205.3,209.99,201.07,207.23,69660500,207.23,AAPL,dema
05-08-2024,199.09,213.5,196.0,209.27,119548600,209.27,AAPL,dema
02-08-2024,219.15,225.6,217.71,219.86,105568600,219.86,AAPL,dema
01-08-2024,224.37,224.48,217.02,218.36,62501000,218.36,AAPL,dema
31-07-2024,221.44,223.82,220.63,222.08,50036300,222.08,AAPL,dema
30-07-2024,219.19,220.33,216.12,218.8,41643840,218.8,AAPL,dema
29-07-2024,216.96,219.3,215.75,218.24,36311800,218.24,AAPL,dema
26-07-2024,218.7,219.49,216.01,217.96,41601345,217.96,AAPL,dema
25-07-2024,218.93,220.85,214.62,217.49,51391200,217.49,AAPL,dema
24-07-2024,224.0,224.8,217.13,218.54,61777600,218.54,AAPL,dema
23-07-2024,224.37,226.94,222.68,225.01,39960300,225.01,AAPL,dema
22-07-2024,227.01,227.78,223.09,223.96,48201835,223.96,AAPL,dema
19-07-2024,224.82,226.8,223.28,224.31,49151500,224.31,AAPL,dema
18-07-2024,230.28,230.44,222.27,224.18,66034600,224.18,AAPL,dema
17-07-2024,229.45,231.46,226.64,228.88,57345900,228.88,AAPL,dema
16-07-2024,235.0,236.27,232.33,234.82,43234300,234.82,AAPL,dema
15-07-2024,236.48,237.23,233.09,234.4,62631300,234.4,AAPL,dema
12-07-2024,228.92,232.64,228.68,230.54,53046527,230.54,AAPL,dema
11-07-2024,231.39,232.39,225.77,227.57,64710617,227.57,AAPL,dema
10-07-2024,229.3,233.08,229.25,232.98,62627700,232.98,AAPL,dema
09-07-2024,227.93,229.4,226.37,228.68,48169822,228.68,AAPL,dema
08-07-2024,227.09,227.85,223.25,227.82,59085900,227.82,AAPL,dema
05-07-2024,221.65,226.45,221.65,226.34,60412408,226.34,AAPL,dema
03-07-2024,220.0,221.55,219.03,221.55,37369801,221.55,AAPL,dema
02-07-2024,216.15,220.38,215.1,220.27,58046200,220.27,AAPL,dema
01-07-2024,212.09,217.51,211.92,216.75,60402929,216.75,AAPL,dema
28-06-2024,215.77,216.07,210.3,210.62,82542718,210.62,AAPL,dema
27-06-2024,214.69,215.74,212.35,214.1,49772707,214.1,AAPL,dema
26-06-2024,211.5,214.86,210.64,213.25,66213200,213.25,AAPL,dema
25-06-2024,209.15,211.38,208.61,209.07,56713900,209.07,AAPL,dema
24-06-2024,207.72,212.7,206.59,208.14,80727006,208.14,AAPL,dema
21-06-2024,210.39,211.89,207.11,207.49,246421400,207.49,AAPL,dema
20-06-2024,213.93,214.24,208.85,209.68,86172500,209.68,AAPL,dema
18-06-2024,217.59,218.63,213.0,214.29,79943300,214.29,AAPL,dema
17-06-2024,213.37,218.95,212.72,216.67,93728300,216.67,AAPL,dema
14-06-2024,213.85,215.17,211.3,212.49,70122748,212.49,AAPL,dema
13-06-2024,214.74,216.75,211.6,214.24,97862729,214.24,AAPL,dema
12-06-2024,207.37,220.2,206.9,213.07,198134300,213.07,AAPL,dema
11-06-2024,193.65,207.16,193.63,207.15,172373300,207.15,AAPL,dema
10-06-2024,196.9,197.3,192.15,193.12,97262100,193.12,AAPL,dema
07-06-2024,194.65,196.94,194.14,196.89,53103912,196.89,AAPL,dema
06-06-2024,195.69,196.5,194.17,194.48,41181800,194.48,AAPL,dema
05-06-2024,195.4,196.9,194.87,195.87,54156800,195.87,AAPL,dema
04-06-2024,194.64,195.32,193.03,194.35,47471445,194.35,AAPL,dema
03-06-2024,192.9,194.99,192.52,194.03,50080539,194.03,AAPL,dema
31-05-2024,191.44,192.57,189.91,192.25,75158300,192.25,AAPL,dema
30-05-2024,190.76,192.18,190.63,191.29,49947941,191.29,AAPL,dema
29-05-2024,189.61,192.25,189.51,190.29,53068016,190.29,AAPL,dema
28-05-2024,191.51,193.0,189.1,189.99,52280100,189.99,AAPL,dema
24-05-2024,188.82,190.58,188.04,189.98,36326975,189.98,AAPL,dema
23-05-2024,190.98,191.0,186.63,186.88,51005924,186.88,AAPL,dema
22-05-2024,192.27,192.82,190.27,190.9,34648547,190.9,AAPL,dema
21-05-2024,191.09,192.73,190.92,192.35,42309401,192.35,AAPL,dema
20-05-2024,189.33,191.92,189.01,191.04,44361300,191.04,AAPL,dema
17-05-2024,189.51,190.81,189.18,189.87,41282925,189.87,AAPL,dema
16-05-2024,190.47,191.1,189.66,189.84,52845230,189.84,AAPL,dema
15-05-2024,187.91,190.65,187.37,189.72,70400000,189.72,AAPL,dema
14-05-2024,187.51,188.3,186.29,187.43,52393619,187.43,AAPL,dema
13-05-2024,185.44,187.1,184.62,186.28,72044809,186.28,AAPL,dema
10-05-2024,184.9,185.09,182.13,183.05,50759500,183.05,AAPL,dema
09-05-2024,182.56,184.66,182.11,184.57,48983000,184.57,AAPL,dema
08-05-2024,182.85,183.07,181.45,182.74,45057100,182.74,AAPL,dema
07-05-2024,183.45,184.9,181.32,182.4,77305800,182.4,AAPL,dema
06-05-2024,182.35,184.2,180.42,181.71,78569700,181.71,AAPL,dema
03-05-2024,186.65,187.0,182.66,183.38,163224109,183.38,AAPL,dema
02-05-2024,172.51,173.42,170.89,173.03,94214915,173.03,AAPL,dema
01-05-2024,169.58,172.71,169.11,169.3,50383147,169.3,AAPL,dema
30-04-2024,173.33,174.99,170.0,170.33,65934800,170.33,AAPL,dema
29-04-2024,173.37,176.03,173.1,173.5,68169419,173.5,AAPL,dema
26-04-2024,169.88,171.34,169.18,169.3,44838400,169.3,AAPL,dema
25-04-2024,169.53,170.61,168.15,169.89,50558329,169.89,AAPL,dema
24-04-2024,166.54,169.3,166.21,169.02,48251835,169.02,AAPL,dema
23-04-2024,165.35,167.05,164.92,166.9,49537800,166.9,AAPL,dema
22-04-2024,165.52,167.26,164.77,165.84,48116443,165.84,AAPL,dema
19-04-2024,166.21,166.4,164.08,165.0,68149377,165.0,AAPL,dema
18-04-2024,168.03,168.64,166.55,167.04,43122903,167.04,AAPL,dema
17-04-2024,169.61,170.65,168.0,168.0,50901210,168.0,AAPL,dema
16-04-2024,171.75,173.76,168.27,169.38,73711235,169.38,AAPL,dema
15-04-2024,175.36,176.63,172.5,172.69,73531800,172.69,AAPL,dema
12-04-2024,174.26,178.36,174.21,176.55,101670886,176.55,AAPL,dema
11-04-2024,168.34,175.46,168.16,175.04,91070300,175.04,AAPL,dema
10-04-2024,168.8,169.09,167.11,167.78,49709336,167.78,AAPL,dema
09-04-2024,168.7,170.08,168.35,169.67,42451209,169.67,AAPL,dema
08-04-2024,169.03,169.2,168.24,168.45,37425513,168.45,AAPL,dema
05-04-2024,169.59,170.39,168.95,169.58,42104826,169.58,AAPL,dema
04-04-2024,170.29,171.92,168.82,168.82,53704400,168.82,AAPL,dema
03-04-2024,168.79,170.68,168.58,169.65,47691715,169.65,AAPL,dema
02-04-2024,169.08,169.34,168.23,168.84,49329500,168.84,AAPL,dema
01-04-2024,171.19,171.25,169.48,170.03,46240500,170.03,AAPL,dema
28-03-2024,171.75,172.23,170.51,171.48,65672700,171.48,AAPL,dema
27-03-2024,170.41,173.6,170.11,173.31,60273300,173.31,AAPL,dema
26-03-2024,170.0,171.42,169.58,169.71,57388449,169.71,AAPL,dema
25-03-2024,170.57,171.94,169.45,170.85,54288328,170.85,AAPL,dema
22-03-2024,171.76,173.05,170.06,172.28,71160138,172.28,AAPL,dema
21-03-2024,177.05,177.49,170.84,171.37,106181300,171.37,AAPL,dema
20-03-2024,175.72,178.67,175.09,178.67,53423102,178.67,AAPL,dema
19-03-2024,174.34,176.61,173.03,176.08,55215244,176.08,AAPL,dema
18-03-2024,175.57,177.71,173.52,173.72,75604200,173.72,AAPL,dema
15-03-2024,171.17,172.62,170.29,172.62,121752699,172.62,AAPL,dema
14-03-2024,172.91,174.31,172.05,173.0,72913507,173.0,AAPL,dema
13-03-2024,172.77,173.19,170.76,171.13,52488700,171.13,AAPL,dema
12-03-2024,173.15,174.03,171.01,173.23,59825400,173.23,AAPL,dema
11-03-2024,172.94,174.38,172.05,172.75,60139500,172.75,AAPL,dema
08-03-2024,169.0,173.7,168.94,170.73,76267041,170.73,AAPL,dema
07-03-2024,169.15,170.73,168.49,169.0,71765100,169.0,AAPL,dema
06-03-2024,171.06,171.24,168.68,169.12,68587707,169.12,AAPL,dema
05-03-2024,170.76,172.04,169.62,170.12,95132400,170.12,AAPL,dema
04-03-2024,176.15,176.9,173.79,175.1,81510101,175.1,AAPL,dema
01-03-2024,179.55,180.53,177.38,179.66,73563082,179.66,AAPL,dema
29-02-2024,181.27,182.57,179.53,180.75,136682600,180.75,AAPL,dema
28-02-2024,182.51,183.12,180.13,181.42,48953939,181.42,AAPL,dema
27-02-2024,181.1,183.92,179.56,182.63,54318900,182.63,AAPL,dema
26-02-2024,182.24,182.76,180.65,181.16,40867421,181.16,AAPL,dema
23-02-2024,185.01,185.04,182.23,182.52,45119700,182.52,AAPL,dema
22-02-2024,183.48,184.96,182.46,184.37,52292208,184.37,AAPL,dema
21-02-2024,181.94,182.89,180.66,182.32,41529700,182.32,AAPL,dema
20-02-2024,181.79,182.43,180.0,181.56,53665600,181.56,AAPL,dema
16-02-2024,183.42,184.85,181.67,182.31,49752465,182.31,AAPL,dema
15-02-2024,183.55,184.49,181.35,183.86,65434500,183.86,AAPL,dema
14-02-2024,185.32,185.53,182.44,184.15,54630517,184.15,AAPL,dema
13-02-2024,185.77,186.21,183.51,185.04,56529529,185.04,AAPL,dema
12-02-2024,188.42,188.67,186.79,187.15,41781934,187.15,AAPL,dema
09-02-2024,188.65,189.99,188.0,188.85,45155216,188.85,AAPL,dema
08-02-2024,189.39,189.54,187.35,188.32,40962046,188.32,AAPL,dema
07-02-2024,190.64,191.05,188.61,189.41,53439000,189.41,AAPL,dema
06-02-2024,186.86,189.31,186.77,189.3,43490800,189.3,AAPL,dema
05-02-2024,188.15,189.25,185.84,187.68,69668820,187.68,AAPL,dema
02-02-2024,179.86,187.33,179.25,185.85,102551680,185.85,AAPL,dema
01-02-2024,183.99,186.95,183.82,186.86,64885408,186.86,AAPL,dema
31-01-2024,187.04,187.1,184.35,184.4,55467803,184.4,AAPL,dema
30-01-2024,190.94,191.8,187.47,188.04,55859400,188.04,AAPL,dema
29-01-2024,192.01,192.2,189.58,191.73,47145622,191.73,AAPL,dema
26-01-2024,194.27,194.76,191.94,192.42,44594011,192.42,AAPL,dema
25-01-2024,195.22,196.27,193.11,194.17,54822126,194.17,AAPL,dema
24-01-2024,195.42,196.38,194.34,194.5,53631316,194.5,AAPL,dema
23-01-2024,195.02,195.75,193.83,195.18,42355600,195.18,AAPL,dema
22-01-2024,192.3,195.33,192.26,193.89,60133900,193.89,AAPL,dema
19-01-2024,189.33,191.95,188.82,191.56,68902985,191.56,AAPL,dema
18-01-2024,186.09,189.14,185.83,188.63,78005800,188.63,AAPL,dema
17-01-2024,181.27,182.93,180.3,182.68,47317433,182.68,AAPL,dema
16-01-2024,182.16,184.26,180.93,183.63,65603041,183.63,AAPL,dema
12-01-2024,186.06,186.74,185.19,185.92,40477782,185.92,AAPL,dema
11-01-2024,186.54,187.05,183.62,185.59,49128408,185.59,AAPL,dema
10-01-2024,184.35,186.4,183.92,186.19,46792908,186.19,AAPL,dema
09-01-2024,183.92,185.15,182.73,185.14,42841809,185.14,AAPL,dema
08-01-2024,182.09,185.6,181.5,185.56,59144500,185.56,AAPL,dema
05-01-2024,181.99,182.76,180.17,181.18,62379661,181.18,AAPL,dema
04-01-2024,182.15,183.09,180.88,181.91,71983600,181.91,AAPL,dema
03-01-2024,184.22,185.88,183.43,184.25,58414500,184.25,AAPL,dema
02-01-2024,187.15,188.44,183.89,185.64,82488700,185.64,AAPL,dema
29-12-2023,193.9,194.4,191.73,192.53,42672148,192.53,AAPL,dema
28-12-2023,194.14,194.66,193.17,193.58,34049900,193.58,AAPL,dema
27-12-2023,192.49,193.5,191.09,193.15,48087700,193.15,AAPL,dema
26-12-2023,193.61,193.89,192.83,193.05,28919310,193.05,AAPL,dema
22-12-2023,195.18,195.41,192.97,193.6,37149570,193.6,AAPL,dema
21-12-2023,196.1,197.08,193.5,194.68,46482549,194.68,AAPL,dema
20-12-2023,196.9,197.68,194.83,194.83,52242815,194.83,AAPL,dema
19-12-2023,196.16,196.95,195.89,196.94,40714100,196.94,AAPL,dema
18-12-2023,196.09,196.63,194.39,195.89,55751900,195.89,AAPL,dema
15-12-2023,197.53,198.4,197.0,197.57,128538401,197.57,AAPL,dema
14-12-2023,198.02,199.62,196.16,198.11,66831600,198.11,AAPL,dema
13-12-2023,195.09,198.0,194.85,197.96,70404200,197.96,AAPL,dema
12-12-2023,193.08,194.72,191.72,194.71,52696900,194.71,AAPL,dema
11-12-2023,193.11,193.49,191.42,193.18,60943700,193.18,AAPL,dema
08-12-2023,194.2,195.99,193.67,195.71,53406358,195.71,AAPL,dema
07-12-2023,193.63,195.0,193.59,194.27,47477700,194.27,AAPL,dema
06-12-2023,194.45,194.76,192.11,192.32,41089737,192.32,AAPL,dema
05-12-2023,190.21,194.4,190.18,193.42,66628400,193.42,AAPL,dema
04-12-2023,189.98,190.05,187.45,189.43,43389519,189.43,AAPL,dema
01-12-2023,190.33,191.56,189.23,191.24,45704823,191.24,AAPL,dema
30-11-2023,189.84,190.32,188.19,189.95,48794400,189.95,AAPL,dema
29-11-2023,190.9,192.09,188.97,189.37,43014224,189.37,AAPL,dema
28-11-2023,189.78,191.08,189.4,190.4,38415419,190.4,AAPL,dema
27-11-2023,189.92,190.67,188.9,189.79,40552609,189.79,AAPL,dema
24-11-2023,190.87,190.9,189.25,189.97,24048344,189.97,AAPL,dema
22-11-2023,191.49,192.93,190.83,191.31,39630011,191.31,AAPL,dema
21-11-2023,191.41,191.52,189.74,190.64,38134500,190.64,AAPL,dema
20-11-2023,189.89,191.91,189.88,191.45,46538614,191.45,AAPL,dema
17-11-2023,190.25,190.38,188.57,189.69,50941404,189.69,AAPL,dema
16-11-2023,189.57,190.96,188.65,189.71,54412915,189.71,AAPL,dema
15-11-2023,187.85,189.5,187.78,188.01,53790500,188.01,AAPL,dema
14-11-2023,187.7,188.11,186.3,187.44,60108400,187.44,AAPL,dema
13-11-2023,185.82,186.03,184.21,184.8,43627519,184.8,AAPL,dema
10-11-2023,183.97,186.57,183.53,186.4,66177922,186.4,AAPL,dema
09-11-2023,182.96,184.12,181.81,182.41,53763540,182.41,AAPL,dema
