date,open,high,low,close,volume,dema,symbol,indicator
28-02-2025,208.65,212.62,206.99,212.28,51771737,212.28,AMZN,dema
27-02-2025,218.35,219.97,208.37,208.74,40548600,208.74,AMZN,dema
26-02-2025,214.94,218.16,213.09,214.35,39120603,214.35,AMZN,dema
25-02-2025,211.63,213.34,204.16,212.8,58958000,212.8,AMZN,dema
24-02-2025,217.45,217.72,212.42,212.71,42387600,212.71,AMZN,dema
21-02-2025,223.28,223.31,214.74,216.58,55323900,216.58,AMZN,dema
20-02-2025,224.78,225.13,221.81,222.88,30001700,222.88,AMZN,dema
19-02-2025,225.52,226.83,223.71,226.63,28566709,226.63,AMZN,dema
18-02-2025,228.82,229.3,223.72,226.65,42975133,226.65,AMZN,dema
14-02-2025,229.2,229.89,227.23,228.68,27031100,228.68,AMZN,dema
13-02-2025,228.85,230.42,227.52,230.37,31346512,230.37,AMZN,dema
12-02-2025,230.46,231.18,228.16,228.93,32285249,228.93,AMZN,dema
11-02-2025,231.92,233.44,230.13,232.76,23713726,232.76,AMZN,dema
10-02-2025,230.55,233.92,229.2,233.14,35419926,233.14,AMZN,dema
07-02-2025,232.5,234.81,228.06,229.15,78075433,229.15,AMZN,dema
06-02-2025,238.01,239.66,236.01,238.83,60897100,238.83,AMZN,dema
05-02-2025,237.02,238.32,235.2,236.17,38832042,236.17,AMZN,dema
04-02-2025,239.01,242.52,238.03,242.06,29713812,242.06,AMZN,dema
03-02-2025,234.06,239.25,232.9,237.42,37285900,237.42,AMZN,dema
31-01-2025,236.5,240.29,236.41,237.68,36162400,237.68,AMZN,dema
30-01-2025,237.14,237.95,232.22,234.64,32020728,234.64,AMZN,dema
29-01-2025,239.02,240.39,236.15,237.07,26091716,237.07,AMZN,dema
28-01-2025,234.29,241.77,233.98,238.15,41587200,238.15,AMZN,dema
27-01-2025,226.21,235.61,225.86,235.42,49428332,235.42,AMZN,dema
24-01-2025,234.5,236.4,232.93,234.85,25890738,234.85,AMZN,dema
23-01-2025,234.1,235.52,231.51,235.42,26404400,235.42,AMZN,dema
