date,open,high,low,close,volume,dema,symbol,indicator
28-02-2025,658.04,669.63,642.6,668.2,16952435,668.2,META,dema
27-02-2025,682.45,688.65,657.57,658.24,12500013,658.24,META,dema
26-02-2025,659.65,683.01,658.0,673.7,14488705,673.7,META,dema
25-02-2025,665.97,668.0,641.86,657.5,20579700,657.5,META,dema
24-02-2025,686.28,687.27,662.45,668.13,15677000,668.13,META,dema
21-02-2025,696.58,703.87,682.36,683.55,15660400,683.55,META,dema
20-02-2025,697.28,705.63,693.64,694.84,12587408,694.84,META,dema
19-02-2025,704.1,707.0,695.39,703.77,17535500,703.77,META,dema
18-02-2025,736.0,737.0,706.44,716.37,21938703,716.37,META,dema
14-02-2025,726.14,740.91,725.62,736.67,16901249,736.67,META,dema
13-02-2025,721.52,729.0,718.04,728.56,12569100,728.56,META,dema
12-02-2025,715.3,727.1,712.6,725.38,12016517,725.38,META,dema
11-02-2025,713.32,723.66,710.04,719.8,12998000,719.8,META,dema
10-02-2025,718.56,721.2,711.33,717.4,12904317,717.4,META,dema
07-02-2025,716.8,725.01,711.75,714.52,16427100,714.52,META,dema
06-02-2025,705.88,718.9,703.5,711.99,13080700,711.99,META,dema
05-02-2025,703.55,718.14,699.01,704.87,17793766,704.87,META,dema
04-02-2025,702.5,707.71,691.61,704.19,13826300,704.19,META,dema
03-02-2025,675.91,704.0,675.25,697.46,21415739,697.46,META,dema
31-01-2025,691.0,705.3,685.58,689.18,19331700,689.18,META,dema
30-01-2025,696.82,710.79,676.1,687.0,29322900,687.0,META,dema
29-01-2025,675.0,681.05,665.67,676.49,21377820,676.49,META,dema
28-01-2025,666.0,682.58,659.47,674.33,20950107,674.33,META,dema
27-01-2025,626.61,663.87,625.1,659.88,28399200,659.88,META,dema
24-01-2025,636.4,652.0,634.2,647.49,19065329,647.49,META,dema
23-01-2025,627.36,636.6,621.15,636.45,9910200,636.45,META,dema
22-01-2025,623.3,633.7,619.43,623.5,12274011,623.5,META,dema
21-01-2025,617.83,621.5,609.01,616.46,11674016,616.46,META,dema
17-01-2025,624.05,624.97,603.67,612.77,17280600,612.77,META,dema
16-01-2025,611.5,616.25,609.71,611.3,8355349,611.3,META,dema
15-01-2025,610.21,622.46,606.5,617.12,15524302,617.12,META,dema
14-01-2025,605.07,605.49,588.55,594.25,13598000,594.25,META,dema
13-01-2025,607.1,608.97,598.45,608.33,10785031,608.33,META,dema
10-01-2025,610.03,629.91,597.34,615.86,19256600,615.86,META,dema
08-01-2025,613.4,616.44,602.79,610.72,10085846,610.72,META,dema
07-01-2025,631.7,632.1,608.23,617.89,12071500,617.89,META,dema
06-01-2025,611.83,630.99,605.62,630.2,14560800,630.2,META,dema
03-01-2025,604.76,609.5,596.41,604.63,11436800,604.63,META,dema
02-01-2025,589.72,604.91,587.82,599.24,12682300,599.24,META,dema
31-12-2024,592.27,593.97,583.85,585.51,6019520,585.51,META,dema
30-12-2024,588.75,596.94,585.58,591.24,7025900,591.24,META,dema
27-12-2024,599.41,601.85,589.8,599.81,8084229,599.81,META,dema
26-12-2024,605.48,606.3,598.94,603.35,6091239,603.35,META,dema
24-12-2024,602.72,607.99,599.28,607.75,4726100,607.75,META,dema
23-12-2024,589.6,601.09,586.25,599.85,10205800,599.85,META,dema
20-12-2024,590.58,603.11,580.0,585.25,48989400,585.25,META,dema
19-12-2024,610.39,611.52,595.0,595.57,14958100,595.57,META,dema
18-12-2024,621.0,627.36,596.32,597.19,17075500,597.19,META,dema
17-12-2024,626.17,632.37,616.54,619.44,12897842,619.44,META,dema
16-12-2024,629.98,631.15,618.58,624.24,10885625,624.24,META,dema
13-12-2024,627.22,631.08,616.89,620.35,8453349,620.35,META,dema
12-12-2024,631.5,636.66,627.21,630.79,7474717,630.79,META,dema
11-12-2024,623.37,638.4,621.53,632.68,10837228,632.68,META,dema
10-12-2024,617.56,625.59,612.74,619.32,10938900,619.32,META,dema
09-12-2024,623.92,626.4,606.17,613.57,11426015,613.57,META,dema
06-12-2024,610.1,629.79,608.53,623.77,16935503,623.77,META,dema
05-12-2024,617.08,619.9,607.05,608.93,8081212,608.93,META,dema
04-12-2024,612.96,617.78,605.1,613.78,14697006,613.78,META,dema
03-12-2024,595.0,614.2,591.25,613.65,14907200,613.65,META,dema
02-12-2024,577.5,594.5,575.57,592.83,12522400,592.83,META,dema
29-11-2024,569.0,578.46,566.9,574.32,7130519,574.32,META,dema
27-11-2024,574.89,574.98,564.1,569.2,7200228,569.2,META,dema
26-11-2024,566.0,577.5,565.2,573.54,10356600,573.54,META,dema
25-11-2024,562.1,572.59,556.39,565.11,13599830,565.11,META,dema
22-11-2024,563.55,563.83,554.59,559.14,9164004,559.14,META,dema
21-11-2024,569.52,570.0,549.05,563.09,11154749,563.09,META,dema
20-11-2024,562.93,566.35,554.2,565.52,9797339,565.52,META,dema
19-11-2024,551.86,561.43,550.6,561.09,9522445,561.09,META,dema
18-11-2024,557.04,559.9,550.09,554.4,14346715,554.4,META,dema
15-11-2024,571.22,572.57,551.5,554.08,17712900,554.08,META,dema
14-11-2024,577.0,580.76,573.01,577.16,11053743,577.16,META,dema
13-11-2024,582.61,585.64,575.17,580.0,10757600,580.0,META,dema
12-11-2024,588.54,599.66,580.38,584.82,16287724,584.82,META,dema
11-11-2024,586.36,587.0,576.51,583.17,10209100,583.17,META,dema
08-11-2024,591.54,593.1,584.52,589.34,9415700,589.34,META,dema
07-11-2024,576.89,594.8,575.21,591.7,14653708,591.7,META,dema
06-11-2024,562.75,573.0,555.17,572.05,18305429,572.05,META,dema
05-11-2024,567.3,573.48,566.67,572.43,9775400,572.43,META,dema
04-11-2024,564.1,568.69,557.89,560.68,12064601,560.68,META,dema
01-11-2024,567.61,573.67,562.56,567.16,15303235,567.16,META,dema
31-10-2024,585.0,589.9,563.01,567.58,26838400,567.58,META,dema
30-10-2024,600.98,601.2,589.38,591.8,26864925,591.8,META,dema
29-10-2024,580.15,593.67,575.4,593.28,13019100,593.28,META,dema
28-10-2024,582.0,583.75,574.12,578.16,10925131,578.16,META,dema
25-10-2024,573.93,581.29,571.72,573.25,11337900,573.25,META,dema
24-10-2024,567.13,568.88,561.52,567.78,7184700,567.78,META,dema
23-10-2024,579.97,585.0,562.5,563.69,14248419,563.69,META,dema
22-10-2024,574.29,583.53,572.12,582.01,8544500,582.01,META,dema
21-10-2024,576.03,577.24,569.11,575.16,8171900,575.16,META,dema
18-10-2024,581.1,583.97,575.25,576.47,7694300,576.47,META,dema
17-10-2024,583.33,584.97,575.2,576.93,8701200,576.93,META,dema
16-10-2024,581.4,582.08,574.03,576.79,11268400,576.79,META,dema
15-10-2024,590.16,590.61,580.14,586.27,9564236,586.27,META,dema
14-10-2024,594.22,600.1,589.96,590.42,8252000,590.42,META,dema
11-10-2024,584.83,591.21,582.71,589.95,8587100,589.95,META,dema
10-10-2024,587.57,590.23,582.52,583.83,7740449,583.83,META,dema
09-10-2024,593.99,594.39,581.61,590.51,9529707,590.51,META,dema
08-10-2024,589.69,593.56,585.97,592.89,7857400,592.89,META,dema
07-10-2024,598.22,602.95,584.04,584.78,12014200,584.78,META,dema
04-10-2024,583.73,596.85,581.43,595.94,14199788,595.94,META,dema
03-10-2024,570.15,583.36,568.73,582.77,11581000,582.77,META,dema
02-10-2024,574.86,576.0,569.34,572.81,6524700,572.81,META,dema
01-10-2024,577.98,583.04,570.1,576.47,15259300,576.47,META,dema
30-09-2024,567.7,574.68,564.8,572.44,12807206,572.44,META,dema
27-09-2024,570.1,570.84,564.51,567.36,9398400,567.36,META,dema
26-09-2024,575.73,577.4,562.35,567.84,14400800,567.84,META,dema
25-09-2024,564.05,576.88,563.72,568.31,16543400,568.31,META,dema
24-09-2024,566.68,567.75,554.19,563.33,12993000,563.33,META,dema
23-09-2024,569.5,573.98,562.41,564.41,12830700,564.41,META,dema
20-09-2024,560.0,564.5,556.3,561.35,22066817,561.35,META,dema
19-09-2024,550.0,562.07,546.52,559.1,15647000,559.1,META,dema
18-09-2024,537.07,544.2,533.9,537.95,10323537,537.95,META,dema
17-09-2024,537.6,542.1,530.57,536.32,11690800,536.32,META,dema
16-09-2024,524.54,534.1,517.4,533.28,9527646,533.28,META,dema
13-09-2024,520.34,527.58,517.11,524.62,10321422,524.62,META,dema
12-09-2024,517.05,526.71,515.22,525.6,11993342,525.6,META,dema
11-09-2024,507.01,513.12,495.6,511.83,10782532,511.83,META,dema
10-09-2024,508.16,514.18,500.03,504.79,9899022,504.79,META,dema
09-09-2024,506.16,511.33,502.08,504.79,11047828,504.79,META,dema
06-09-2024,521.88,524.58,498.25,500.27,14744521,500.27,META,dema
05-09-2024,511.72,521.63,511.15,516.86,8640900,516.86,META,dema
04-09-2024,506.07,516.59,504.07,512.74,8335207,512.74,META,dema
03-09-2024,519.64,525.49,508.62,511.76,12459113,511.76,META,dema
30-08-2024,521.35,523.54,515.2,521.31,9157541,521.31,META,dema
29-08-2024,519.05,527.2,515.68,518.22,8317424,518.22,META,dema
28-08-2024,517.67,521.09,512.45,516.78,9106100,516.78,META,dema
27-08-2024,518.98,524.01,515.31,519.1,6282720,519.1,META,dema
26-08-2024,527.6,528.0,514.95,521.12,9584002,521.12,META,dema
23-08-2024,536.92,539.87,525.06,528.0,11323936,528.0,META,dema
22-08-2024,537.0,544.23,528.59,531.93,15708300,531.93,META,dema
21-08-2024,527.15,539.4,526.93,535.16,13423300,535.16,META,dema
20-08-2024,528.35,531.09,525.88,526.73,7944400,526.73,META,dema
19-08-2024,526.87,531.66,522.76,529.28,9879713,529.28,META,dema
16-08-2024,531.9,533.66,524.66,527.42,14776700,527.42,META,dema
15-08-2024,531.79,539.77,526.7,537.33,13482141,537.33,META,dema
14-08-2024,528.06,534.0,523.13,526.76,11444200,526.76,META,dema
13-08-2024,520.01,531.5,518.15,528.54,13743839,528.54,META,dema
12-08-2024,516.86,518.02,509.1,515.95,9767422,515.95,META,dema
09-08-2024,507.71,518.34,505.7,517.77,13696640,517.77,META,dema
08-08-2024,497.5,509.96,494.72,509.63,16156843,509.63,META,dema
07-08-2024,503.13,510.15,486.86,488.92,20105307,488.92,META,dema
06-08-2024,479.0,502.56,478.65,494.09,20955000,494.09,META,dema
05-08-2024,451.35,483.48,450.8,475.73,21396200,475.73,META,dema
02-08-2024,489.0,501.15,476.15,488.14,24044700,488.14,META,dema
01-08-2024,521.0,527.17,492.1,497.74,43083100,497.74,META,dema
31-07-2024,471.02,476.5,466.75,474.83,24285800,474.83,META,dema
30-07-2024,467.0,472.73,456.7,463.19,11390439,463.19,META,dema
29-07-2024,469.88,473.96,465.02,465.71,11339630,465.71,META,dema
26-07-2024,464.2,469.77,459.42,465.7,14222400,465.7,META,dema
25-07-2024,463.26,463.55,442.65,453.41,18240500,453.41,META,dema
24-07-2024,472.31,476.3,460.58,461.27,17649738,461.27,META,dema
23-07-2024,489.84,495.22,487.72,488.69,9455527,488.69,META,dema
22-07-2024,486.58,492.06,483.9,487.4,12023100,487.4,META,dema
19-07-2024,476.06,486.71,475.71,476.79,15149416,476.79,META,dema
18-07-2024,475.0,479.24,464.54,475.85,19267200,475.85,META,dema
17-07-2024,479.17,479.17,459.12,461.99,28076600,461.99,META,dema
16-07-2024,501.5,503.95,485.79,489.79,14075833,489.79,META,dema
15-07-2024,498.63,506.68,493.37,496.16,12539200,496.16,META,dema
12-07-2024,497.76,508.09,494.23,498.87,19750544,498.87,META,dema
