date,open,high,low,close,volume,ema,symbol,indicator
28-02-2025,118.02,125.09,116.4,124.92,389091145,124.92,NVDA,ema
27-02-2025,135.0,135.01,120.01,120.15,443175846,120.15,NVDA,ema
26-02-2025,129.99,133.73,128.49,131.28,322553814,131.28,NVDA,ema
25-02-2025,129.98,130.2,124.44,126.63,271428711,126.63,NVDA,ema
24-02-2025,136.56,138.59,130.08,130.28,251381137,130.28,NVDA,ema
21-02-2025,140.04,141.46,134.03,134.43,228217600,134.43,NVDA,ema
20-02-2025,140.03,140.66,136.79,140.11,143903600,140.11,NVDA,ema
19-02-2025,139.51,141.36,137.22,139.23,167536006,139.23,NVDA,ema
18-02-2025,141.27,143.44,137.93,139.4,219176627,139.4,NVDA,ema
14-02-2025,136.48,139.25,135.5,138.85,195479600,138.85,NVDA,ema
13-02-2025,131.56,136.5,131.17,135.29,197430000,135.29,NVDA,ema
12-02-2025,130.02,132.24,129.08,131.14,160278600,131.14,NVDA,ema
11-02-2025,132.58,134.48,131.02,132.8,178902400,132.8,NVDA,ema
10-02-2025,130.09,135.0,129.96,133.57,216989100,133.57,NVDA,ema
07-02-2025,129.22,130.37,125.0,129.84,228186300,129.84,NVDA,ema
06-02-2025,127.42,128.77,125.21,128.68,251483600,128.68,NVDA,ema
05-02-2025,121.76,125.0,120.76,124.83,263110629,124.83,NVDA,ema
04-02-2025,116.96,121.2,116.7,118.65,256550040,118.65,NVDA,ema
03-02-2025,114.75,118.57,113.01,116.66,371235700,116.66,NVDA,ema
31-01-2025,123.78,127.85,119.19,120.07,390372900,120.07,NVDA,ema
30-01-2025,123.1,125.0,118.1,124.65,392925500,124.65,NVDA,ema
29-01-2025,126.5,126.89,120.05,123.7,467120640,123.7,NVDA,ema
28-01-2025,121.81,129.0,116.25,128.99,579666400,128.99,NVDA,ema
27-01-2025,124.8,128.4,116.7,118.42,818830900,118.42,NVDA,ema
24-01-2025,148.37,148.97,141.88,142.62,234657635,142.62,NVDA,ema
23-01-2025,145.05,147.23,143.72,147.22,155915549,147.22,NVDA,ema
22-01-2025,144.66,147.79,143.67,147.07,237651400,147.07,NVDA,ema
21-01-2025,139.16,141.83,137.09,140.83,197749000,140.83,NVDA,ema
17-01-2025,136.69,138.5,135.46,137.71,201188800,137.71,NVDA,ema
16-01-2025,138.64,138.75,133.49,133.57,209235600,133.57,NVDA,ema
15-01-2025,133.65,136.45,131.29,136.24,185217338,136.24,NVDA,ema
14-01-2025,136.05,136.38,130.05,131.76,195590500,131.76,NVDA,ema
13-01-2025,129.99,133.49,129.51,133.23,204808914,133.23,NVDA,ema
10-01-2025,137.45,139.92,134.22,135.91,207602514,135.91,NVDA,ema
08-01-2025,142.58,143.95,137.56,140.11,227349948,140.11,NVDA,ema
07-01-2025,153.03,153.13,140.01,140.14,351782200,140.14,NVDA,ema
06-01-2025,148.59,152.16,147.82,149.43,265377400,149.43,NVDA,ema
03-01-2025,140.01,144.9,139.73,144.47,229322500,144.47,NVDA,ema
02-01-2025,136.0,138.88,134.63,138.31,198247200,138.31,NVDA,ema
31-12-2024,138.03,138.07,133.83,134.29,155659211,134.29,NVDA,ema
30-12-2024,134.83,140.27,134.02,137.49,167734700,137.49,NVDA,ema
27-12-2024,138.55,139.02,134.71,137.01,170582603,137.01,NVDA,ema
26-12-2024,139.7,140.85,137.73,139.93,116519090,139.93,NVDA,ema
24-12-2024,140.0,141.9,138.65,140.22,105157000,140.22,NVDA,ema
23-12-2024,136.28,139.79,135.12,139.67,176053506,139.67,NVDA,ema
20-12-2024,129.81,135.28,128.22,134.7,306528600,134.7,NVDA,ema
19-12-2024,131.76,134.03,129.55,130.68,209719210,130.68,NVDA,ema
18-12-2024,133.86,136.7,128.28,128.91,277444533,128.91,NVDA,ema
17-12-2024,129.09,131.59,126.86,130.39,259410300,130.39,NVDA,ema
16-12-2024,134.18,134.4,130.42,132.0,237951130,132.0,NVDA,ema
13-12-2024,138.94,139.6,132.54,134.25,231514900,134.25,NVDA,ema
12-12-2024,137.08,138.44,135.8,137.34,159211400,137.34,NVDA,ema
11-12-2024,137.36,140.17,135.21,139.31,184905200,139.31,NVDA,ema
10-12-2024,139.01,141.82,133.79,135.07,210020900,135.07,NVDA,ema
09-12-2024,138.97,139.95,137.13,138.81,189308625,138.81,NVDA,ema
06-12-2024,144.6,145.7,141.31,142.44,188505600,142.44,NVDA,ema
05-12-2024,145.11,146.54,143.95,145.06,172621200,145.06,NVDA,ema
04-12-2024,142.0,145.79,140.29,145.14,231224300,145.14,NVDA,ema
03-12-2024,138.26,140.54,137.95,140.26,164414000,140.26,NVDA,ema
02-12-2024,138.83,140.45,137.82,138.63,171682800,138.63,NVDA,ema
29-11-2024,136.78,139.35,136.05,138.25,141863200,138.25,NVDA,ema
27-11-2024,135.01,137.22,131.8,135.34,226370912,135.34,NVDA,ema
26-11-2024,137.7,139.3,135.67,136.92,190287700,136.92,NVDA,ema
25-11-2024,141.99,142.05,135.82,136.02,344941900,136.02,NVDA,ema
22-11-2024,145.93,147.16,141.1,141.95,236406200,141.95,NVDA,ema
21-11-2024,149.35,152.89,140.7,146.67,400946600,146.67,NVDA,ema
20-11-2024,147.41,147.56,142.73,145.89,309871700,145.89,NVDA,ema
19-11-2024,141.32,147.13,140.99,147.01,227834912,147.01,NVDA,ema
18-11-2024,139.5,141.55,137.15,140.15,221866000,140.15,NVDA,ema
15-11-2024,144.87,145.24,140.08,141.98,250132900,141.98,NVDA,ema
14-11-2024,147.64,149.0,145.55,146.76,194463301,146.76,NVDA,ema
13-11-2024,149.07,149.33,145.9,146.27,191903300,146.27,NVDA,ema
12-11-2024,146.78,149.65,146.01,148.29,198634738,148.29,NVDA,ema
11-11-2024,148.68,148.85,143.57,145.26,182325620,145.26,NVDA,ema
08-11-2024,148.77,149.77,146.26,147.63,175665830,147.63,NVDA,ema
07-11-2024,146.39,148.93,146.17,148.88,207323303,148.88,NVDA,ema
06-11-2024,142.96,146.49,141.96,145.61,242043945,145.61,NVDA,ema
05-11-2024,137.45,140.37,137.33,139.91,160537400,139.91,NVDA,ema
04-11-2024,137.21,138.96,135.57,136.05,187528200,136.05,NVDA,ema
01-11-2024,134.7,137.31,134.57,135.4,207127838,135.4,NVDA,ema
31-10-2024,137.6,137.61,132.11,132.76,270039641,132.76,NVDA,ema
30-10-2024,139.54,140.33,136.81,139.34,179418100,139.34,NVDA,ema
29-10-2024,140.29,142.26,138.9,141.25,157593634,141.25,NVDA,ema
28-10-2024,143.0,143.14,140.05,140.52,173586745,140.52,NVDA,ema
25-10-2024,140.93,144.13,140.8,141.54,205122109,141.54,NVDA,ema
24-10-2024,140.82,141.35,138.46,140.41,172354900,140.41,NVDA,ema
