date,symbol,sma,adx,dema,ema,rsi,standardDeviation,tema,williams,wma
16-12-1980,AAPL,0.11272,0,0.11272,0.11272,0,0,0.11272,,0.11272
17-12-1980,AAPL,0.11551,100,0.11551,0.11551,100,0,0.11551,,0.11551
18-12-1980,AAPL,0.11886,100,0.11886,0.11886,100,0,0.11886,,0.11886
19-12-1980,AAPL,0.12612,100,0.12612,0.12612,100,0,0.12612,,0.12612
22-12-1980,AAPL,0.13225,100,0.13225,0.13225,100,0,0.13225,,0.13225
23-12-1980,AAPL,0.13784,100,0.13784,0.13784,100,0,0.13784,,0.13784
24-12-1980,AAPL,0.14509,100,0.14509,0.14509,100,0,0.14509,,0.14509
26-12-1980,AAPL,0.15848,100,0.15848,0.15848,100,0,0.15848,,0.15848
29-12-1980,AAPL,0.16071,100,0.16071,0.16071,100,0,0.16071,,0.16071
30-12-1980,AAPL,0.15681,0,0.15681,0.15681,0,0,0.15681,,0.15681
31-12-1980,AAPL,0.15234,0,0.15234,0.15234,0,0,0.15234,,0.15234
02-01-1981,AAPL,0.15402,100,0.15402,0.15402,100,0,0.15402,,0.15402
05-01-1981,AAPL,0.15067,0,0.15067,0.15067,0,0,0.15067,,0.15067
06-01-1981,AAPL,0.14397,0,0.14397,0.14397,0,0,0.14397,,0.14397
07-01-1981,AAPL,0.13784,0,0.13784,0.13784,0,0,0.13784,,0.13784
08-01-1981,AAPL,0.13505,0,0.13505,0.13505,0,0,0.13505,,0.13505
09-01-1981,AAPL,0.1423,100,0.1423,0.1423,100,0,0.1423,,0.1423
12-01-1981,AAPL,0.14118,0,0.14118,0.14118,0,0,0.14118,,0.14118
13-01-1981,AAPL,0.13616,0,0.13616,0.13616,0,0,0.13616,,0.13616
14-01-1981,AAPL,0.13672,100,0.13672,0.13672,100,0,0.13672,,0.13672
15-01-1981,AAPL,0.13951,100,0.13951,0.13951,100,0,0.13951,,0.13951
16-01-1981,AAPL,0.13839,0,0.13839,0.13839,0,0,0.13839,,0.13839
19-01-1981,AAPL,0.14676,100,0.14676,0.14676,100,0,0.14676,,0.14676
20-01-1981,AAPL,0.1423,0,0.1423,0.1423,0,0,0.1423,,0.1423
21-01-1981,AAPL,0.14509,100,0.14509,0.14509,100,0,0.14509,,0.14509
22-01-1981,AAPL,0.14676,100,0.14676,0.14676,100,0,0.14676,,0.14676
23-01-1981,AAPL,0.14621,0,0.14621,0.14621,0,0,0.14621,,0.14621
26-01-1981,AAPL,0.14397,0,0.14397,0.14397,0,0,0.14397,,0.14397
27-01-1981,AAPL,0.14286,0,0.14286,0.14286,0,0,0.14286,,0.14286
28-01-1981,AAPL,0.13839,0,0.13839,0.13839,0,0,0.13839,,0.13839
29-01-1981,AAPL,0.13337,0,0.13337,0.13337,0,0,0.13337,,0.13337
30-01-1981,AAPL,0.12612,0,0.12612,0.12612,0,0,0.12612,,0.12612
02-02-1981,AAPL,0.11886,0,0.11886,0.11886,0,0,0.11886,,0.11886
03-02-1981,AAPL,0.12333,100,0.12333,0.12333,100,0,0.12333,,0.12333
04-02-1981,AAPL,0.12779,100,0.12779,0.12779,100,0,0.12779,,0.12779
05-02-1981,AAPL,0.12779,0,0.12779,0.12779,0,0,0.12779,,0.12779
06-02-1981,AAPL,0.12835,100,0.12835,0.12835,100,0,0.12835,,0.12835
09-02-1981,AAPL,0.12165,0,0.12165,0.12165,0,0,0.12165,,0.12165
10-02-1981,AAPL,0.12165,0,0.12165,0.12165,0,0,0.12165,,0.12165
11-02-1981,AAPL,0.11775,0,0.11775,0.11775,0,0,0.11775,,0.11775
12-02-1981,AAPL,0.11663,0,0.11663,0.11663,0,0,0.11663,,0.11663
13-02-1981,AAPL,0.11384,0,0.11384,0.11384,0,0,0.11384,,0.11384
17-02-1981,AAPL,0.11663,100,0.11663,0.11663,100,0,0.11663,,0.11663
18-02-1981,AAPL,0.12165,100,0.12165,0.12165,100,0,0.12165,,0.12165
19-02-1981,AAPL,0.1144,0,0.1144,0.1144,0,0,0.1144,,0.1144
20-02-1981,AAPL,0.10826,0,0.10826,0.10826,0,0,0.10826,,0.10826
23-02-1981,AAPL,0.10993,100,0.10993,0.10993,100,0,0.10993,,0.10993
24-02-1981,AAPL,0.10603,0,0.10603,0.10603,0,0,0.10603,,0.10603
25-02-1981,AAPL,0.11272,100,0.11272,0.11272,100,0,0.11272,,0.11272
26-02-1981,AAPL,0.1144,100,0.1144,0.1144,100,0,0.1144,,0.1144
27-02-1981,AAPL,0.1183,100,0.1183,0.1183,100,0,0.1183,,0.1183
02-03-1981,AAPL,0.11886,100,0.11886,0.11886,100,0,0.11886,,0.11886
03-03-1981,AAPL,0.11719,0,0.11719,0.11719,0,0,0.11719,,0.11719
04-03-1981,AAPL,0.11607,0,0.11607,0.11607,0,0,0.11607,,0.11607
05-03-1981,AAPL,0.11551,0,0.11551,0.11551,0,0,0.11551,,0.11551
06-03-1981,AAPL,0.1144,0,0.1144,0.1144,0,0,0.1144,,0.1144
09-03-1981,AAPL,0.10547,0,0.10547,0.10547,0,0,0.10547,,0.10547
10-03-1981,AAPL,0.10045,0,0.10045,0.10045,0,0,0.10045,,0.10045
11-03-1981,AAPL,0.09654,0,0.09654,0.09654,0,0,0.09654,,0.09654
12-03-1981,AAPL,0.10045,100,0.10045,0.10045,100,0,0.10045,,0.10045
13-03-1981,AAPL,0.09933,0,0.09933,0.09933,0,0,0.09933,,0.09933
16-03-1981,AAPL,0.10324,100,0.10324,0.10324,100,0,0.10324,,0.10324
17-03-1981,AAPL,0.10826,100,0.10826,0.10826,100,0,0.10826,,0.10826
18-03-1981,AAPL,0.11496,100,0.11496,0.11496,100,0,0.11496,,0.11496
19-03-1981,AAPL,0.11384,0,0.11384,0.11384,0,0,0.11384,,0.11384
20-03-1981,AAPL,0.11496,100,0.11496,0.11496,100,0,0.11496,,0.11496
23-03-1981,AAPL,0.11942,100,0.11942,0.11942,100,0,0.11942,,0.11942
24-03-1981,AAPL,0.11886,0,0.11886,0.11886,0,0,0.11886,,0.11886
25-03-1981,AAPL,0.11663,0,0.11663,0.11663,0,0,0.11663,,0.11663
26-03-1981,AAPL,0.1144,0,0.1144,0.1144,0,0,0.1144,,0.1144
27-03-1981,AAPL,0.11049,0,0.11049,0.11049,0,0,0.11049,,0.11049
30-03-1981,AAPL,0.11049,0,0.11049,0.11049,0,0,0.11049,,0.11049
31-03-1981,AAPL,0.10938,0,0.10938,0.10938,0,0,0.10938,,0.10938
01-04-1981,AAPL,0.10826,0,0.10826,0.10826,0,0,0.10826,,0.10826
02-04-1981,AAPL,0.11775,100,0.11775,0.11775,100,0,0.11775,,0.11775
03-04-1981,AAPL,0.1183,100,0.1183,0.1183,100,0,0.1183,,0.1183
06-04-1981,AAPL,0.11607,0,0.11607,0.11607,0,0,0.11607,,0.11607
07-04-1981,AAPL,0.11496,0,0.11496,0.11496,0,0,0.11496,,0.11496
08-04-1981,AAPL,0.12054,100,0.12054,0.12054,100,0,0.12054,,0.12054
09-04-1981,AAPL,0.12277,100,0.12277,0.12277,100,0,0.12277,,0.12277
10-04-1981,AAPL,0.12444,100,0.12444,0.12444,100,0,0.12444,,0.12444
13-04-1981,AAPL,0.12444,0,0.12444,0.12444,0,0,0.12444,,0.12444
14-04-1981,AAPL,0.12444,0,0.12444,0.12444,0,0,0.12444,,0.12444
15-04-1981,AAPL,0.1183,0,0.1183,0.1183,0,0,0.1183,,0.1183
16-04-1981,AAPL,0.11161,0,0.11161,0.11161,0,0,0.11161,,0.11161
20-04-1981,AAPL,0.11496,100,0.11496,0.11496,100,0,0.11496,,0.11496
21-04-1981,AAPL,0.12277,100,0.12277,0.12277,100,0,0.12277,,0.12277
22-04-1981,AAPL,0.12723,100,0.12723,0.12723,100,0,0.12723,,0.12723
23-04-1981,AAPL,0.13058,100,0.13058,0.13058,100,0,0.13058,,0.13058
24-04-1981,AAPL,0.12946,0,0.12946,0.12946,0,0,0.12946,,0.12946
27-04-1981,AAPL,0.12835,0,0.12835,0.12835,0,0,0.12835,,0.12835
28-04-1981,AAPL,0.12612,0,0.12612,0.12612,0,0,0.12612,,0.12612
29-04-1981,AAPL,0.12444,0,0.12444,0.12444,0,0,0.12444,,0.12444
30-04-1981,AAPL,0.12667,100,0.12667,0.12667,100,0,0.12667,,0.12667
01-05-1981,AAPL,0.12667,0,0.12667,0.12667,0,0,0.12667,,0.12667
04-05-1981,AAPL,0.12612,0,0.12612,0.12612,0,0,0.12612,,0.12612
05-05-1981,AAPL,0.12556,0,0.12556,0.12556,0,0,0.12556,,0.12556
06-05-1981,AAPL,0.12221,0,0.12221,0.12221,0,0,0.12221,,0.12221
07-05-1981,AAPL,0.12388,100,0.12388,0.12388,100,0,0.12388,,0.12388
08-05-1981,AAPL,0.125,100,0.125,0.125,100,0,0.125,,0.125
11-05-1981,AAPL,0.12221,0,0.12221,0.12221,0,0,0.12221,,0.12221
12-05-1981,AAPL,0.12221,0,0.12221,0.12221,0,0,0.12221,,0.12221
13-05-1981,AAPL,0.12165,0,0.12165,0.12165,0,0,0.12165,,0.12165
14-05-1981,AAPL,0.11998,0,0.11998,0.11998,0,0,0.11998,,0.11998
15-05-1981,AAPL,0.12277,100,0.12277,0.12277,100,0,0.12277,,0.12277
18-05-1981,AAPL,0.125,100,0.125,0.125,100,0,0.125,,0.125
19-05-1981,AAPL,0.12277,0,0.12277,0.12277,0,0,0.12277,,0.12277
20-05-1981,AAPL,0.12667,100,0.12667,0.12667,100,0,0.12667,,0.12667
21-05-1981,AAPL,0.13393,100,0.13393,0.13393,100,0,0.13393,,0.13393
22-05-1981,AAPL,0.14007,100,0.14007,0.14007,100,0,0.14007,,0.14007
26-05-1981,AAPL,0.13951,0,0.13951,0.13951,0,0,0.13951,,0.13951
27-05-1981,AAPL,0.14732,100,0.14732,0.14732,100,0,0.14732,,0.14732
28-05-1981,AAPL,0.14732,0,0.14732,0.14732,0,0,0.14732,,0.14732
29-05-1981,AAPL,0.14788,100,0.14788,0.14788,100,0,0.14788,,0.14788
01-06-1981,AAPL,0.14788,0,0.14788,0.14788,0,0,0.14788,,0.14788
02-06-1981,AAPL,0.14063,0,0.14063,0.14063,0,0,0.14063,,0.14063
03-06-1981,AAPL,0.14063,0,0.14063,0.14063,0,0,0.14063,,0.14063
04-06-1981,AAPL,0.14341,100,0.14341,0.14341,100,0,0.14341,,0.14341
05-06-1981,AAPL,0.14118,0,0.14118,0.14118,0,0,0.14118,,0.14118
08-06-1981,AAPL,0.13616,0,0.13616,0.13616,0,0,0.13616,,0.13616
09-06-1981,AAPL,0.13895,100,0.13895,0.13895,100,0,0.13895,,0.13895
10-06-1981,AAPL,0.14063,100,0.14063,0.14063,100,0,0.14063,,0.14063
11-06-1981,AAPL,0.14676,100,0.14676,0.14676,100,0,0.14676,,0.14676
12-06-1981,AAPL,0.14509,0,0.14509,0.14509,0,0,0.14509,,0.14509
15-06-1981,AAPL,0.14453,0,0.14453,0.14453,0,0,0.14453,,0.14453
16-06-1981,AAPL,0.14174,0,0.14174,0.14174,0,0,0.14174,,0.14174
17-06-1981,AAPL,0.13951,0,0.13951,0.13951,0,0,0.13951,,0.13951
18-06-1981,AAPL,0.13895,0,0.13895,0.13895,0,0,0.13895,,0.13895
19-06-1981,AAPL,0.13505,0,0.13505,0.13505,0,0,0.13505,,0.13505
22-06-1981,AAPL,0.13002,0,0.13002,0.13002,0,0,0.13002,,0.13002
23-06-1981,AAPL,0.13225,100,0.13225,0.13225,100,0,0.13225,,0.13225
24-06-1981,AAPL,0.12891,0,0.12891,0.12891,0,0,0.12891,,0.12891
25-06-1981,AAPL,0.1317,100,0.1317,0.1317,100,0,0.1317,,0.1317
26-06-1981,AAPL,0.13002,0,0.13002,0.13002,0,0,0.13002,,0.13002
29-06-1981,AAPL,0.12556,0,0.12556,0.12556,0,0,0.12556,,0.12556
30-06-1981,AAPL,0.11607,0,0.11607,0.11607,0,0,0.11607,,0.11607
