date,symbol,sma,adx,dema,ema,rsi,standardDeviation,tema,williams,wma
19-05-1997,AMZN,0.085417,100,0.085417,0.085417,0,0,0.085417,-42.85518376302787,0.085417
20-05-1997,AMZN,0.081771,0,0.081771,0.081771,0,0,0.081771,-100.0,0.081771
21-05-1997,AMZN,0.071354,100,0.071354,0.071354,0,0,0.071354,-80.77093486929556,0.071354
22-05-1997,AMZN,0.069792,100,0.069792,0.069792,0,0,0.069792,-38.45813026140888,0.069792
23-05-1997,AMZN,0.075,100,0.075,0.075,100,0,0.075,-11.114666666666686,0.075
27-05-1997,AMZN,0.079167,100,0.079167,0.079167,100,0,0.079167,-33.33333333333333,0.079167
28-05-1997,AMZN,0.076563,0,0.076563,0.076563,0,0,0.076563,-100.0,0.076563
29-05-1997,AMZN,0.07526,100,0.07526,0.07526,0,0,0.07526,-58.33600000000011,0.07526
30-05-1997,AMZN,0.075,0,0.075,0.075,0,0,0.075,-33.333333333333634,0.075
02-06-1997,AMZN,0.075521,100,0.075521,0.075521,100,0,0.075521,-66.66666666666637,0.075521
03-06-1997,AMZN,0.073958,100,0.073958,0.073958,0,0,0.073958,-100.0,0.073958
04-06-1997,AMZN,0.070833,100,0.070833,0.070833,0,0,0.070833,-77.7896308939623,0.070833
05-06-1997,AMZN,0.077083,100,0.077083,0.077083,100,0,0.077083,0.0,0.077083
06-06-1997,AMZN,0.082813,100,0.082813,0.082813,100,0,0.082813,-26.313662085691274,0.082813
09-06-1997,AMZN,0.084375,0,0.084375,0.084375,100,0,0.084375,-40.01536098310282,0.084375
10-06-1997,AMZN,0.079167,100,0.079167,0.079167,0,0,0.079167,-70.58956403885254,0.079167
11-06-1997,AMZN,0.077083,0,0.077083,0.077083,0,0,0.077083,-85.7338820301785,0.077083
12-06-1997,AMZN,0.080208,100,0.080208,0.080208,100,0,0.080208,-44.45392491467584,0.080208
13-06-1997,AMZN,0.079167,0,0.079167,0.079167,0,0,0.079167,-100.0,0.079167
16-06-1997,AMZN,0.078646,100,0.078646,0.078646,0,0,0.078646,-74.98799807969307,0.078646
17-06-1997,AMZN,0.07526,100,0.07526,0.07526,0,0,0.07526,-90.01536098310306,0.07526
18-06-1997,AMZN,0.075521,0,0.075521,0.075521,100,0,0.075521,-71.42073505211157,0.075521
19-06-1997,AMZN,0.075521,0,0.075521,0.075521,0,0,0.075521,-66.66666666666637,0.075521
20-06-1997,AMZN,0.076302,100,0.076302,0.076302,100,0,0.076302,-50.00000000000027,0.076302
23-06-1997,AMZN,0.075,100,0.075,0.075,0,0,0.075,-66.65599999999999,0.075
24-06-1997,AMZN,0.075521,0,0.075521,0.075521,100,0,0.075521,-33.319112627985945,0.075521
25-06-1997,AMZN,0.075521,0,0.075521,0.075521,0,0,0.075521,-42.84147010422347,0.075521
26-06-1997,AMZN,0.075521,0,0.075521,0.075521,0,0,0.075521,-66.62404092071489,0.075521
27-06-1997,AMZN,0.074479,100,0.074479,0.074479,0,0,0.074479,-71.42073505211157,0.074479
30-06-1997,AMZN,0.077083,100,0.077083,0.077083,100,0,0.077083,-47.82971619365613,0.077083
01-07-1997,AMZN,0.075781,0,0.075781,0.075781,0,0,0.075781,-83.35467349551874,0.075781
02-07-1997,AMZN,0.079427,100,0.079427,0.079427,100,0,0.079427,-6.263498920086344,0.079427
03-07-1997,AMZN,0.095573,100,0.095573,0.095573,100,0,0.095573,-1.6104056983586017,0.095573
07-07-1997,AMZN,0.1,100,0.1,0.1,100,0,0.1,-11.09570041608875,0.1
08-07-1997,AMZN,0.1151,100,0.1151,0.1151,100,0,0.1151,-10.76079506511311,0.1151
09-07-1997,AMZN,0.11615,100,0.11615,0.11615,100,0,0.11615,-54.45026178010468,0.11615
10-07-1997,AMZN,0.12812,100,0.12812,0.12812,100,0,0.12812,-4.424040066777757,0.12812
11-07-1997,AMZN,0.11458,100,0.11458,0.11458,0,0,0.11458,-73.36747759282974,0.11458
14-07-1997,AMZN,0.10677,100,0.10677,0.10677,0,0,0.10677,-90.49360146252286,0.10677
15-07-1997,AMZN,0.12188,100,0.12188,0.12188,100,0,0.12188,-12.100058173356596,0.12188
16-07-1997,AMZN,0.11667,100,0.11667,0.11667,0,0,0.11667,-83.71369294605809,0.11667
17-07-1997,AMZN,0.11094,100,0.11094,0.11094,0,0,0.11094,-66.63113006396595,0.11094
18-07-1997,AMZN,0.10781,0,0.10781,0.10781,0,0,0.10781,-100.0,0.10781
21-07-1997,AMZN,0.10912,100,0.10912,0.10912,100,0,0.10912,-29.885057471264464,0.10912
22-07-1997,AMZN,0.10677,100,0.10677,0.10677,0,0,0.10677,-41.759999999999984,0.10677
