date,symbol,sma,adx,dema,ema,rsi,standardDeviation,tema,williams,wma
23-08-2004,GOOG,2.72,100,2.72,2.72,100,0,2.72,-100.0,2.72
24-08-2004,GOOG,2.61,100,2.61,2.61,0,0,2.61,-85.00000000000007,2.61
25-08-2004,GOOG,2.64,0,2.64,2.64,100,0,2.64,-49.99999999999978,2.64
26-08-2004,GOOG,2.69,0,2.69,2.69,100,0,2.69,0.0,2.69
27-08-2004,GOOG,2.64,100,2.64,2.64,0,0,2.64,-87.49999999999972,2.64
30-08-2004,GOOG,2.54,100,2.54,2.54,0,0,2.54,-100.0,2.54
31-08-2004,GOOG,2.55,0,2.55,2.55,100,0,2.55,-75.00000000000055,2.55
01-09-2004,GOOG,2.5,100,2.5,2.5,0,0,2.5,-75.0,2.5
02-09-2004,GOOG,2.53,100,2.53,2.53,100,0,2.53,-22.22222222222228,2.53
03-09-2004,GOOG,2.49,0,2.49,2.49,0,0,2.49,-66.66666666666642,2.49
07-09-2004,GOOG,2.53,100,2.53,2.53,100,0,2.53,-16.666666666667037,2.53
08-09-2004,GOOG,2.55,100,2.55,2.55,100,0,2.55,-28.571428571428665,2.55
09-09-2004,GOOG,2.55,0,2.55,2.55,0,0,2.55,-25.00000000000055,2.55
10-09-2004,GOOG,2.62,100,2.62,2.62,100,0,2.62,-23.076923076922945,2.62
13-09-2004,GOOG,2.68,100,2.68,2.68,100,0,2.68,-39.99999999999982,2.68
14-09-2004,GOOG,2.78,100,2.78,2.78,100,0,2.78,-7.692307692307876,2.78
15-09-2004,GOOG,2.79,100,2.79,2.79,100,0,2.79,-54.54545454545465,2.79
16-09-2004,GOOG,2.84,100,2.84,2.84,100,0,2.84,-40.0,2.84
17-09-2004,GOOG,2.93,100,2.93,2.93,100,0,2.93,0.0,2.93
20-09-2004,GOOG,2.97,100,2.97,2.97,100,0,2.97,-49.999999999999815,2.97
21-09-2004,GOOG,2.93,0,2.93,2.93,0,0,2.93,-100.0,2.93
22-09-2004,GOOG,2.95,100,2.95,2.95,100,0,2.95,-42.85714285714268,2.95
23-09-2004,GOOG,3.01,100,3.01,3.01,100,0,3.01,-28.571428571428665,3.01
24-09-2004,GOOG,2.98,100,2.98,2.98,0,0,2.98,-100.0,2.98
27-09-2004,GOOG,2.95,100,2.95,2.95,0,0,2.95,-74.99999999999986,2.95
28-09-2004,GOOG,3.16,100,3.16,3.16,100,0,3.16,-5.555555555555445,3.16
29-09-2004,GOOG,3.26,100,3.26,3.26,100,0,3.26,-45.454545454545546,3.26
