date,symbol,sma,adx,dema,ema,rsi,standardDeviation,tema,williams,wma
22-05-2012,META,31.0,100,31.0,31.0,0,0,31.0,-97.73584905660384,31.0
23-05-2012,META,32.0,0,32.0,32.0,100,0,32.0,-43.85964912280699,32.0
24-05-2012,META,33.03,100,33.03,33.03,100,0,33.03,-12.49999999999997,33.03
25-05-2012,META,31.91,100,31.91,31.91,0,0,31.91,-56.521739130434824,31.91
29-05-2012,META,28.84,100,28.84,28.84,0,0,28.84,-93.74999999999996,28.84
30-05-2012,META,28.19,100,28.19,28.19,0,0,28.19,-80.473372781065,28.19
31-05-2012,META,29.6,100,29.6,29.6,100,0,29.6,-2.464788732394373,29.6
01-06-2012,META,27.72,0,27.72,27.72,0,0,27.72,-81.25000000000007,27.72
04-06-2012,META,26.9,100,26.9,26.9,0,0,26.9,-61.983471074380304,26.9
05-06-2012,META,25.87,100,25.87,25.87,0,0,25.87,-94.02985074626862,25.87
06-06-2012,META,26.81,100,26.81,26.81,100,0,26.81,-21.81818181818197,26.81
07-06-2012,META,26.31,100,26.31,26.31,0,0,26.31,-86.66666666666669,26.31
08-06-2012,META,27.1,100,27.1,27.1,100,0,27.1,-50.0,27.1
11-06-2012,META,27.01,100,27.01,27.01,0,0,27.01,-86.17886178861775,27.01
12-06-2012,META,27.4,0,27.4,27.4,100,0,27.4,-45.67901234567921,27.4
13-06-2012,META,27.27,100,27.27,27.27,0,0,27.27,-83.00000000000018,27.27
14-06-2012,META,28.29,100,28.29,28.29,100,0,28.29,-3.191489361702244,28.29
15-06-2012,META,30.01,100,30.01,30.01,100,0,30.01,-5.142857142857134,30.01
18-06-2012,META,31.41,100,31.41,31.41,100,0,31.41,-25.09363295880145,31.41
19-06-2012,META,31.91,100,31.91,31.91,100,0,31.91,-18.24324324324321,31.91
20-06-2012,META,31.6,0,31.6,31.6,0,0,31.6,-42.30769230769203,31.6
21-06-2012,META,31.84,100,31.84,31.84,100,0,31.84,-66.66666666666679,31.84
22-06-2012,META,33.05,100,33.05,33.05,100,0,33.05,-28.776978417266584,33.05
25-06-2012,META,32.06,100,32.06,32.06,0,0,32.06,-65.30612244897954,32.06
26-06-2012,META,33.1,100,33.1,33.1,100,0,33.1,-36.170212765957146,33.1
27-06-2012,META,32.23,100,32.23,32.23,0,0,32.23,-67.00000000000017,32.23
28-06-2012,META,31.36,100,31.36,31.36,0,0,31.36,-64.34108527131774,31.36
29-06-2012,META,31.1,100,31.1,31.1,0,0,31.1,-72.35772357723572,31.1
02-07-2012,META,30.77,100,30.77,30.77,0,0,30.77,-81.35593220338993,30.77
03-07-2012,META,31.2,0,31.2,31.2,100,0,31.2,-37.50000000000028,31.2
05-07-2012,META,31.47,100,31.47,31.47,100,0,31.47,-26.22950819672136,31.47
06-07-2012,META,31.73,100,31.73,31.73,100,0,31.73,-26.562499999999833,31.73
09-07-2012,META,32.17,100,32.17,32.17,100,0,32.17,-79.77528089887613,32.17
10-07-2012,META,31.47,100,31.47,31.47,0,0,31.47,-76.51515151515156,31.47
11-07-2012,META,30.97,100,30.97,30.97,0,0,30.97,-58.415841584158514,30.97
12-07-2012,META,30.81,0,30.81,30.81,0,0,30.81,-73.75000000000026,30.81
13-07-2012,META,30.72,100,30.72,30.72,0,0,30.72,-68.62745098039223,30.72
16-07-2012,META,28.25,100,28.25,28.25,0,0,28.25,-98.25327510917036,28.25
17-07-2012,META,28.09,100,28.09,28.09,0,0,28.09,-34.72222222222219,28.09
18-07-2012,META,29.11,100,29.11,29.11,100,0,29.11,-15.789473684210492,29.11
19-07-2012,META,29.0,100,29.0,29.0,0,0,29.0,-57.47126436781602,29.0
20-07-2012,META,28.76,0,28.76,28.76,0,0,28.76,-94.66666666666632,28.76
23-07-2012,META,28.75,100,28.75,28.75,0,0,28.75,-25.25252525252529,28.75
24-07-2012,META,28.45,100,28.45,28.45,0,0,28.45,-74.07407407407419,28.45
25-07-2012,META,29.34,100,29.34,29.34,100,0,29.34,-10.638297872340324,29.34
26-07-2012,META,26.85,100,26.85,26.85,0,0,26.85,-91.99999999999994,26.85
27-07-2012,META,23.71,100,23.71,23.71,0,0,23.71,-36.72566371681412,23.71
30-07-2012,META,23.15,0,23.15,23.15,0,0,23.15,-88.11881188118835,23.15
31-07-2012,META,21.71,100,21.71,21.71,0,0,21.71,-94.31818181818174,21.71
01-08-2012,META,20.88,100,20.88,20.88,0,0,20.88,-94.5945945945947,20.88
02-08-2012,META,20.04,100,20.04,20.04,0,0,20.04,-78.43137254901971,20.04
03-08-2012,META,21.09,100,21.09,21.09,100,0,21.09,-47.34513274336281,21.09
06-08-2012,META,21.92,0,21.92,21.92,100,0,21.92,-27.058823529411463,21.92
07-08-2012,META,20.72,100,20.72,20.72,0,0,20.72,-88.71794871794877,20.72
08-08-2012,META,20.72,100,20.72,20.72,0,0,20.72,-46.23655913978493,20.72
09-08-2012,META,21.01,100,21.01,21.01,100,0,21.01,-28.57142857142848,21.01
10-08-2012,META,21.81,100,21.81,21.81,100,0,21.81,-1.4492753623190644,21.81
13-08-2012,META,21.6,100,21.6,21.6,0,0,21.6,-80.9523809523807,21.6
14-08-2012,META,20.38,100,20.38,20.38,0,0,20.38,-90.37037037037044,20.38
15-08-2012,META,21.2,0,21.2,21.2,100,0,21.2,-20.792079207920843,21.2
16-08-2012,META,19.87,100,19.87,19.87,0,0,19.87,-77.21518987341773,19.87
17-08-2012,META,19.05,100,19.05,19.05,0,0,19.05,-95.3703703703703,19.05
20-08-2012,META,20.01,100,20.01,20.01,100,0,20.01,-8.695652173912864,20.01
21-08-2012,META,19.16,0,19.16,19.16,0,0,19.16,-92.13483146067412,19.16
22-08-2012,META,19.44,100,19.44,19.44,100,0,19.44,-15.789473684210492,19.44
23-08-2012,META,19.44,100,19.44,19.44,0,0,19.44,-78.37837837837793,19.44
24-08-2012,META,19.41,100,19.41,19.41,0,0,19.41,-62.79069767441855,19.41
27-08-2012,META,19.15,100,19.15,19.15,0,0,19.15,-88.37209302325647,19.15
28-08-2012,META,19.34,100,19.34,19.34,100,0,19.34,-9.302325581395158,19.34
29-08-2012,META,19.1,0,19.1,19.1,0,0,19.1,-90.32258064516088,19.1
30-08-2012,META,19.09,100,19.09,19.09,0,0,19.09,-92.30769230769202,19.09
31-08-2012,META,18.06,100,18.06,18.06,0,0,18.06,-95.52238805970184,18.06
04-09-2012,META,17.73,100,17.73,17.73,0,0,17.73,-75.0,17.73
05-09-2012,META,18.58,100,18.58,18.58,100,0,18.58,-29.82456140350906,18.58
06-09-2012,META,18.96,100,18.96,18.96,100,0,18.96,-55.555555555555415,18.96
07-09-2012,META,18.98,100,18.98,18.98,100,0,18.98,-68.75000000000013,18.98
10-09-2012,META,18.81,100,18.81,18.81,0,0,18.81,-60.00000000000022,18.81
11-09-2012,META,19.43,100,19.43,19.43,100,0,19.43,-20.547945205479344,19.43
12-09-2012,META,20.93,100,20.93,20.93,100,0,20.93,-26.13636363636371,20.93
13-09-2012,META,20.71,100,20.71,20.71,0,0,20.71,-88.50574712643663,20.71
14-09-2012,META,22.0,100,22.0,22.0,100,0,22.0,-6.779661016949009,22.0
17-09-2012,META,21.52,100,21.52,21.52,0,0,21.52,-98.40000000000003,21.52
18-09-2012,META,21.87,100,21.87,21.87,100,0,21.87,-18.032786885245823,21.87
19-09-2012,META,23.29,100,23.29,23.29,100,0,23.29,-5.000000000000111,23.29
20-09-2012,META,22.59,0,22.59,22.59,0,0,22.59,-92.85714285714276,22.59
21-09-2012,META,22.86,0,22.86,22.86,100,0,22.86,-59.37500000000012,22.86
24-09-2012,META,20.79,100,20.79,20.79,0,0,20.79,-73.45679012345683,20.79
25-09-2012,META,20.28,100,20.28,20.28,0,0,20.28,-93.93939393939372,20.28
26-09-2012,META,20.62,100,20.62,20.62,100,0,20.62,-16.326530612244905,20.62
27-09-2012,META,20.32,100,20.32,20.32,0,0,20.32,-80.95238095238093,20.32
