date,symbol,sma,adx,dema,ema,rsi,standardDeviation,tema,williams,wma
17-03-1986,MSFT,0.10243,100,0.10243,0.10243,100,0,0.10243,-33.46153846153877,0.10243
18-03-1986,MSFT,0.099827,100,0.099827,0.099827,0,0,0.099827,-80.00460723335651,0.099827
19-03-1986,MSFT,0.098091,100,0.098091,0.098091,0,0,0.098091,-75.03595053206801,0.098091
20-03-1986,MSFT,0.095487,100,0.095487,0.095487,0,0,0.095487,-74.9999999999998,0.095487
21-03-1986,MSFT,0.092883,100,0.092883,0.092883,0,0,0.092883,-71.42857142857162,0.092883
24-03-1986,MSFT,0.090279,100,0.090279,0.090279,0,0,0.090279,-75.0000000000001,0.090279
25-03-1986,MSFT,0.092015,0,0.092015,0.092015,100,0,0.092015,0.0,0.092015
26-03-1986,MSFT,0.094619,100,0.094619,0.094619,100,0,0.094619,-20.000000000000192,0.094619
27-03-1986,MSFT,0.096355,100,0.096355,0.096355,100,0,0.096355,0.0,0.096355
31-03-1986,MSFT,0.095487,100,0.095487,0.095487,0,0,0.095487,-33.33333333333315,0.095487
01-04-1986,MSFT,0.094619,0,0.094619,0.094619,0,0,0.094619,-100.0,0.094619
02-04-1986,MSFT,0.095487,100,0.095487,0.095487,100,0,0.095487,-66.66666666666649,0.095487
03-04-1986,MSFT,0.096355,100,0.096355,0.096355,100,0,0.096355,-100.0,0.096355
04-04-1986,MSFT,0.096355,0,0.096355,0.096355,0,0,0.096355,-100.0,0.096355
07-04-1986,MSFT,0.094619,100,0.094619,0.094619,0,0,0.094619,-60.000000000000064,0.094619
08-04-1986,MSFT,0.095487,0,0.095487,0.095487,100,0,0.095487,-66.66666666666649,0.095487
09-04-1986,MSFT,0.097223,100,0.097223,0.097223,100,0,0.097223,-33.33333333333315,0.097223
10-04-1986,MSFT,0.098091,100,0.098091,0.098091,100,0,0.098091,-25.0000000000002,0.098091
11-04-1986,MSFT,0.099827,100,0.099827,0.099827,100,0,0.099827,-66.62821991541729,0.099827
14-04-1986,MSFT,0.1007,0,0.1007,0.1007,100,0,0.1007,-49.6249278707444,0.1007
15-04-1986,MSFT,0.1007,100,0.1007,0.1007,0,0,0.1007,0.0,0.1007
16-04-1986,MSFT,0.10417,100,0.10417,0.10417,100,0,0.10417,-16.68904661423358,0.10417
17-04-1986,MSFT,0.10504,0,0.10504,0.10504,100,0,0.10504,0.0,0.10504
18-04-1986,MSFT,0.10156,100,0.10156,0.10156,0,0,0.10156,-80.18433179723502,0.10156
21-04-1986,MSFT,0.10156,100,0.10156,0.10156,0,0,0.10156,-25.06482281763177,0.10156
22-04-1986,MSFT,0.099827,0,0.099827,0.099827,0,0,0.099827,-100.0,0.099827
23-04-1986,MSFT,0.10026,100,0.10026,0.10026,100,0,0.10026,-25.272831705916015,0.10026
24-04-1986,MSFT,0.11024,100,0.11024,0.11024,100,0,0.11024,-14.317452480868855,0.11024
25-04-1986,MSFT,0.11719,100,0.11719,0.11719,100,0,0.11719,-43.96313364055297,0.11719
28-04-1986,MSFT,0.11806,0,0.11806,0.11806,100,0,0.11806,-33.33333333333333,0.11806
29-04-1986,MSFT,0.11458,100,0.11458,0.11458,0,0,0.11458,-80.18433179723502,0.11458
30-04-1986,MSFT,0.11198,100,0.11198,0.11198,0,0,0.11198,-57.16639209225709,0.11198
01-05-1986,MSFT,0.11024,100,0.11024,0.11024,0,0,0.11024,-50.14409221901992,0.11024
02-05-1986,MSFT,0.11024,0,0.11024,0.11024,0,0,0.11024,-66.92307692307683,0.11024
05-05-1986,MSFT,0.10938,0,0.10938,0.10938,0,0,0.10938,-100.0,0.10938
06-05-1986,MSFT,0.11024,100,0.11024,0.11024,100,0,0.11024,-100.0,0.11024
07-05-1986,MSFT,0.11024,100,0.11024,0.11024,0,0,0.11024,-33.46153846153823,0.11024
08-05-1986,MSFT,0.11111,0,0.11111,0.11111,100,0,0.11111,0.0,0.11111
09-05-1986,MSFT,0.11024,0,0.11024,0.11024,0,0,0.11024,-100.0,0.11024
12-05-1986,MSFT,0.11111,100,0.11111,0.11111,100,0,0.11111,-75.0000000000001,0.11111
13-05-1986,MSFT,0.11198,0,0.11198,0.11198,100,0,0.11198,-50.0000000000004,0.11198
14-05-1986,MSFT,0.11111,0,0.11111,0.11111,0,0,0.11111,-100.0,0.11111
15-05-1986,MSFT,0.11111,100,0.11111,0.11111,0,0,0.11111,-100.0,0.11111
16-05-1986,MSFT,0.11198,100,0.11198,0.11198,100,0,0.11198,-74.92795389049004,0.11198
19-05-1986,MSFT,0.10938,100,0.10938,0.10938,0,0,0.10938,-100.0,0.10938
20-05-1986,MSFT,0.10938,100,0.10938,0.10938,0,0,0.10938,-49.71098265895925,0.10938
21-05-1986,MSFT,0.10764,100,0.10764,0.10764,0,0,0.10764,-100.0,0.10764
22-05-1986,MSFT,0.10764,0,0.10764,0.10764,0,0,0.10764,-100.0,0.10764
23-05-1986,MSFT,0.10764,100,0.10764,0.10764,0,0,0.10764,-100.0,0.10764
27-05-1986,MSFT,0.11111,100,0.11111,0.11111,100,0,0.11111,0.0,0.11111
28-05-1986,MSFT,0.11458,100,0.11458,0.11458,100,0,0.11458,0.0,0.11458
29-05-1986,MSFT,0.11719,100,0.11719,0.11719,100,0,0.11719,-33.39731285988473,0.11719
30-05-1986,MSFT,0.12066,100,0.12066,0.12066,100,0,0.12066,-50.09596928982722,0.12066
02-06-1986,MSFT,0.11806,0,0.11806,0.11806,0,0,0.11806,-100.0,0.11806
03-06-1986,MSFT,0.11806,100,0.11806,0.11806,0,0,0.11806,0.0,0.11806
04-06-1986,MSFT,0.11719,100,0.11719,0.11719,0,0,0.11719,-66.66666666666666,0.11719
05-06-1986,MSFT,0.11893,0,0.11893,0.11893,100,0,0.11893,0.0,0.11893
06-06-1986,MSFT,0.11893,0,0.11893,0.11893,0,0,0.11893,0.0,0.11893
09-06-1986,MSFT,0.11372,100,0.11372,0.11372,0,0,0.11372,-100.0,0.11372
10-06-1986,MSFT,0.11372,100,0.11372,0.11372,0,0,0.11372,0.0,0.11372
11-06-1986,MSFT,0.11372,0,0.11372,0.11372,0,0,0.11372,0.0,0.11372
12-06-1986,MSFT,0.10938,100,0.10938,0.10938,0,0,0.10938,-83.30134357005741,0.10938
13-06-1986,MSFT,0.10938,0,0.10938,0.10938,0,0,0.10938,-49.71098265895925,0.10938
16-06-1986,MSFT,0.10851,100,0.10851,0.10851,0,0,0.10851,-66.53846153846177,0.10851
17-06-1986,MSFT,0.11024,100,0.11024,0.11024,100,0,0.11024,-66.92307692307683,0.11024
18-06-1986,MSFT,0.10938,100,0.10938,0.10938,0,0,0.10938,-33.076923076922995,0.10938
19-06-1986,MSFT,0.10851,0,0.10851,0.10851,0,0,0.10851,-66.53846153846177,0.10851
20-06-1986,MSFT,0.10894,0,0.10894,0.10894,100,0,0.10894,-50.57471264367873,0.10894
23-06-1986,MSFT,0.11024,100,0.11024,0.11024,100,0,0.11024,0.0,0.11024
24-06-1986,MSFT,0.10938,100,0.10938,0.10938,0,0,0.10938,-66.53846153846123,0.10938
25-06-1986,MSFT,0.10764,100,0.10764,0.10764,0,0,0.10764,-100.0,0.10764
26-06-1986,MSFT,0.10417,100,0.10417,0.10417,0,0,0.10417,-100.0,0.10417
