date,symbol,sma,adx,dema,ema,rsi,standardDeviation,tema,williams,wma
26-01-1999,NVDA,0.0417971,100,0.0417971,0.0417971,0,0,0.0417971,-88.37113770316137,0.0417971
27-01-1999,NVDA,0.0416669,100,0.0416669,0.0416669,0,0,0.0416669,-38.461084034854544,0.0416669
28-01-1999,NVDA,0.0415367,0,0.0415367,0.0415367,0,0,0.0415367,-59.99078482567914,0.0415367
29-01-1999,NVDA,0.0395835,100,0.0395835,0.0395835,0,0,0.0395835,-100.0,0.0395835
01-02-1999,NVDA,0.0403648,0,0.0403648,0.0403648,100,0,0.0403648,-24.99760007679764,0.0403648
02-02-1999,NVDA,0.0372398,100,0.0372398,0.0372398,0,0,0.0372398,-74.28521273561091,0.0372398
03-02-1999,NVDA,0.038021,0,0.038021,0.038021,100,0,0.038021,-25.00239992320236,0.038021
04-02-1999,NVDA,0.0401044,100,0.0401044,0.0401044,100,0,0.0401044,-33.33120000000009,0.0401044
05-02-1999,NVDA,0.0412762,100,0.0412762,0.0412762,100,0,0.0412762,-20.003071882039748,0.0412762
08-02-1999,NVDA,0.0398439,0,0.0398439,0.0398439,0,0,0.0398439,-100.0,0.0398439
09-02-1999,NVDA,0.0382814,100,0.0382814,0.0382814,0,0,0.0382814,-83.33439999999996,0.0382814
10-02-1999,NVDA,0.0378908,100,0.0378908,0.0378908,0,0,0.0378908,-68.75150002400039,0.0378908
11-02-1999,NVDA,0.041146,100,0.041146,0.041146,100,0,0.041146,-33.33333333333333,0.041146
12-02-1999,NVDA,0.0434898,100,0.0434898,0.0434898,100,0,0.0434898,-12.499399990399873,0.0434898
16-02-1999,NVDA,0.0437502,0,0.0437502,0.0437502,100,0,0.0437502,-34.615782244605576,0.0437502
17-02-1999,NVDA,0.0414065,0,0.0414065,0.0414065,0,0,0.0414065,-69.99846401966062,0.0414065
18-02-1999,NVDA,0.0420575,0,0.0420575,0.0420575,100,0,0.0420575,-50.00000000000014,0.0420575
19-02-1999,NVDA,0.0434898,100,0.0434898,0.0434898,100,0,0.0434898,-25.00079997440079,0.0434898
22-02-1999,NVDA,0.0437502,100,0.0437502,0.0437502,100,0,0.0437502,-30.77036686949839,0.0437502
23-02-1999,NVDA,0.0458336,100,0.0458336,0.0458336,100,0,0.0458336,-19.99868343097886,0.0458336
24-02-1999,NVDA,0.0494794,100,0.0494794,0.0494794,100,0,0.0494794,-81.63252511637388,0.0494794
25-02-1999,NVDA,0.0479169,100,0.0479169,0.0479169,0,0,0.0479169,-86.95739281421136,0.0479169
26-02-1999,NVDA,0.0457034,100,0.0457034,0.0457034,0,0,0.0457034,-91.66524447478452,0.0457034
01-03-1999,NVDA,0.0459638,100,0.0459638,0.0459638,100,0,0.0459638,-46.87402500779997,0.0459638
02-03-1999,NVDA,0.0455731,0,0.0455731,0.0455731,0,0,0.0455731,-40.0046079410187,0.0455731
03-03-1999,NVDA,0.0424481,100,0.0424481,0.0424481,0,0,0.0424481,-92.85773060149756,0.0424481
04-03-1999,NVDA,0.0415367,100,0.0415367,0.0415367,0,0,0.0415367,-89.28385309525767,0.0415367
05-03-1999,NVDA,0.0438804,0,0.0438804,0.0438804,100,0,0.0438804,-6.24969999519979,0.0438804
