date,open,high,low,close,volume,rsi,symbol,indicator
28-02-2025,170.3,172.5,168.39,172.22,30049812,100,GOOG,rsi
27-02-2025,175.94,176.59,169.75,170.21,25930530,0,GOOG,rsi
26-02-2025,176.95,178.08,173.59,174.7,23693300,0,GOOG,rsi
25-02-2025,180.16,180.76,176.77,177.37,20832500,0,GOOG,rsi
24-02-2025,183.8,185.09,180.88,181.19,18734014,0,GOOG,rsi
21-02-2025,187.29,187.47,181.13,181.58,19520800,0,GOOG,rsi
20-02-2025,186.5,187.12,184.6,186.64,12063807,0,GOOG,rsi
19-02-2025,186.19,187.36,185.5,187.13,13120500,100,GOOG,rsi
18-02-2025,187.44,187.78,183.58,185.8,19796028,0,GOOG,rsi
14-02-2025,186.83,188.15,186.11,186.87,12714200,0,GOOG,rsi
13-02-2025,185.93,187.99,184.88,187.88,12729334,100,GOOG,rsi
12-02-2025,185.23,186.83,183.63,185.43,17632314,0,GOOG,rsi
11-02-2025,186.84,188.8,186.08,187.07,13028100,0,GOOG,rsi
10-02-2025,189.06,189.99,187.61,188.2,16606020,100,GOOG,rsi
07-02-2025,192.74,193.02,185.1,187.14,29565724,0,GOOG,rsi
06-02-2025,190.99,193.83,190.49,193.31,20816600,100,GOOG,rsi
05-02-2025,193.1,194.55,189.91,193.3,43719589,0,GOOG,rsi
04-02-2025,204.5,208.7,204.26,207.71,28285436,100,GOOG,rsi
03-02-2025,202.22,205.22,201.66,202.64,16719500,0,GOOG,rsi
31-01-2025,203.72,207.08,203.58,205.6,17087335,100,GOOG,rsi
30-01-2025,199.76,203.24,199.47,202.63,14571500,100,GOOG,rsi
29-01-2025,197.37,198.46,195.19,197.18,12287818,100,GOOG,rsi
28-01-2025,194.65,197.23,192.61,197.07,15939200,100,GOOG,rsi
27-01-2025,194.19,198.67,192.7,193.77,24970200,0,GOOG,rsi
24-01-2025,199.85,202.57,199.78,201.9,12732400,100,GOOG,rsi
23-01-2025,199.98,201.94,196.82,199.58,15170838,0,GOOG,rsi
22-01-2025,200.55,202.12,199.2,200.03,15477400,100,GOOG,rsi
21-01-2025,200.51,203.84,199.44,199.63,19005232,100,GOOG,rsi
17-01-2025,198.05,198.81,195.31,197.55,22109129,100,GOOG,rsi
16-01-2025,195.83,196.98,194.3,194.41,13449600,0,GOOG,rsi
15-01-2025,194.35,197.8,193.33,196.98,12894900,100,GOOG,rsi
14-01-2025,192.5,193.27,189.64,191.05,13651200,0,GOOG,rsi
13-01-2025,191.35,192.49,188.66,192.29,13169100,0,GOOG,rsi
10-01-2025,195.42,197.62,191.6,193.17,20753800,0,GOOG,rsi
08-01-2025,193.95,197.64,193.75,195.39,14335341,0,GOOG,rsi
07-01-2025,198.27,202.14,195.94,196.71,16966800,0,GOOG,rsi
06-01-2025,195.15,199.56,195.06,197.96,19483323,100,GOOG,rsi
03-01-2025,192.73,194.5,191.35,193.13,12875000,100,GOOG,rsi
02-01-2025,191.49,193.2,188.71,190.63,17545200,100,GOOG,rsi
