date,open,high,low,close,volume,standardDeviation,symbol,indicator
28-02-2025,236.95,242.09,230.2,241.84,56833360,0,AAPL,standardDeviation
27-02-2025,239.41,242.46,237.06,237.3,41153639,0,AAPL,standardDeviation
26-02-2025,244.33,244.98,239.13,240.36,44433600,0,AAPL,standardDeviation
25-02-2025,248.0,250.0,244.91,247.04,48013300,0,AAPL,standardDeviation
24-02-2025,244.93,248.86,244.42,247.1,51326400,0,AAPL,standardDeviation
21-02-2025,245.95,248.69,245.22,245.55,53197431,0,AAPL,standardDeviation
20-02-2025,244.94,246.78,244.29,245.83,32316907,0,AAPL,standardDeviation
19-02-2025,244.66,246.01,243.16,244.87,32204215,0,AAPL,standardDeviation
18-02-2025,244.15,245.18,241.84,244.47,48822500,0,AAPL,standardDeviation
14-02-2025,241.25,245.55,240.99,244.6,40896227,0,AAPL,standardDeviation
13-02-2025,236.91,242.34,235.57,241.53,53614100,0,AAPL,standardDeviation
12-02-2025,231.2,236.96,230.68,236.87,45243300,0,AAPL,standardDeviation
11-02-2025,228.2,235.23,228.13,232.62,53718400,0,AAPL,standardDeviation
10-02-2025,229.57,230.59,227.2,227.65,33115645,0,AAPL,standardDeviation
07-02-2025,232.6,234.0,227.26,227.63,39707224,0,AAPL,standardDeviation
06-02-2025,231.29,233.8,230.43,233.22,29925349,0,AAPL,standardDeviation
05-02-2025,228.53,232.67,228.27,232.47,39664989,0,AAPL,standardDeviation
04-02-2025,227.25,233.13,226.65,232.8,45067301,0,AAPL,standardDeviation
03-02-2025,229.99,231.83,225.7,228.01,73063301,0,AAPL,standardDeviation
31-01-2025,247.19,247.19,233.44,236.0,101075128,0,AAPL,standardDeviation
30-01-2025,238.67,240.79,237.21,237.59,55658300,0,AAPL,standardDeviation
29-01-2025,234.12,239.86,234.01,239.36,45486100,0,AAPL,standardDeviation
28-01-2025,230.85,240.19,230.81,238.26,75707600,0,AAPL,standardDeviation
27-01-2025,224.02,232.15,223.98,229.86,94863418,0,AAPL,standardDeviation
24-01-2025,224.78,225.63,221.41,222.78,54697907,0,AAPL,standardDeviation
23-01-2025,224.74,227.03,222.3,223.66,60234800,0,AAPL,standardDeviation
22-01-2025,219.79,224.12,219.79,223.83,64126500,0,AAPL,standardDeviation
21-01-2025,224.0,224.42,219.38,222.64,98070429,0,AAPL,standardDeviation
17-01-2025,232.12,232.29,228.48,229.98,68488301,0,AAPL,standardDeviation
16-01-2025,237.35,238.01,228.03,228.26,71759100,0,AAPL,standardDeviation
15-01-2025,234.64,238.96,234.43,237.87,39832000,0,AAPL,standardDeviation
14-01-2025,234.75,236.12,232.47,233.28,39435300,0,AAPL,standardDeviation
13-01-2025,233.53,234.67,229.72,234.4,49630725,0,AAPL,standardDeviation
10-01-2025,240.01,240.16,233.0,236.85,61710900,0,AAPL,standardDeviation
08-01-2025,241.92,243.71,240.05,242.7,37628940,0,AAPL,standardDeviation
07-01-2025,242.98,245.55,241.35,242.21,40856000,0,AAPL,standardDeviation
06-01-2025,244.31,247.33,243.2,245.0,45045600,0,AAPL,standardDeviation
03-01-2025,243.36,244.18,241.89,243.36,40244114,0,AAPL,standardDeviation
02-01-2025,248.93,249.1,241.82,243.85,55740731,0,AAPL,standardDeviation
31-12-2024,252.44,253.28,249.43,250.42,39480718,0,AAPL,standardDeviation
30-12-2024,252.23,253.5,250.75,252.2,35557542,0,AAPL,standardDeviation
27-12-2024,257.83,258.7,253.06,255.59,42355321,0,AAPL,standardDeviation
26-12-2024,258.19,260.1,257.63,259.02,27262983,0,AAPL,standardDeviation
24-12-2024,255.49,258.21,255.29,258.2,23234705,0,AAPL,standardDeviation
23-12-2024,254.77,255.65,253.45,255.27,40858800,0,AAPL,standardDeviation
20-12-2024,248.04,255.0,245.69,254.49,147495300,0,AAPL,standardDeviation
19-12-2024,247.5,252.0,247.09,249.79,60882300,0,AAPL,standardDeviation
18-12-2024,252.16,254.28,247.74,248.05,56774101,0,AAPL,standardDeviation
17-12-2024,250.08,253.83,249.78,253.48,51356400,0,AAPL,standardDeviation
16-12-2024,247.99,251.38,247.65,251.04,51694800,0,AAPL,standardDeviation
13-12-2024,247.82,249.29,246.24,248.13,33155300,0,AAPL,standardDeviation
12-12-2024,246.89,248.74,245.68,247.96,32777532,0,AAPL,standardDeviation
11-12-2024,247.96,250.8,246.26,246.49,45205814,0,AAPL,standardDeviation
10-12-2024,246.89,248.21,245.34,247.77,36914806,0,AAPL,standardDeviation
09-12-2024,241.83,247.24,241.75,246.75,44649232,0,AAPL,standardDeviation
06-12-2024,242.91,244.63,242.08,242.84,36870619,0,AAPL,standardDeviation
05-12-2024,243.99,244.54,242.13,243.04,40033900,0,AAPL,standardDeviation
04-12-2024,242.87,244.11,241.25,243.01,44383935,0,AAPL,standardDeviation
03-12-2024,239.81,242.76,238.9,242.65,38861017,0,AAPL,standardDeviation
02-12-2024,237.27,240.79,237.16,239.59,48137103,0,AAPL,standardDeviation
29-11-2024,234.81,237.81,233.97,237.33,28481400,0,AAPL,standardDeviation
27-11-2024,234.47,235.69,233.81,234.93,33498439,0,AAPL,standardDeviation
26-11-2024,233.33,235.57,233.33,235.06,45986200,0,AAPL,standardDeviation
25-11-2024,231.46,233.25,229.74,232.87,90152832,0,AAPL,standardDeviation
22-11-2024,228.06,230.72,228.06,229.87,38168300,0,AAPL,standardDeviation
21-11-2024,228.88,230.16,225.71,228.52,42108327,0,AAPL,standardDeviation
20-11-2024,228.06,229.93,225.89,229.0,35169600,0,AAPL,standardDeviation
19-11-2024,226.98,230.16,226.66,228.28,36211800,0,AAPL,standardDeviation
18-11-2024,225.25,229.74,225.17,228.02,44686020,0,AAPL,standardDeviation
15-11-2024,226.4,226.92,224.27,225.0,47923700,0,AAPL,standardDeviation
14-11-2024,225.02,228.87,225.0,228.22,44923941,0,AAPL,standardDeviation
13-11-2024,224.01,226.65,222.76,225.12,48566217,0,AAPL,standardDeviation
12-11-2024,224.55,225.59,223.36,224.23,40398300,0,AAPL,standardDeviation
11-11-2024,225.0,225.7,221.5,224.23,42005602,0,AAPL,standardDeviation
