date,open,high,low,close,volume,tema,symbol,indicator
28-02-2025,392.66,397.63,386.57,396.99,32845658,396.99,MSFT,tema
27-02-2025,401.27,405.74,392.17,392.53,21127406,392.53,MSFT,tema
26-02-2025,398.01,403.6,394.25,399.73,19619000,399.73,MSFT,tema
25-02-2025,401.1,401.92,396.7,397.9,29387402,397.9,MSFT,tema
24-02-2025,408.51,409.37,399.32,404.0,26443700,404.0,MSFT,tema
21-02-2025,417.34,418.05,407.89,408.21,27524800,408.21,MSFT,tema
20-02-2025,415.29,419.31,412.54,416.13,23508728,416.13,MSFT,tema
19-02-2025,407.88,415.49,407.65,414.77,24114200,414.77,MSFT,tema
18-02-2025,408.0,410.6,406.5,409.64,21423100,409.64,MSFT,tema
14-02-2025,407.79,408.91,405.88,408.43,22758500,408.43,MSFT,tema
13-02-2025,407.0,411.0,406.36,410.54,23891731,410.54,MSFT,tema
12-02-2025,407.21,410.75,404.37,409.04,19121734,409.04,MSFT,tema
11-02-2025,409.64,412.49,409.3,411.44,18140600,411.44,MSFT,tema
10-02-2025,413.71,415.46,410.92,412.22,20817919,412.22,MSFT,tema
07-02-2025,416.48,418.65,408.1,409.75,22886844,409.75,MSFT,tema
06-02-2025,414.0,418.2,414.0,415.82,16309800,415.82,MSFT,tema
05-02-2025,412.35,413.83,410.4,413.29,16336188,413.29,MSFT,tema
04-02-2025,412.69,413.92,409.74,412.37,20532100,412.37,MSFT,tema
03-02-2025,411.6,415.41,408.66,410.92,25679149,410.92,MSFT,tema
31-01-2025,418.98,420.69,414.91,415.06,34223400,415.06,MSFT,tema
30-01-2025,418.77,422.86,413.16,414.99,54586300,414.99,MSFT,tema
29-01-2025,446.69,446.88,440.4,442.33,23581400,442.33,MSFT,tema
28-01-2025,434.6,448.38,431.38,447.2,23491703,447.2,MSFT,tema
27-01-2025,424.01,435.2,423.5,434.56,35647805,434.56,MSFT,tema
24-01-2025,445.16,446.65,441.4,444.06,15549500,444.06,MSFT,tema
23-01-2025,442.0,446.75,441.5,446.71,18389300,446.71,MSFT,tema
22-01-2025,437.56,447.27,436.0,446.2,27803811,446.2,MSFT,tema
21-01-2025,430.2,430.9,425.6,428.5,26085703,428.5,MSFT,tema
17-01-2025,434.09,434.48,428.17,429.03,26197507,429.03,MSFT,tema
16-01-2025,428.7,429.49,424.39,424.58,15300023,424.58,MSFT,tema
15-01-2025,419.13,428.15,418.27,426.31,19637838,426.31,MSFT,tema
14-01-2025,417.81,419.74,410.72,415.67,16935900,415.67,MSFT,tema
13-01-2025,415.24,418.5,412.29,417.19,17604800,417.19,MSFT,tema
10-01-2025,424.63,424.71,415.02,418.95,20201132,418.95,MSFT,tema
08-01-2025,423.46,426.97,421.54,424.56,15054600,424.56,MSFT,tema
07-01-2025,429.0,430.65,420.8,422.37,18139100,422.37,MSFT,tema
06-01-2025,428.0,434.32,425.48,427.85,20573648,427.85,MSFT,tema
03-01-2025,421.08,424.03,419.54,423.35,16662943,423.35,MSFT,tema
02-01-2025,425.53,426.07,414.85,418.58,16896500,418.58,MSFT,tema
31-12-2024,426.1,426.73,420.66,421.5,13246509,421.5,MSFT,tema
30-12-2024,426.06,427.55,421.9,424.83,13158703,424.83,MSFT,tema
27-12-2024,434.6,435.22,426.35,430.53,18117713,430.53,MSFT,tema
26-12-2024,439.08,440.94,436.63,438.11,8199927,438.11,MSFT,tema
24-12-2024,434.65,439.6,434.19,439.33,7164543,439.33,MSFT,tema
23-12-2024,436.74,437.65,432.83,435.25,19152519,435.25,MSFT,tema
20-12-2024,433.11,443.74,428.63,436.6,64263700,436.6,MSFT,tema
19-12-2024,441.62,443.18,436.32,437.03,22963700,437.03,MSFT,tema
18-12-2024,451.32,452.65,437.02,437.39,24444545,437.39,MSFT,tema
17-12-2024,451.01,455.29,449.57,454.46,22733500,454.46,MSFT,tema
16-12-2024,447.27,452.18,445.28,451.59,23598834,451.59,MSFT,tema
13-12-2024,448.44,451.43,445.58,447.27,20177833,447.27,MSFT,tema
12-12-2024,449.11,456.16,449.11,449.56,20834800,449.56,MSFT,tema
11-12-2024,444.05,450.35,444.05,448.99,19200208,448.99,MSFT,tema
10-12-2024,444.39,449.62,441.6,443.33,18469500,443.33,MSFT,tema
09-12-2024,442.6,448.33,440.5,446.02,19144400,446.02,MSFT,tema
06-12-2024,442.3,446.1,441.77,443.57,18821002,443.57,MSFT,tema
05-12-2024,437.92,444.66,436.17,442.62,21697800,442.62,MSFT,tema
04-12-2024,433.03,439.67,432.63,437.42,26009429,437.42,MSFT,tema
03-12-2024,429.84,432.47,427.74,431.2,18302000,431.2,MSFT,tema
02-12-2024,421.57,433.0,421.31,430.98,20207223,430.98,MSFT,tema
29-11-2024,420.09,424.88,417.8,423.46,16271921,423.46,MSFT,tema
27-11-2024,425.11,427.23,422.02,422.99,18332444,422.99,MSFT,tema
26-11-2024,419.59,429.04,418.85,427.99,23458900,427.99,MSFT,tema
25-11-2024,418.38,421.08,414.85,418.79,27691100,418.79,MSFT,tema
22-11-2024,411.37,417.4,411.06,417.0,24814626,417.0,MSFT,tema
21-11-2024,419.5,419.78,410.29,412.87,20780200,412.87,MSFT,tema
20-11-2024,416.87,417.29,410.58,415.49,19191700,415.49,MSFT,tema
19-11-2024,413.11,417.94,411.55,417.79,18133529,417.79,MSFT,tema
18-11-2024,414.87,418.4,412.1,415.76,24742013,415.76,MSFT,tema
15-11-2024,419.82,422.8,413.64,415.0,28247644,415.0,MSFT,tema
14-11-2024,425.0,428.17,420.0,426.89,30246900,426.89,MSFT,tema
13-11-2024,421.64,429.33,418.21,425.2,21502200,425.2,MSFT,tema
12-11-2024,418.25,424.44,417.2,423.03,19401204,423.03,MSFT,tema
11-11-2024,422.52,424.81,416.0,418.01,24503321,418.01,MSFT,tema
08-11-2024,425.32,426.5,421.78,422.54,16891414,422.54,MSFT,tema
07-11-2024,421.28,426.85,419.88,425.43,19901800,425.43,MSFT,tema
06-11-2024,412.42,420.45,410.52,420.18,26681842,420.18,MSFT,tema
05-11-2024,408.37,414.9,408.08,411.46,17626011,411.46,MSFT,tema
04-11-2024,409.8,410.42,405.57,408.46,19672300,408.46,MSFT,tema
01-11-2024,409.01,415.5,407.5,410.37,24230442,410.37,MSFT,tema
31-10-2024,415.36,416.16,406.3,406.35,53971000,406.35,MSFT,tema
30-10-2024,437.44,438.5,432.1,432.53,29749149,432.53,MSFT,tema
29-10-2024,428.0,433.17,425.8,431.95,17644100,431.95,MSFT,tema
28-10-2024,431.66,431.94,426.3,426.59,14882444,426.59,MSFT,tema
25-10-2024,426.76,432.52,426.57,428.15,16899100,428.15,MSFT,tema
24-10-2024,425.33,425.98,422.4,424.73,13581631,424.73,MSFT,tema
23-10-2024,430.86,431.08,422.53,424.6,19654400,424.6,MSFT,tema
22-10-2024,418.49,430.58,418.04,427.51,25482200,427.51,MSFT,tema
21-10-2024,416.12,418.96,413.75,418.78,14206115,418.78,MSFT,tema
18-10-2024,417.14,419.65,416.26,418.16,17145317,418.16,MSFT,tema
17-10-2024,422.36,422.5,415.59,416.72,14820004,416.72,MSFT,tema
16-10-2024,415.17,416.36,410.48,416.12,15508932,416.12,MSFT,tema
15-10-2024,422.18,422.48,415.26,418.74,18900201,418.74,MSFT,tema
14-10-2024,417.77,424.04,417.52,419.14,16653100,419.14,MSFT,tema
11-10-2024,416.14,417.13,413.25,416.32,14144944,416.32,MSFT,tema
10-10-2024,415.23,417.35,413.15,415.84,13848400,415.84,MSFT,tema
