date,open,high,low,close,volume,williams,symbol,indicator
28-02-2025,236.95,242.09,230.2,241.84,56833360,-2.1026072329688787,AAPL,williams
27-02-2025,239.41,242.46,237.06,237.3,41153639,-95.5555555555554,AAPL,williams
26-02-2025,244.33,244.98,239.13,240.36,44433600,-78.97435897435864,AAPL,williams
25-02-2025,248.0,250.0,244.91,247.04,48013300,-58.15324165029482,AAPL,williams
24-02-2025,244.93,248.86,244.42,247.1,51326400,-39.63963963963984,AAPL,williams
21-02-2025,245.95,248.69,245.22,245.55,53197431,-90.48991354466823,AAPL,williams
20-02-2025,244.94,246.78,244.29,245.83,32316907,-38.15261044176647,AAPL,williams
19-02-2025,244.66,246.01,243.16,244.87,32204215,-39.9999999999996,AAPL,williams
18-02-2025,244.15,245.18,241.84,244.47,48822500,-21.257485029940337,AAPL,williams
14-02-2025,241.25,245.55,240.99,244.6,40896227,-20.833333333333698,AAPL,williams
13-02-2025,236.91,242.34,235.57,241.53,53614100,-11.96454948301331,AAPL,williams
12-02-2025,231.2,236.96,230.68,236.87,45243300,-1.4331210191083343,AAPL,williams
11-02-2025,228.2,235.23,228.13,232.62,53718400,-36.76056338028151,AAPL,williams
10-02-2025,229.57,230.59,227.2,227.65,33115645,-86.72566371681371,AAPL,williams
07-02-2025,232.6,234.0,227.26,227.63,39707224,-94.5103857566765,AAPL,williams
06-02-2025,231.29,233.8,230.43,233.22,29925349,-17.21068249258195,AAPL,williams
05-02-2025,228.53,232.67,228.27,232.47,39664989,-4.5454545454543105,AAPL,williams
04-02-2025,227.25,233.13,226.65,232.8,45067301,-5.092592592592355,AAPL,williams
03-02-2025,229.99,231.83,225.7,228.01,73063301,-62.31647634584024,AAPL,williams
31-01-2025,247.19,247.19,233.44,236.0,101075128,-81.38181818181816,AAPL,williams
30-01-2025,238.67,240.79,237.21,237.59,55658300,-89.38547486033528,AAPL,williams
29-01-2025,234.12,239.86,234.01,239.36,45486100,-8.547008547008513,AAPL,williams
28-01-2025,230.85,240.19,230.81,238.26,75707600,-20.575692963752747,AAPL,williams
27-01-2025,224.02,232.15,223.98,229.86,94863418,-28.02937576499373,AAPL,williams
24-01-2025,224.78,225.63,221.41,222.78,54697907,-67.53554502369656,AAPL,williams
