date,open,high,low,close,volume,williams,symbol,indicator
28-02-2025,208.65,212.62,206.99,212.28,51771737,-6.039076376554239,AMZN,williams
27-02-2025,218.35,219.97,208.37,208.74,40548600,-96.81034482758616,AMZN,williams
26-02-2025,214.94,218.16,213.09,214.35,39120603,-75.14792899408299,AMZN,williams
25-02-2025,211.63,213.34,204.16,212.8,58958000,-5.8823529411763795,AMZN,williams
24-02-2025,217.45,217.72,212.42,212.71,42387600,-94.52830188679208,AMZN,williams
21-02-2025,223.28,223.31,214.74,216.58,55323900,-78.5297549591598,AMZN,williams
20-02-2025,224.78,225.13,221.81,222.88,30001700,-67.77108433734954,AMZN,williams
19-02-2025,225.52,226.83,223.71,226.63,28566709,-6.410256410256948,AMZN,williams
18-02-2025,228.82,229.3,223.72,226.65,42975133,-47.491039426523294,AMZN,williams
14-02-2025,229.2,229.89,227.23,228.68,27031100,-45.48872180451057,AMZN,williams
13-02-2025,228.85,230.42,227.52,230.37,31346512,-1.7241379310339082,AMZN,williams
12-02-2025,230.46,231.18,228.16,228.93,32285249,-74.50331125827789,AMZN,williams
11-02-2025,231.92,233.44,230.13,232.76,23713726,-20.543806646525873,AMZN,williams
10-02-2025,230.55,233.92,229.2,233.14,35419926,-16.52542372881359,AMZN,williams
07-02-2025,232.5,234.81,228.06,229.15,78075433,-83.8518518518518,AMZN,williams
06-02-2025,238.01,239.66,236.01,238.83,60897100,-22.739726027396788,AMZN,williams
05-02-2025,237.02,238.32,235.2,236.17,38832042,-68.9102564102565,AMZN,williams
04-02-2025,239.01,242.52,238.03,242.06,29713812,-10.244988864142696,AMZN,williams
03-02-2025,234.06,239.25,232.9,237.42,37285900,-28.818897637795498,AMZN,williams
31-01-2025,236.5,240.29,236.41,237.68,36162400,-67.2680412371131,AMZN,williams
30-01-2025,237.14,237.95,232.22,234.64,32020728,-57.76614310645739,AMZN,williams
29-01-2025,239.02,240.39,236.15,237.07,26091716,-78.30188679245302,AMZN,williams
28-01-2025,234.29,241.77,233.98,238.15,41587200,-46.469833119383765,AMZN,williams
27-01-2025,226.21,235.61,225.86,235.42,49428332,-1.948717948718217,AMZN,williams
24-01-2025,234.5,236.4,232.93,234.85,25890738,-44.668587896253946,AMZN,williams
23-01-2025,234.1,235.52,231.51,235.42,26404400,-2.4937655860354675,AMZN,williams
22-01-2025,232.02,235.44,231.19,235.01,41448217,-10.117647058823689,AMZN,williams
21-01-2025,228.9,231.78,226.94,230.71,39951500,-22.107438016528768,AMZN,williams
17-01-2025,225.84,226.51,223.08,225.94,42370123,-16.61807580174918,AMZN,williams
16-01-2025,224.42,224.65,220.31,220.66,24757300,-91.93548387096789,AMZN,williams
15-01-2025,222.83,223.57,220.75,223.35,31291300,-7.80141843971629,AMZN,williams
14-01-2025,220.44,221.82,216.2,217.76,24711700,-72.24199288256226,AMZN,williams
13-01-2025,218.06,219.4,216.47,218.46,27262700,-32.081911262798485,AMZN,williams
10-01-2025,221.46,221.71,216.5,218.94,36811525,-53.166986564299535,AMZN,williams
08-01-2025,223.19,223.52,220.2,222.13,25033300,-41.86746987951825,AMZN,williams
07-01-2025,227.9,228.38,221.46,222.11,28084200,-90.60693641618487,AMZN,williams
06-01-2025,226.78,228.84,224.84,227.61,31849831,-30.749999999999744,AMZN,williams
03-01-2025,222.51,225.36,221.62,224.19,27515606,-31.283422459893394,AMZN,williams
02-01-2025,222.03,225.15,218.19,220.22,33956600,-70.83333333333334,AMZN,williams
31-12-2024,222.97,223.23,218.94,219.39,24819700,-89.51048951048975,AMZN,williams
30-12-2024,220.06,223.0,218.43,221.3,28321240,-37.19912472647683,AMZN,williams
27-12-2024,225.6,226.03,220.9,223.75,27367147,-44.44444444444451,AMZN,williams
26-12-2024,228.5,228.5,226.67,227.05,16174500,-79.23497267759446,AMZN,williams
24-12-2024,226.94,229.14,226.13,229.05,15007500,-2.99003322259054,AMZN,williams
23-12-2024,225.01,226.88,223.9,225.06,28070007,-61.073825503355685,AMZN,williams
20-12-2024,219.84,226.21,218.73,224.92,88279200,-17.245989304813065,AMZN,williams
19-12-2024,224.91,226.09,222.92,223.29,39918739,-88.3280757097791,AMZN,williams
18-12-2024,230.77,231.4,220.11,220.52,43281443,-96.3684676705049,AMZN,williams
17-12-2024,232.39,232.73,227.85,231.15,35948131,-32.377049180327575,AMZN,williams
16-12-2024,230.23,233.0,228.01,232.93,37552100,-1.4028056112223055,AMZN,williams
13-12-2024,228.4,230.2,225.86,227.46,28768100,-63.13364055299531,AMZN,williams
12-12-2024,229.83,231.09,227.63,228.97,28204100,-61.27167630057803,AMZN,williams
11-12-2024,226.41,231.2,226.26,230.26,35385800,-19.028340080971624,AMZN,williams
10-12-2024,226.09,229.06,224.2,225.04,31199900,-82.71604938271602,AMZN,williams
