date,open,high,low,close,volume,williams,symbol,indicator
28-02-2025,170.3,172.5,168.39,172.22,30049812,-6.812652068126527,GOOG,williams
27-02-2025,175.94,176.59,169.75,170.21,25930530,-93.27485380116947,GOOG,williams
26-02-2025,176.95,178.08,173.59,174.7,23693300,-75.278396436526,GOOG,williams
25-02-2025,180.16,180.76,176.77,177.37,20832500,-84.96240601503766,GOOG,williams
24-02-2025,183.8,185.09,180.88,181.19,18734014,-92.63657957244652,GOOG,williams
21-02-2025,187.29,187.47,181.13,181.58,19520800,-92.90220820189248,GOOG,williams
20-02-2025,186.5,187.12,184.6,186.64,12063807,-19.047619047619694,GOOG,williams
19-02-2025,186.19,187.36,185.5,187.13,13120500,-12.365591397850348,GOOG,williams
18-02-2025,187.44,187.78,183.58,185.8,19796028,-47.142857142857025,GOOG,williams
14-02-2025,186.83,188.15,186.11,186.87,12714200,-62.74509803921598,GOOG,williams
13-02-2025,185.93,187.99,184.88,187.88,12729334,-3.536977491961838,GOOG,williams
12-02-2025,185.23,186.83,183.63,185.43,17632314,-43.74999999999994,GOOG,williams
11-02-2025,186.84,188.8,186.08,187.07,13028100,-63.60294117647128,GOOG,williams
10-02-2025,189.06,189.99,187.61,188.2,16606020,-75.21008403361445,GOOG,williams
07-02-2025,192.74,193.02,185.1,187.14,29565724,-74.24242424242439,GOOG,williams
06-02-2025,190.99,193.83,190.49,193.31,20816600,-15.56886227544939,GOOG,williams
05-02-2025,193.1,194.55,189.91,193.3,43719589,-26.93965517241371,GOOG,williams
04-02-2025,204.5,208.7,204.26,207.71,28285436,-22.297297297296872,GOOG,williams
03-02-2025,202.22,205.22,201.66,202.64,16719500,-72.47191011235986,GOOG,williams
31-01-2025,203.72,207.08,203.58,205.6,17087335,-42.2857142857148,GOOG,williams
30-01-2025,199.76,203.24,199.47,202.63,14571500,-16.180371352785464,GOOG,williams
29-01-2025,197.37,198.46,195.19,197.18,12287818,-39.143730886850065,GOOG,williams
28-01-2025,194.65,197.23,192.61,197.07,15939200,-3.463203463203407,GOOG,williams
27-01-2025,194.19,198.67,192.7,193.77,24970200,-82.0770519262978,GOOG,williams
24-01-2025,199.85,202.57,199.78,201.9,12732400,-24.014336917562346,GOOG,williams
23-01-2025,199.98,201.94,196.82,199.58,15170838,-46.09374999999967,GOOG,williams
22-01-2025,200.55,202.12,199.2,200.03,15477400,-71.57534246575315,GOOG,williams
