date,open,high,low,close,volume,williams,symbol,indicator
28-02-2025,392.66,397.63,386.57,396.99,32845658,-5.786618444846169,MSFT,williams
27-02-2025,401.27,405.74,392.17,392.53,21127406,-97.34708916728108,MSFT,williams
26-02-2025,398.01,403.6,394.25,399.73,19619000,-41.39037433155075,MSFT,williams
25-02-2025,401.1,401.92,396.7,397.9,29387402,-77.0114942528739,MSFT,williams
24-02-2025,408.51,409.37,399.32,404.0,26443700,-53.432835820895505,MSFT,williams
21-02-2025,417.34,418.05,407.89,408.21,27524800,-96.85039370078748,MSFT,williams
20-02-2025,415.29,419.31,412.54,416.13,23508728,-46.97193500738575,MSFT,williams
19-02-2025,407.88,415.49,407.65,414.77,24114200,-9.183673469388067,MSFT,williams
18-02-2025,408.0,410.6,406.5,409.64,21423100,-23.41463414634222,MSFT,williams
14-02-2025,407.79,408.91,405.88,408.43,22758500,-15.841584158416289,MSFT,williams
13-02-2025,407.0,411.0,406.36,410.54,23891731,-9.913793103447864,MSFT,williams
12-02-2025,407.21,410.75,404.37,409.04,19121734,-26.80250783699029,MSFT,williams
11-02-2025,409.64,412.49,409.3,411.44,18140600,-32.915360501567775,MSFT,williams
10-02-2025,413.71,415.46,410.92,412.22,20817919,-71.36563876651934,MSFT,williams
07-02-2025,416.48,418.65,408.1,409.75,22886844,-84.36018957345986,MSFT,williams
06-02-2025,414.0,418.2,414.0,415.82,16309800,-56.66666666666671,MSFT,williams
05-02-2025,412.35,413.83,410.4,413.29,16336188,-15.74344023323506,MSFT,williams
04-02-2025,412.69,413.92,409.74,412.37,20532100,-37.08133971291887,MSFT,williams
03-02-2025,411.6,415.41,408.66,410.92,25679149,-66.51851851851866,MSFT,williams
31-01-2025,418.98,420.69,414.91,415.06,34223400,-97.40484429065782,MSFT,williams
30-01-2025,418.77,422.86,413.16,414.99,54586300,-81.13402061855685,MSFT,williams
29-01-2025,446.69,446.88,440.4,442.33,23581400,-70.21604938271602,MSFT,williams
28-01-2025,434.6,448.38,431.38,447.2,23491703,-6.9411764705882755,MSFT,williams
27-01-2025,424.01,435.2,423.5,434.56,35647805,-5.470085470085359,MSFT,williams
24-01-2025,445.16,446.65,441.4,444.06,15549500,-49.33333333333286,MSFT,williams
23-01-2025,442.0,446.75,441.5,446.71,18389300,-0.7619047619051517,MSFT,williams
22-01-2025,437.56,447.27,436.0,446.2,27803811,-9.49423247559889,MSFT,williams
21-01-2025,430.2,430.9,425.6,428.5,26085703,-45.28301886792449,MSFT,williams
17-01-2025,434.09,434.48,428.17,429.03,26197507,-86.37083993660924,MSFT,williams
16-01-2025,428.7,429.49,424.39,424.58,15300023,-96.27450980392163,MSFT,williams
15-01-2025,419.13,428.15,418.27,426.31,19637838,-18.623481781376274,MSFT,williams
14-01-2025,417.81,419.74,410.72,415.67,16935900,-45.12195121951221,MSFT,williams
13-01-2025,415.24,418.5,412.29,417.19,17604800,-21.095008051529895,MSFT,williams
10-01-2025,424.63,424.71,415.02,418.95,20201132,-59.44272445820425,MSFT,williams
08-01-2025,423.46,426.97,421.54,424.56,15054600,-44.38305709023982,MSFT,williams
07-01-2025,429.0,430.65,420.8,422.37,18139100,-84.06091370558377,MSFT,williams
06-01-2025,428.0,434.32,425.48,427.85,20573648,-73.19004524886866,MSFT,williams
03-01-2025,421.08,424.03,419.54,423.35,16662943,-15.144766146992367,MSFT,williams
02-01-2025,425.53,426.07,414.85,418.58,16896500,-66.75579322638173,MSFT,williams
31-12-2024,426.1,426.73,420.66,421.5,13246509,-86.16144975288343,MSFT,williams
30-12-2024,426.06,427.55,421.9,424.83,13158703,-48.14159292035418,MSFT,williams
27-12-2024,434.6,435.22,426.35,430.53,18117713,-52.874859075536094,MSFT,williams
26-12-2024,439.08,440.94,436.63,438.11,8199927,-65.66125290023162,MSFT,williams
24-12-2024,434.65,439.6,434.19,439.33,7164543,-4.990757855823242,MSFT,williams
23-12-2024,436.74,437.65,432.83,435.25,19152519,-49.79253112033155,MSFT,williams
20-12-2024,433.11,443.74,428.63,436.6,64263700,-47.25347452018517,MSFT,williams
19-12-2024,441.62,443.18,436.32,437.03,22963700,-89.65014577259507,MSFT,williams
18-12-2024,451.32,452.65,437.02,437.39,24444545,-97.63275751759434,MSFT,williams
17-12-2024,451.01,455.29,449.57,454.46,22733500,-14.510489510490157,MSFT,williams
16-12-2024,447.27,452.18,445.28,451.59,23598834,-8.550724637681578,MSFT,williams
13-12-2024,448.44,451.43,445.58,447.27,20177833,-71.11111111111126,MSFT,williams
12-12-2024,449.11,456.16,449.11,449.56,20834800,-93.6170212765959,MSFT,williams
11-12-2024,444.05,450.35,444.05,448.99,19200208,-21.587301587301766,MSFT,williams
10-12-2024,444.39,449.62,441.6,443.33,18469500,-78.42892768079844,MSFT,williams
09-12-2024,442.6,448.33,440.5,446.02,19144400,-29.501915708812348,MSFT,williams
06-12-2024,442.3,446.1,441.77,443.57,18821002,-58.42956120092392,MSFT,williams
05-12-2024,437.92,444.66,436.17,442.62,21697800,-24.028268551236962,MSFT,williams
04-12-2024,433.03,439.67,432.63,437.42,26009429,-31.96022727272718,MSFT,williams
03-12-2024,429.84,432.47,427.74,431.2,18302000,-26.849894291755472,MSFT,williams
02-12-2024,421.57,433.0,421.31,430.98,20207223,-17.279726261762036,MSFT,williams
