date,open,high,low,close,volume,williams,symbol,indicator
28-02-2025,118.02,125.09,116.4,124.92,389091145,-1.9562715765247614,NVDA,williams
27-02-2025,135.0,135.01,120.01,120.15,443175846,-99.06666666666666,NVDA,williams
26-02-2025,129.99,133.73,128.49,131.28,322553814,-46.75572519083965,NVDA,williams
25-02-2025,129.98,130.2,124.44,126.63,271428711,-61.97916666666664,NVDA,williams
24-02-2025,136.56,138.59,130.08,130.28,251381137,-97.64982373678039,NVDA,williams
21-02-2025,140.04,141.46,134.03,134.43,228217600,-94.61641991924623,NVDA,williams
20-02-2025,140.03,140.66,136.79,140.11,143903600,-14.211886304909102,NVDA,williams
19-02-2025,139.51,141.36,137.22,139.23,167536006,-51.449275362319234,NVDA,williams
18-02-2025,141.27,143.44,137.93,139.4,219176627,-73.32123411978219,NVDA,williams
14-02-2025,136.48,139.25,135.5,138.85,195479600,-10.666666666666819,NVDA,williams
13-02-2025,131.56,136.5,131.17,135.29,197430000,-22.70168855534719,NVDA,williams
12-02-2025,130.02,132.24,129.08,131.14,160278600,-34.81012658227924,NVDA,williams
11-02-2025,132.58,134.48,131.02,132.8,178902400,-48.55491329479735,NVDA,williams
10-02-2025,130.09,135.0,129.96,133.57,216989100,-28.373015873016055,NVDA,williams
07-02-2025,129.22,130.37,125.0,129.84,228186300,-9.869646182495357,NVDA,williams
06-02-2025,127.42,128.77,125.21,128.68,251483600,-2.5280898876405336,NVDA,williams
05-02-2025,121.76,125.0,120.76,124.83,263110629,-4.009433962264196,NVDA,williams
04-02-2025,116.96,121.2,116.7,118.65,256550040,-56.6666666666666,NVDA,williams
03-02-2025,114.75,118.57,113.01,116.66,371235700,-34.35251798561153,NVDA,williams
31-01-2025,123.78,127.85,119.19,120.07,390372900,-89.83833718244809,NVDA,williams
30-01-2025,123.1,125.0,118.1,124.65,392925500,-5.072463768115855,NVDA,williams
29-01-2025,126.5,126.89,120.05,123.7,467120640,-46.637426900584735,NVDA,williams
28-01-2025,121.81,129.0,116.25,128.99,579666400,-0.07843137254894827,NVDA,williams
27-01-2025,124.8,128.4,116.7,118.42,818830900,-85.29914529914531,NVDA,williams
24-01-2025,148.37,148.97,141.88,142.62,234657635,-89.56276445698154,NVDA,williams
23-01-2025,145.05,147.23,143.72,147.22,155915549,-0.2849002849000265,NVDA,williams
22-01-2025,144.66,147.79,143.67,147.07,237651400,-17.47572815533976,NVDA,williams
21-01-2025,139.16,141.83,137.09,140.83,197749000,-21.097046413502067,NVDA,williams
17-01-2025,136.69,138.5,135.46,137.71,201188800,-25.986842105262966,NVDA,williams
16-01-2025,138.64,138.75,133.49,133.57,209235600,-98.47908745247179,NVDA,williams
15-01-2025,133.65,136.45,131.29,136.24,185217338,-4.069767441860071,NVDA,williams
14-01-2025,136.05,136.38,130.05,131.76,195590500,-72.98578199052159,NVDA,williams
13-01-2025,129.99,133.49,129.51,133.23,204808914,-6.5326633165833705,NVDA,williams
10-01-2025,137.45,139.92,134.22,135.91,207602514,-70.35087719298244,NVDA,williams
08-01-2025,142.58,143.95,137.56,140.11,227349948,-60.09389671361476,NVDA,williams
07-01-2025,153.03,153.13,140.01,140.14,351782200,-99.00914634146345,NVDA,williams
06-01-2025,148.59,152.16,147.82,149.43,265377400,-62.903225806451324,NVDA,williams
03-01-2025,140.01,144.9,139.73,144.47,229322500,-8.31721470019353,NVDA,williams
02-01-2025,136.0,138.88,134.63,138.31,198247200,-13.411764705882193,NVDA,williams
31-12-2024,138.03,138.07,133.83,134.29,155659211,-89.15094339622685,NVDA,williams
30-12-2024,134.83,140.27,134.02,137.49,167734700,-44.48000000000002,NVDA,williams
27-12-2024,138.55,139.02,134.71,137.01,170582603,-46.635730858469095,NVDA,williams
26-12-2024,139.7,140.85,137.73,139.93,116519090,-29.487179487179045,NVDA,williams
24-12-2024,140.0,141.9,138.65,140.22,105157000,-51.69230769230791,NVDA,williams
23-12-2024,136.28,139.79,135.12,139.67,176053506,-2.56959314775171,NVDA,williams
20-12-2024,129.81,135.28,128.22,134.7,306528600,-8.215297450425103,NVDA,williams
19-12-2024,131.76,134.03,129.55,130.68,209719210,-74.77678571428575,NVDA,williams
18-12-2024,133.86,136.7,128.28,128.91,277444533,-92.5178147268409,NVDA,williams
17-12-2024,129.09,131.59,126.86,130.39,259410300,-25.36997885835129,NVDA,williams
16-12-2024,134.18,134.4,130.42,132.0,237951130,-60.301507537688316,NVDA,williams
13-12-2024,138.94,139.6,132.54,134.25,231514900,-75.77903682719537,NVDA,williams
12-12-2024,137.08,138.44,135.8,137.34,159211400,-41.66666666666667,NVDA,williams
11-12-2024,137.36,140.17,135.21,139.31,184905200,-17.33870967741913,NVDA,williams
10-12-2024,139.01,141.82,133.79,135.07,210020900,-84.05977584059775,NVDA,williams
09-12-2024,138.97,139.95,137.13,138.81,189308625,-40.425531914893234,NVDA,williams
06-12-2024,144.6,145.7,141.31,142.44,188505600,-74.25968109339411,NVDA,williams
05-12-2024,145.11,146.54,143.95,145.06,172621200,-57.14285714285667,NVDA,williams
04-12-2024,142.0,145.79,140.29,145.14,231224300,-11.818181818181921,NVDA,williams
03-12-2024,138.26,140.54,137.95,140.26,164414000,-10.81081081081084,NVDA,williams
02-12-2024,138.83,140.45,137.82,138.63,171682800,-69.20152091254738,NVDA,williams
29-11-2024,136.78,139.35,136.05,138.25,141863200,-33.33333333333333,NVDA,williams
27-11-2024,135.01,137.22,131.8,135.34,226370912,-34.68634686346863,NVDA,williams
26-11-2024,137.7,139.3,135.67,136.92,190287700,-65.56473829201124,NVDA,williams
25-11-2024,141.99,142.05,135.82,136.02,344941900,-96.78972712680552,NVDA,williams
22-11-2024,145.93,147.16,141.1,141.95,236406200,-85.97359735973608,NVDA,williams
21-11-2024,149.35,152.89,140.7,146.67,400946600,-51.025430680885975,NVDA,williams
20-11-2024,147.41,147.56,142.73,145.89,309871700,-34.57556935817829,NVDA,williams
19-11-2024,141.32,147.13,140.99,147.01,227834912,-1.954397394136886,NVDA,williams
18-11-2024,139.5,141.55,137.15,140.15,221866000,-31.818181818181905,NVDA,williams
15-11-2024,144.87,145.24,140.08,141.98,250132900,-63.178294573643825,NVDA,williams
14-11-2024,147.64,149.0,145.55,146.76,194463301,-64.92753623188453,NVDA,williams
13-11-2024,149.07,149.33,145.9,146.27,191903300,-89.21282798833808,NVDA,williams
12-11-2024,146.78,149.65,146.01,148.29,198634738,-37.362637362637585,NVDA,williams
11-11-2024,148.68,148.85,143.57,145.26,182325620,-67.99242424242429,NVDA,williams
08-11-2024,148.77,149.77,146.26,147.63,175665830,-60.96866096866106,NVDA,williams
07-11-2024,146.39,148.93,146.17,148.88,207323303,-1.8115942028989498,NVDA,williams
06-11-2024,142.96,146.49,141.96,145.61,242043945,-19.426048565121306,NVDA,williams
05-11-2024,137.45,140.37,137.33,139.91,160537400,-15.131578947368723,NVDA,williams
04-11-2024,137.21,138.96,135.57,136.05,187528200,-85.8407079646013,NVDA,williams
01-11-2024,134.7,137.31,134.57,135.4,207127838,-69.70802919707994,NVDA,williams
31-10-2024,137.6,137.61,132.11,132.76,270039641,-88.1818181818186,NVDA,williams
30-10-2024,139.54,140.33,136.81,139.34,179418100,-28.125000000000178,NVDA,williams
29-10-2024,140.29,142.26,138.9,141.25,157593634,-30.059523809523668,NVDA,williams
28-10-2024,143.0,143.14,140.05,140.52,173586745,-84.7896440129449,NVDA,williams
25-10-2024,140.93,144.13,140.8,141.54,205122109,-77.77777777777825,NVDA,williams
24-10-2024,140.82,141.35,138.46,140.41,172354900,-32.5259515570935,NVDA,williams
